pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T15:35:00.155146,V66_RAW,B2-10,HTHP,20337,0,FULL,0
2026-06-18T15:35:00.170950,V66_RAW,B2-10,HTHP,20337,1,PCUT,0
2026-06-18T15:35:00.186186,V66_RAW,B2-10,HTHP,20337,2,NCUT,0
2026-06-18T15:35:00.201347,V66_RAW,B2-10,HTHP,20337,3,EXTR,0
2026-06-18T15:35:00.216873,V66_RAW,B2-10,HTHP,20337,4,FCYC,0
2026-06-18T15:35:00.232511,V66_RAW,B2-10,HTHP,20338,0,FULL,0
2026-06-18T15:35:00.247757,V66_RAW,B2-10,HTHP,20338,1,PCUT,0
2026-06-18T15:35:00.263000,V66_RAW,B2-10,HTHP,20338,2,NCUT,0
2026-06-18T15:35:00.278668,V66_RAW,B2-10,HTHP,20338,3,EXTR,0
2026-06-18T15:35:00.293543,V66_RAW,B2-10,HTHP,20338,4,FCYC,0
2026-06-18T15:35:00.309653,V66_RAW,B2-10,HTHP,20339,0,FULL,0
2026-06-18T15:35:00.325094,V66_RAW,B2-10,HTHP,20339,1,PCUT,0
2026-06-18T15:35:00.340930,V66_RAW,B2-10,HTHP,20339,2,NCUT,0
2026-06-18T15:35:00.357745,V66_RAW,B2-10,HTHP,20339,3,EXTR,0
2026-06-18T15:35:00.372169,V66_RAW,B2-10,HTHP,20339,4,FCYC,0
2026-06-18T15:35:00.388730,V66_RAW,B2-10,HTHP,20340,0,FULL,0
2026-06-18T15:35:00.403996,V66_RAW,B2-10,HTHP,20340,1,PCUT,0
2026-06-18T15:35:00.419925,V66_RAW,B2-10,HTHP,20340,2,NCUT,0
2026-06-18T15:35:00.435628,V66_RAW,B2-10,HTHP,20340,3,EXTR,0
2026-06-18T15:35:00.451482,V66_RAW,B2-10,HTHP,20340,4,FCYC,0
2026-06-18T15:35:00.482023,V66_RAW,B2-10,HTHP,20341,0,FULL,0
2026-06-18T15:35:00.497619,V66_RAW,B2-10,HTHP,20341,1,PCUT,0
2026-06-18T15:35:00.512888,V66_RAW,B2-10,HTHP,20341,2,NCUT,0
2026-06-18T15:35:00.528247,V66_RAW,B2-10,HTHP,20341,3,EXTR,0
2026-06-18T15:35:00.544018,V66_RAW,B2-10,HTHP,20341,4,FCYC,0
2026-06-18T15:35:00.558668,V66_RAW,B2-10,HTHP,20342,0,FULL,0
2026-06-18T15:35:00.574266,V66_RAW,B2-10,HTHP,20342,1,PCUT,0
2026-06-18T15:35:00.589690,V66_RAW,B2-10,HTHP,20342,2,NCUT,0
2026-06-18T15:35:00.604791,V66_RAW,B2-10,HTHP,20342,3,EXTR,0
2026-06-18T15:35:00.620285,V66_RAW,B2-10,HTHP,20342,4,FCYC,0
2026-06-18T15:35:00.636053,V66_RAW,B2-10,HTHP,20343,0,FULL,0
2026-06-18T15:35:00.652350,V66_RAW,B2-10,HTHP,20343,1,PCUT,0
