sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
20337,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20338,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20339,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20340,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20341,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20342,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20343,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20344,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20345,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20346,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20347,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20348,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20349,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20350,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20351,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20352,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20353,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20354,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20355,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20356,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20357,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20358,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20359,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20360,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20361,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20362,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20363,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20364,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20365,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20366,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20367,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20368,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20369,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20370,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20371,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20372,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20373,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20374,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20375,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20376,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20377,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20378,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20379,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20380,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20381,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20382,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20383,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20384,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20385,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20386,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20387,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20388,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20389,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20390,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20391,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20392,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20393,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20394,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20395,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20396,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20397,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20398,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20399,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20400,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20401,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20402,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20403,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
