pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T15:33:56.782172,V66_RAW,B2-10,HTNP,19545,0,FULL,0
2026-06-18T15:33:56.797814,V66_RAW,B2-10,HTNP,19545,1,PCUT,0
2026-06-18T15:33:56.813233,V66_RAW,B2-10,HTNP,19545,2,NCUT,0
2026-06-18T15:33:56.829413,V66_RAW,B2-10,HTNP,19545,3,EXTR,0
2026-06-18T15:33:56.845322,V66_RAW,B2-10,HTNP,19545,4,FCYC,0
2026-06-18T15:33:56.860113,V66_RAW,B2-10,HTNP,19546,0,FULL,0
2026-06-18T15:33:56.876337,V66_RAW,B2-10,HTNP,19546,1,PCUT,0
2026-06-18T15:33:56.891943,V66_RAW,B2-10,HTNP,19546,2,NCUT,0
2026-06-18T15:33:56.906503,V66_RAW,B2-10,HTNP,19546,3,EXTR,0
2026-06-18T15:33:56.922235,V66_RAW,B2-10,HTNP,19546,4,FCYC,0
2026-06-18T15:33:56.937507,V66_RAW,B2-10,HTNP,19547,0,FULL,0
2026-06-18T15:33:56.952751,V66_RAW,B2-10,HTNP,19547,1,PCUT,0
2026-06-18T15:33:56.967947,V66_RAW,B2-10,HTNP,19547,2,NCUT,0
2026-06-18T15:33:56.983346,V66_RAW,B2-10,HTNP,19547,3,EXTR,0
2026-06-18T15:33:56.999006,V66_RAW,B2-10,HTNP,19547,4,FCYC,0
2026-06-18T15:33:57.013978,V66_RAW,B2-10,HTNP,19548,0,FULL,0
2026-06-18T15:33:57.044833,V66_RAW,B2-10,HTNP,19548,1,PCUT,0
2026-06-18T15:33:57.046175,V66_RAW,B2-10,HTNP,19548,2,NCUT,0
2026-06-18T15:33:57.076875,V66_RAW,B2-10,HTNP,19548,3,EXTR,0
2026-06-18T15:33:57.078117,V66_RAW,B2-10,HTNP,19548,4,FCYC,0
2026-06-18T15:33:57.107734,V66_RAW,B2-10,HTNP,19549,0,FULL,0
2026-06-18T15:33:57.109585,V66_RAW,B2-10,HTNP,19549,1,PCUT,0
2026-06-18T15:33:57.139205,V66_RAW,B2-10,HTNP,19549,2,NCUT,0
2026-06-18T15:33:57.155708,V66_RAW,B2-10,HTNP,19549,3,EXTR,0
2026-06-18T15:33:57.170969,V66_RAW,B2-10,HTNP,19549,4,FCYC,0
2026-06-18T15:33:57.186628,V66_RAW,B2-10,HTNP,19550,0,FULL,0
2026-06-18T15:33:57.202144,V66_RAW,B2-10,HTNP,19550,1,PCUT,0
2026-06-18T15:33:57.218395,V66_RAW,B2-10,HTNP,19550,2,NCUT,0
2026-06-18T15:33:57.234346,V66_RAW,B2-10,HTNP,19550,3,EXTR,0
2026-06-18T15:33:57.249089,V66_RAW,B2-10,HTNP,19550,4,FCYC,0
2026-06-18T15:33:57.264694,V66_RAW,B2-10,HTNP,19551,0,FULL,0
2026-06-18T15:33:57.279959,V66_RAW,B2-10,HTNP,19551,1,PCUT,0
2026-06-18T15:33:57.295572,V66_RAW,B2-10,HTNP,19551,2,NCUT,0
2026-06-18T15:33:57.310827,V66_RAW,B2-10,HTNP,19551,3,EXTR,0
2026-06-18T15:33:57.327390,V66_RAW,B2-10,HTNP,19551,4,FCYC,0
2026-06-18T15:33:57.343517,V66_RAW,B2-10,HTNP,19552,0,FULL,0
2026-06-18T15:33:57.358274,V66_RAW,B2-10,HTNP,19552,1,PCUT,0
2026-06-18T15:33:57.373070,V66_RAW,B2-10,HTNP,19552,2,NCUT,0
2026-06-18T15:33:57.388745,V66_RAW,B2-10,HTNP,19552,3,EXTR,0
2026-06-18T15:33:57.404641,V66_RAW,B2-10,HTNP,19552,4,FCYC,0
2026-06-18T15:33:57.418970,V66_RAW,B2-10,HTNP,19553,0,FULL,0
2026-06-18T15:33:57.435818,V66_RAW,B2-10,HTNP,19553,1,PCUT,0
2026-06-18T15:33:57.450395,V66_RAW,B2-10,HTNP,19553,2,NCUT,0
2026-06-18T15:33:57.465777,V66_RAW,B2-10,HTNP,19553,3,EXTR,0
2026-06-18T15:33:57.481444,V66_RAW,B2-10,HTNP,19553,4,FCYC,0
2026-06-18T15:33:57.497251,V66_RAW,B2-10,HTNP,19554,0,FULL,0
2026-06-18T15:33:57.513029,V66_RAW,B2-10,HTNP,19554,1,PCUT,0
2026-06-18T15:33:57.527923,V66_RAW,B2-10,HTNP,19554,2,NCUT,0
2026-06-18T15:33:57.543286,V66_RAW,B2-10,HTNP,19554,3,EXTR,0
2026-06-18T15:33:57.559490,V66_RAW,B2-10,HTNP,19554,4,FCYC,0
2026-06-18T15:33:57.573901,V66_RAW,B2-10,HTNP,19555,0,FULL,0
2026-06-18T15:33:57.590131,V66_RAW,B2-10,HTNP,19555,1,PCUT,0
2026-06-18T15:33:57.606596,V66_RAW,B2-10,HTNP,19555,2,NCUT,0
2026-06-18T15:33:57.622565,V66_RAW,B2-10,HTNP,19555,3,EXTR,0
2026-06-18T15:33:57.638077,V66_RAW,B2-10,HTNP,19555,4,FCYC,0
2026-06-18T15:33:57.668209,V66_RAW,B2-10,HTNP,19556,0,FULL,0
2026-06-18T15:33:57.683859,V66_RAW,B2-10,HTNP,19556,1,PCUT,0
2026-06-18T15:33:57.685551,V66_RAW,B2-10,HTNP,19556,2,NCUT,0
2026-06-18T15:33:57.716157,V66_RAW,B2-10,HTNP,19556,3,EXTR,0
2026-06-18T15:33:57.718082,V66_RAW,B2-10,HTNP,19556,4,FCYC,0
2026-06-18T15:33:57.748120,V66_RAW,B2-10,HTNP,19557,0,FULL,0
2026-06-18T15:33:57.750741,V66_RAW,B2-10,HTNP,19557,1,PCUT,0
2026-06-18T15:33:57.778597,V66_RAW,B2-10,HTNP,19557,2,NCUT,0
2026-06-18T15:33:57.793535,V66_RAW,B2-10,HTNP,19557,3,EXTR,0
2026-06-18T15:33:57.809069,V66_RAW,B2-10,HTNP,19557,4,FCYC,0
2026-06-18T15:33:57.824700,V66_RAW,B2-10,HTNP,19558,0,FULL,0
2026-06-18T15:33:57.842127,V66_RAW,B2-10,HTNP,19558,1,PCUT,0
2026-06-18T15:33:57.871532,V66_RAW,B2-10,HTNP,19558,2,NCUT,0
2026-06-18T15:33:57.872751,V66_RAW,B2-10,HTNP,19558,3,EXTR,0
2026-06-18T15:33:57.886111,V66_RAW,B2-10,HTNP,19558,4,FCYC,0
2026-06-18T15:33:57.901464,V66_RAW,B2-10,HTNP,19559,0,FULL,0
2026-06-18T15:33:57.917130,V66_RAW,B2-10,HTNP,19559,1,PCUT,0
2026-06-18T15:33:57.932922,V66_RAW,B2-10,HTNP,19559,2,NCUT,0
2026-06-18T15:33:57.948182,V66_RAW,B2-10,HTNP,19559,3,EXTR,0
2026-06-18T15:33:57.963830,V66_RAW,B2-10,HTNP,19559,4,FCYC,0
2026-06-18T15:33:57.979313,V66_RAW,B2-10,HTNP,19560,0,FULL,0
2026-06-18T15:33:57.995129,V66_RAW,B2-10,HTNP,19560,1,PCUT,0
2026-06-18T15:33:58.009924,V66_RAW,B2-10,HTNP,19560,2,NCUT,0
2026-06-18T15:33:58.026564,V66_RAW,B2-10,HTNP,19560,3,EXTR,0
2026-06-18T15:33:58.043052,V66_RAW,B2-10,HTNP,19560,4,FCYC,0
2026-06-18T15:33:58.073988,V66_RAW,B2-10,HTNP,19561,0,FULL,0
2026-06-18T15:33:58.074944,V66_RAW,B2-10,HTNP,19561,1,PCUT,0
2026-06-18T15:33:58.088898,V66_RAW,B2-10,HTNP,19561,2,NCUT,0
2026-06-18T15:33:58.105477,V66_RAW,B2-10,HTNP,19561,3,EXTR,0
2026-06-18T15:33:58.120500,V66_RAW,B2-10,HTNP,19561,4,FCYC,0
2026-06-18T15:33:58.135615,V66_RAW,B2-10,HTNP,19562,0,FULL,0
2026-06-18T15:33:58.151528,V66_RAW,B2-10,HTNP,19562,1,PCUT,0
2026-06-18T15:33:58.167123,V66_RAW,B2-10,HTNP,19562,2,NCUT,0
2026-06-18T15:33:58.199293,V66_RAW,B2-10,HTNP,19562,3,EXTR,0
2026-06-18T15:33:58.201576,V66_RAW,B2-10,HTNP,19562,4,FCYC,0
2026-06-18T15:33:58.229287,V66_RAW,B2-10,HTNP,19563,0,FULL,0
2026-06-18T15:33:58.232797,V66_RAW,B2-10,HTNP,19563,1,PCUT,0
2026-06-18T15:33:58.260307,V66_RAW,B2-10,HTNP,19563,2,NCUT,0
2026-06-18T15:33:58.263840,V66_RAW,B2-10,HTNP,19563,3,EXTR,0
2026-06-18T15:33:58.289639,V66_RAW,B2-10,HTNP,19563,4,FCYC,0
2026-06-18T15:33:58.305621,V66_RAW,B2-10,HTNP,19564,0,FULL,0
2026-06-18T15:33:58.321513,V66_RAW,B2-10,HTNP,19564,1,PCUT,0
2026-06-18T15:33:58.335721,V66_RAW,B2-10,HTNP,19564,2,NCUT,0
2026-06-18T15:33:58.351528,V66_RAW,B2-10,HTNP,19564,3,EXTR,0
2026-06-18T15:33:58.367005,V66_RAW,B2-10,HTNP,19564,4,FCYC,0
2026-06-18T15:33:58.381916,V66_RAW,B2-10,HTNP,19565,0,FULL,0
2026-06-18T15:33:58.398113,V66_RAW,B2-10,HTNP,19565,1,PCUT,0
2026-06-18T15:33:58.413376,V66_RAW,B2-10,HTNP,19565,2,NCUT,0
2026-06-18T15:33:58.429428,V66_RAW,B2-10,HTNP,19565,3,EXTR,0
2026-06-18T15:33:58.445431,V66_RAW,B2-10,HTNP,19565,4,FCYC,0
2026-06-18T15:33:58.461007,V66_RAW,B2-10,HTNP,19566,0,FULL,0
2026-06-18T15:33:58.476612,V66_RAW,B2-10,HTNP,19566,1,PCUT,0
2026-06-18T15:33:58.492091,V66_RAW,B2-10,HTNP,19566,2,NCUT,0
2026-06-18T15:33:58.507865,V66_RAW,B2-10,HTNP,19566,3,EXTR,0
2026-06-18T15:33:58.523357,V66_RAW,B2-10,HTNP,19566,4,FCYC,0
2026-06-18T15:33:58.540116,V66_RAW,B2-10,HTNP,19567,0,FULL,0
2026-06-18T15:33:58.555592,V66_RAW,B2-10,HTNP,19567,1,PCUT,0
2026-06-18T15:33:58.572120,V66_RAW,B2-10,HTNP,19567,2,NCUT,0
2026-06-18T15:33:58.588072,V66_RAW,B2-10,HTNP,19567,3,EXTR,0
