sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
19545,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19546,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19547,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19548,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19549,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19550,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19551,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19552,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19553,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19554,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19555,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19556,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19557,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19558,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19559,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19560,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19561,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19562,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19563,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19564,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19565,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19566,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19567,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19568,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19569,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19570,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19571,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19572,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19573,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19574,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19575,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19576,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19577,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19578,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19579,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19580,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19581,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19582,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19583,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19584,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19585,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19586,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19587,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19588,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19589,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19590,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19591,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19592,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19593,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19594,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19595,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19596,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19597,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19598,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19599,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19600,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19601,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19602,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19603,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19604,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19605,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19606,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19607,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19608,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19609,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19610,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19611,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19612,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19613,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19614,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19615,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19616,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19617,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19618,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19619,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19620,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19621,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19622,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19623,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
19624,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
