pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-23T14:49:57.227854,V66_RAW,B2-10,HTNP,13583,0,FULL,0
2026-06-23T14:49:57.243483,V66_RAW,B2-10,HTNP,13583,1,PCUT,0
2026-06-23T14:49:57.258594,V66_RAW,B2-10,HTNP,13583,2,NCUT,0
2026-06-23T14:49:57.274325,V66_RAW,B2-10,HTNP,13583,3,EXTR,0
2026-06-23T14:49:57.290648,V66_RAW,B2-10,HTNP,13583,4,FCYC,0
2026-06-23T14:49:57.306499,V66_RAW,B2-10,HTNP,13584,0,FULL,0
2026-06-23T14:49:57.321757,V66_RAW,B2-10,HTNP,13584,1,PCUT,0
2026-06-23T14:49:57.337171,V66_RAW,B2-10,HTNP,13584,2,NCUT,0
2026-06-23T14:49:57.353014,V66_RAW,B2-10,HTNP,13584,3,EXTR,0
2026-06-23T14:49:57.368010,V66_RAW,B2-10,HTNP,13584,4,FCYC,0
2026-06-23T14:49:57.383358,V66_RAW,B2-10,HTNP,13585,0,FULL,0
2026-06-23T14:49:57.399235,V66_RAW,B2-10,HTNP,13585,1,PCUT,0
2026-06-23T14:49:57.413816,V66_RAW,B2-10,HTNP,13585,2,NCUT,0
2026-06-23T14:49:57.430056,V66_RAW,B2-10,HTNP,13585,3,EXTR,0
2026-06-23T14:49:57.446279,V66_RAW,B2-10,HTNP,13585,4,FCYC,0
2026-06-23T14:49:57.462234,V66_RAW,B2-10,HTNP,13586,0,FULL,0
2026-06-23T14:49:57.478470,V66_RAW,B2-10,HTNP,13586,1,PCUT,0
2026-06-23T14:49:57.492727,V66_RAW,B2-10,HTNP,13586,2,NCUT,0
2026-06-23T14:49:57.507237,V66_RAW,B2-10,HTNP,13586,3,EXTR,0
2026-06-23T14:49:57.522859,V66_RAW,B2-10,HTNP,13586,4,FCYC,0
2026-06-23T14:49:57.538232,V66_RAW,B2-10,HTNP,13587,0,FULL,0
2026-06-23T14:49:57.553694,V66_RAW,B2-10,HTNP,13587,1,PCUT,0
2026-06-23T14:49:57.569336,V66_RAW,B2-10,HTNP,13587,2,NCUT,0
2026-06-23T14:49:57.584598,V66_RAW,B2-10,HTNP,13587,3,EXTR,0
2026-06-23T14:49:57.600217,V66_RAW,B2-10,HTNP,13587,4,FCYC,0
2026-06-23T14:49:57.631213,V66_RAW,B2-10,HTNP,13588,0,FULL,0
2026-06-23T14:49:57.632519,V66_RAW,B2-10,HTNP,13588,1,PCUT,0
2026-06-23T14:49:57.663211,V66_RAW,B2-10,HTNP,13588,2,NCUT,0
2026-06-23T14:49:57.678732,V66_RAW,B2-10,HTNP,13588,3,EXTR,0
2026-06-23T14:49:57.680481,V66_RAW,B2-10,HTNP,13588,4,FCYC,0
2026-06-23T14:49:57.710146,V66_RAW,B2-10,HTNP,13589,0,FULL,0
2026-06-23T14:49:57.725473,V66_RAW,B2-10,HTNP,13589,1,PCUT,0
2026-06-23T14:49:57.740534,V66_RAW,B2-10,HTNP,13589,2,NCUT,0
2026-06-23T14:49:57.756711,V66_RAW,B2-10,HTNP,13589,3,EXTR,0
2026-06-23T14:49:57.773300,V66_RAW,B2-10,HTNP,13589,4,FCYC,0
2026-06-23T14:49:57.788115,V66_RAW,B2-10,HTNP,13590,0,FULL,0
2026-06-23T14:49:57.804150,V66_RAW,B2-10,HTNP,13590,1,PCUT,0
2026-06-23T14:49:57.819462,V66_RAW,B2-10,HTNP,13590,2,NCUT,0
2026-06-23T14:49:57.834862,V66_RAW,B2-10,HTNP,13590,3,EXTR,0
2026-06-23T14:49:57.851379,V66_RAW,B2-10,HTNP,13590,4,FCYC,0
2026-06-23T14:49:57.866366,V66_RAW,B2-10,HTNP,13591,0,FULL,0
2026-06-23T14:49:57.883604,V66_RAW,B2-10,HTNP,13591,1,PCUT,0
2026-06-23T14:49:57.897833,V66_RAW,B2-10,HTNP,13591,2,NCUT,0
2026-06-23T14:49:57.914094,V66_RAW,B2-10,HTNP,13591,3,EXTR,0
2026-06-23T14:49:57.928917,V66_RAW,B2-10,HTNP,13591,4,FCYC,0
2026-06-23T14:49:57.944504,V66_RAW,B2-10,HTNP,13592,0,FULL,0
2026-06-23T14:49:57.960055,V66_RAW,B2-10,HTNP,13592,1,PCUT,0
2026-06-23T14:49:57.975917,V66_RAW,B2-10,HTNP,13592,2,NCUT,0
2026-06-23T14:49:57.990455,V66_RAW,B2-10,HTNP,13592,3,EXTR,0
2026-06-23T14:49:58.006735,V66_RAW,B2-10,HTNP,13592,4,FCYC,0
2026-06-23T14:49:58.022018,V66_RAW,B2-10,HTNP,13593,0,FULL,0
2026-06-23T14:49:58.036494,V66_RAW,B2-10,HTNP,13593,1,PCUT,0
2026-06-23T14:49:58.052089,V66_RAW,B2-10,HTNP,13593,2,NCUT,0
2026-06-23T14:49:58.067512,V66_RAW,B2-10,HTNP,13593,3,EXTR,0
2026-06-23T14:49:58.083520,V66_RAW,B2-10,HTNP,13593,4,FCYC,0
2026-06-23T14:49:58.099130,V66_RAW,B2-10,HTNP,13594,0,FULL,0
2026-06-23T14:49:58.114003,V66_RAW,B2-10,HTNP,13594,1,PCUT,0
