sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
13583,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13584,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13585,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13586,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13587,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13588,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13589,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13590,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13591,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13592,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13593,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13594,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13595,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13596,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13597,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13598,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13599,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13600,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13601,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13602,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13603,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13604,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13605,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13606,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13607,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13608,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13609,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13610,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13611,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13612,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13613,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13614,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13615,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13616,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13617,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13618,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13619,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13620,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13621,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13622,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13623,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13624,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13625,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13626,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13627,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13628,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13629,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13630,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13631,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13632,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13633,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13634,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13635,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13636,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13637,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13638,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13639,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13640,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13641,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13642,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13643,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13644,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13645,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13646,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13647,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13648,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13649,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13650,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13651,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13652,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13653,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13654,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13655,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13656,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13657,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13658,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13659,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13660,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13661,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13662,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13663,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13664,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13665,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13666,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13667,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13668,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13669,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13670,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13671,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13672,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13673,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13674,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13675,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13676,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13677,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13678,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13679,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13680,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
13681,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
