pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T15:32:57.650379,V66_RAW,B2-10,NTHP,18806,0,FULL,0
2026-06-18T15:32:57.666289,V66_RAW,B2-10,NTHP,18806,1,PCUT,0
2026-06-18T15:32:57.682067,V66_RAW,B2-10,NTHP,18806,2,NCUT,0
2026-06-18T15:32:57.699591,V66_RAW,B2-10,NTHP,18806,3,EXTR,0
2026-06-18T15:32:57.714655,V66_RAW,B2-10,NTHP,18806,4,FCYC,0
2026-06-18T15:32:57.730270,V66_RAW,B2-10,NTHP,18807,0,FULL,0
2026-06-18T15:32:57.758865,V66_RAW,B2-10,NTHP,18807,1,PCUT,0
2026-06-18T15:32:57.759569,V66_RAW,B2-10,NTHP,18807,2,NCUT,0
2026-06-18T15:32:57.774492,V66_RAW,B2-10,NTHP,18807,3,EXTR,0
2026-06-18T15:32:57.789869,V66_RAW,B2-10,NTHP,18807,4,FCYC,0
2026-06-18T15:32:57.805993,V66_RAW,B2-10,NTHP,18808,0,FULL,0
2026-06-18T15:32:57.821411,V66_RAW,B2-10,NTHP,18808,1,PCUT,0
2026-06-18T15:32:57.837212,V66_RAW,B2-10,NTHP,18808,2,NCUT,0
2026-06-18T15:32:57.852381,V66_RAW,B2-10,NTHP,18808,3,EXTR,0
2026-06-18T15:32:57.866873,V66_RAW,B2-10,NTHP,18808,4,FCYC,0
2026-06-18T15:32:57.881263,V66_RAW,B2-10,NTHP,18809,0,FULL,0
2026-06-18T15:32:57.897537,V66_RAW,B2-10,NTHP,18809,1,PCUT,0
2026-06-18T15:32:57.914435,V66_RAW,B2-10,NTHP,18809,2,NCUT,0
2026-06-18T15:32:57.932107,V66_RAW,B2-10,NTHP,18809,3,EXTR,0
2026-06-18T15:32:57.959405,V66_RAW,B2-10,NTHP,18809,4,FCYC,0
2026-06-18T15:32:57.960658,V66_RAW,B2-10,NTHP,18810,0,FULL,0
2026-06-18T15:32:57.991636,V66_RAW,B2-10,NTHP,18810,1,PCUT,0
2026-06-18T15:32:57.993209,V66_RAW,B2-10,NTHP,18810,2,NCUT,0
2026-06-18T15:32:58.021814,V66_RAW,B2-10,NTHP,18810,3,EXTR,0
2026-06-18T15:32:58.037094,V66_RAW,B2-10,NTHP,18810,4,FCYC,0
2026-06-18T15:32:58.052686,V66_RAW,B2-10,NTHP,18811,0,FULL,0
2026-06-18T15:32:58.068539,V66_RAW,B2-10,NTHP,18811,1,PCUT,0
2026-06-18T15:32:58.083564,V66_RAW,B2-10,NTHP,18811,2,NCUT,0
2026-06-18T15:32:58.099744,V66_RAW,B2-10,NTHP,18811,3,EXTR,0
2026-06-18T15:32:58.114938,V66_RAW,B2-10,NTHP,18811,4,FCYC,0
2026-06-18T15:32:58.130930,V66_RAW,B2-10,NTHP,18812,0,FULL,0
2026-06-18T15:32:58.147662,V66_RAW,B2-10,NTHP,18812,1,PCUT,0
2026-06-18T15:32:58.163377,V66_RAW,B2-10,NTHP,18812,2,NCUT,0
2026-06-18T15:32:58.180033,V66_RAW,B2-10,NTHP,18812,3,EXTR,0
2026-06-18T15:32:58.194770,V66_RAW,B2-10,NTHP,18812,4,FCYC,0
2026-06-18T15:32:58.210441,V66_RAW,B2-10,NTHP,18813,0,FULL,0
2026-06-18T15:32:58.226753,V66_RAW,B2-10,NTHP,18813,1,PCUT,0
2026-06-18T15:32:58.241419,V66_RAW,B2-10,NTHP,18813,2,NCUT,0
2026-06-18T15:32:58.256765,V66_RAW,B2-10,NTHP,18813,3,EXTR,0
2026-06-18T15:32:58.272549,V66_RAW,B2-10,NTHP,18813,4,FCYC,0
2026-06-18T15:32:58.288309,V66_RAW,B2-10,NTHP,18814,0,FULL,0
2026-06-18T15:32:58.302887,V66_RAW,B2-10,NTHP,18814,1,PCUT,0
2026-06-18T15:32:58.319935,V66_RAW,B2-10,NTHP,18814,2,NCUT,0
2026-06-18T15:32:58.334678,V66_RAW,B2-10,NTHP,18814,3,EXTR,0
2026-06-18T15:32:58.348679,V66_RAW,B2-10,NTHP,18814,4,FCYC,0
2026-06-18T15:32:58.364126,V66_RAW,B2-10,NTHP,18815,0,FULL,0
2026-06-18T15:32:58.381732,V66_RAW,B2-10,NTHP,18815,1,PCUT,0
2026-06-18T15:32:58.397335,V66_RAW,B2-10,NTHP,18815,2,NCUT,0
2026-06-18T15:32:58.410410,V66_RAW,B2-10,NTHP,18815,3,EXTR,0
2026-06-18T15:32:58.424926,V66_RAW,B2-10,NTHP,18815,4,FCYC,0
