sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
18806,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18807,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18808,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18809,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18810,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18811,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18812,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18813,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18814,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18815,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18816,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18817,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18818,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18819,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18820,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18821,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18822,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18823,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18824,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18825,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18826,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18827,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18828,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18829,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18830,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18831,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18832,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18833,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18834,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18835,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18836,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18837,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18838,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18839,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18840,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18841,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18842,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18843,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18844,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18845,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18846,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18847,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18848,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18849,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18850,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18851,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18852,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18853,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18854,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18855,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18856,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18857,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18858,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18859,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18860,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18861,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18862,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18863,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18864,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18865,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18866,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18867,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18868,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18869,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18870,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18871,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18872,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18873,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18874,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18875,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18876,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18877,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18878,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18879,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18880,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18881,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18882,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18883,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18884,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18885,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18886,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18887,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18888,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18889,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18890,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18891,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18892,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18893,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18894,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18895,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18896,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18897,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18898,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18899,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18900,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18901,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18902,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18903,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
18904,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
