pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T15:37:26.508364,V66_RAW,B2-10,NTNP,22166,0,FULL,0
2026-06-18T15:37:26.523201,V66_RAW,B2-10,NTNP,22166,1,PCUT,0
2026-06-18T15:37:26.538791,V66_RAW,B2-10,NTNP,22166,2,NCUT,0
2026-06-18T15:37:26.555334,V66_RAW,B2-10,NTNP,22166,3,EXTR,0
2026-06-18T15:37:26.570809,V66_RAW,B2-10,NTNP,22166,4,FCYC,0
2026-06-18T15:37:26.586274,V66_RAW,B2-10,NTNP,22167,0,FULL,0
2026-06-18T15:37:26.601270,V66_RAW,B2-10,NTNP,22167,1,PCUT,0
2026-06-18T15:37:26.616811,V66_RAW,B2-10,NTNP,22167,2,NCUT,0
2026-06-18T15:37:26.632586,V66_RAW,B2-10,NTNP,22167,3,EXTR,0
2026-06-18T15:37:26.646281,V66_RAW,B2-10,NTNP,22167,4,FCYC,0
2026-06-18T15:37:26.661756,V66_RAW,B2-10,NTNP,22168,0,FULL,0
2026-06-18T15:37:26.677066,V66_RAW,B2-10,NTNP,22168,1,PCUT,0
2026-06-18T15:37:26.692464,V66_RAW,B2-10,NTNP,22168,2,NCUT,0
2026-06-18T15:37:26.708464,V66_RAW,B2-10,NTNP,22168,3,EXTR,0
2026-06-18T15:37:26.724342,V66_RAW,B2-10,NTNP,22168,4,FCYC,0
2026-06-18T15:37:26.740690,V66_RAW,B2-10,NTNP,22169,0,FULL,0
2026-06-18T15:37:26.756241,V66_RAW,B2-10,NTNP,22169,1,PCUT,0
2026-06-18T15:37:26.787155,V66_RAW,B2-10,NTNP,22169,2,NCUT,0
2026-06-18T15:37:26.803185,V66_RAW,B2-10,NTNP,22169,3,EXTR,0
2026-06-18T15:37:26.804555,V66_RAW,B2-10,NTNP,22169,4,FCYC,0
2026-06-18T15:37:26.835625,V66_RAW,B2-10,NTNP,22170,0,FULL,0
2026-06-18T15:37:26.837058,V66_RAW,B2-10,NTNP,22170,1,PCUT,0
2026-06-18T15:37:26.864436,V66_RAW,B2-10,NTNP,22170,2,NCUT,0
2026-06-18T15:37:26.879530,V66_RAW,B2-10,NTNP,22170,3,EXTR,0
2026-06-18T15:37:26.894826,V66_RAW,B2-10,NTNP,22170,4,FCYC,0
2026-06-18T15:37:26.910322,V66_RAW,B2-10,NTNP,22171,0,FULL,0
2026-06-18T15:37:26.926249,V66_RAW,B2-10,NTNP,22171,1,PCUT,0
2026-06-18T15:37:26.941955,V66_RAW,B2-10,NTNP,22171,2,NCUT,0
2026-06-18T15:37:26.957322,V66_RAW,B2-10,NTNP,22171,3,EXTR,0
2026-06-18T15:37:26.972555,V66_RAW,B2-10,NTNP,22171,4,FCYC,0
2026-06-18T15:37:26.988084,V66_RAW,B2-10,NTNP,22172,0,FULL,0
2026-06-18T15:37:27.004258,V66_RAW,B2-10,NTNP,22172,1,PCUT,0
2026-06-18T15:37:27.021126,V66_RAW,B2-10,NTNP,22172,2,NCUT,0
2026-06-18T15:37:27.037328,V66_RAW,B2-10,NTNP,22172,3,EXTR,0
2026-06-18T15:37:27.051669,V66_RAW,B2-10,NTNP,22172,4,FCYC,0
2026-06-18T15:37:27.068814,V66_RAW,B2-10,NTNP,22173,0,FULL,0
2026-06-18T15:37:27.082899,V66_RAW,B2-10,NTNP,22173,1,PCUT,0
2026-06-18T15:37:27.099124,V66_RAW,B2-10,NTNP,22173,2,NCUT,0
2026-06-18T15:37:27.114418,V66_RAW,B2-10,NTNP,22173,3,EXTR,0
2026-06-18T15:37:27.131051,V66_RAW,B2-10,NTNP,22173,4,FCYC,0
2026-06-18T15:37:27.145905,V66_RAW,B2-10,NTNP,22174,0,FULL,0
2026-06-18T15:37:27.162311,V66_RAW,B2-10,NTNP,22174,1,PCUT,0
2026-06-18T15:37:27.176887,V66_RAW,B2-10,NTNP,22174,2,NCUT,0
2026-06-18T15:37:27.191972,V66_RAW,B2-10,NTNP,22174,3,EXTR,0
2026-06-18T15:37:27.207551,V66_RAW,B2-10,NTNP,22174,4,FCYC,0
2026-06-18T15:37:27.223689,V66_RAW,B2-10,NTNP,22175,0,FULL,0
2026-06-18T15:37:27.238840,V66_RAW,B2-10,NTNP,22175,1,PCUT,0
2026-06-18T15:37:27.253872,V66_RAW,B2-10,NTNP,22175,2,NCUT,0
2026-06-18T15:37:27.269017,V66_RAW,B2-10,NTNP,22175,3,EXTR,0
2026-06-18T15:37:27.284564,V66_RAW,B2-10,NTNP,22175,4,FCYC,0
2026-06-18T15:37:27.300380,V66_RAW,B2-10,NTNP,22176,0,FULL,0
2026-06-18T15:37:27.331709,V66_RAW,B2-10,NTNP,22176,1,PCUT,0
2026-06-18T15:37:27.333046,V66_RAW,B2-10,NTNP,22176,2,NCUT,0
2026-06-18T15:37:27.361911,V66_RAW,B2-10,NTNP,22176,3,EXTR,0
2026-06-18T15:37:27.377804,V66_RAW,B2-10,NTNP,22176,4,FCYC,0
2026-06-18T15:37:27.392845,V66_RAW,B2-10,NTNP,22177,0,FULL,0
2026-06-18T15:37:27.408368,V66_RAW,B2-10,NTNP,22177,1,PCUT,0
2026-06-18T15:37:27.424710,V66_RAW,B2-10,NTNP,22177,2,NCUT,0
2026-06-18T15:37:27.439876,V66_RAW,B2-10,NTNP,22177,3,EXTR,0
2026-06-18T15:37:27.456369,V66_RAW,B2-10,NTNP,22177,4,FCYC,0
2026-06-18T15:37:27.471753,V66_RAW,B2-10,NTNP,22178,0,FULL,0
2026-06-18T15:37:27.486935,V66_RAW,B2-10,NTNP,22178,1,PCUT,0
2026-06-18T15:37:27.502731,V66_RAW,B2-10,NTNP,22178,2,NCUT,0
2026-06-18T15:37:27.517996,V66_RAW,B2-10,NTNP,22178,3,EXTR,0
2026-06-18T15:37:27.534010,V66_RAW,B2-10,NTNP,22178,4,FCYC,0
2026-06-18T15:37:27.549324,V66_RAW,B2-10,NTNP,22179,0,FULL,0
2026-06-18T15:37:27.564945,V66_RAW,B2-10,NTNP,22179,1,PCUT,0
2026-06-18T15:37:27.580623,V66_RAW,B2-10,NTNP,22179,2,NCUT,0
2026-06-18T15:37:27.595630,V66_RAW,B2-10,NTNP,22179,3,EXTR,0
2026-06-18T15:37:27.610759,V66_RAW,B2-10,NTNP,22179,4,FCYC,0
2026-06-18T15:37:27.626365,V66_RAW,B2-10,NTNP,22180,0,FULL,0
2026-06-18T15:37:27.641974,V66_RAW,B2-10,NTNP,22180,1,PCUT,0
2026-06-18T15:37:27.657452,V66_RAW,B2-10,NTNP,22180,2,NCUT,0
2026-06-18T15:37:27.673342,V66_RAW,B2-10,NTNP,22180,3,EXTR,0
2026-06-18T15:37:27.687880,V66_RAW,B2-10,NTNP,22180,4,FCYC,0
2026-06-18T15:37:27.704477,V66_RAW,B2-10,NTNP,22181,0,FULL,0
2026-06-18T15:37:27.718816,V66_RAW,B2-10,NTNP,22181,1,PCUT,0
2026-06-18T15:37:27.734519,V66_RAW,B2-10,NTNP,22181,2,NCUT,0
2026-06-18T15:37:27.750407,V66_RAW,B2-10,NTNP,22181,3,EXTR,0
2026-06-18T15:37:27.766101,V66_RAW,B2-10,NTNP,22181,4,FCYC,0
2026-06-18T15:37:27.781458,V66_RAW,B2-10,NTNP,22182,0,FULL,0
2026-06-18T15:37:27.797695,V66_RAW,B2-10,NTNP,22182,1,PCUT,0
2026-06-18T15:37:27.826946,V66_RAW,B2-10,NTNP,22182,2,NCUT,0
2026-06-18T15:37:27.828618,V66_RAW,B2-10,NTNP,22182,3,EXTR,0
2026-06-18T15:37:27.858479,V66_RAW,B2-10,NTNP,22182,4,FCYC,0
2026-06-18T15:37:27.873584,V66_RAW,B2-10,NTNP,22183,0,FULL,0
2026-06-18T15:37:27.888941,V66_RAW,B2-10,NTNP,22183,1,PCUT,0
2026-06-18T15:37:27.904203,V66_RAW,B2-10,NTNP,22183,2,NCUT,0
2026-06-18T15:37:27.920009,V66_RAW,B2-10,NTNP,22183,3,EXTR,0
2026-06-18T15:37:27.935471,V66_RAW,B2-10,NTNP,22183,4,FCYC,0
2026-06-18T15:37:27.951687,V66_RAW,B2-10,NTNP,22184,0,FULL,0
2026-06-18T15:37:27.967321,V66_RAW,B2-10,NTNP,22184,1,PCUT,0
2026-06-18T15:37:27.982543,V66_RAW,B2-10,NTNP,22184,2,NCUT,0
2026-06-18T15:37:27.999985,V66_RAW,B2-10,NTNP,22184,3,EXTR,0
2026-06-18T15:37:28.013909,V66_RAW,B2-10,NTNP,22184,4,FCYC,0
2026-06-18T15:37:28.029462,V66_RAW,B2-10,NTNP,22185,0,FULL,0
2026-06-18T15:37:28.044214,V66_RAW,B2-10,NTNP,22185,1,PCUT,0
2026-06-18T15:37:28.059292,V66_RAW,B2-10,NTNP,22185,2,NCUT,0
2026-06-18T15:37:28.075296,V66_RAW,B2-10,NTNP,22185,3,EXTR,0
2026-06-18T15:37:28.092049,V66_RAW,B2-10,NTNP,22185,4,FCYC,0
2026-06-18T15:37:28.108144,V66_RAW,B2-10,NTNP,22186,0,FULL,0
2026-06-18T15:37:28.124345,V66_RAW,B2-10,NTNP,22186,1,PCUT,0
2026-06-18T15:37:28.138396,V66_RAW,B2-10,NTNP,22186,2,NCUT,0
2026-06-18T15:37:28.153040,V66_RAW,B2-10,NTNP,22186,3,EXTR,0
2026-06-18T15:37:28.169061,V66_RAW,B2-10,NTNP,22186,4,FCYC,0
2026-06-18T15:37:28.183713,V66_RAW,B2-10,NTNP,22187,0,FULL,0
2026-06-18T15:37:28.199557,V66_RAW,B2-10,NTNP,22187,1,PCUT,0
2026-06-18T15:37:28.216714,V66_RAW,B2-10,NTNP,22187,2,NCUT,0
2026-06-18T15:37:28.230433,V66_RAW,B2-10,NTNP,22187,3,EXTR,0
2026-06-18T15:37:28.247873,V66_RAW,B2-10,NTNP,22187,4,FCYC,0
2026-06-18T15:37:28.277294,V66_RAW,B2-10,NTNP,22188,0,FULL,0
2026-06-18T15:37:28.278547,V66_RAW,B2-10,NTNP,22188,1,PCUT,0
2026-06-18T15:37:28.306915,V66_RAW,B2-10,NTNP,22188,2,NCUT,0
2026-06-18T15:37:28.308530,V66_RAW,B2-10,NTNP,22188,3,EXTR,0
2026-06-18T15:37:28.338506,V66_RAW,B2-10,NTNP,22188,4,FCYC,0
2026-06-18T15:37:28.353981,V66_RAW,B2-10,NTNP,22189,0,FULL,0
2026-06-18T15:37:28.370305,V66_RAW,B2-10,NTNP,22189,1,PCUT,0
2026-06-18T15:37:28.385824,V66_RAW,B2-10,NTNP,22189,2,NCUT,0
2026-06-18T15:37:28.401996,V66_RAW,B2-10,NTNP,22189,3,EXTR,0
2026-06-18T15:37:28.416261,V66_RAW,B2-10,NTNP,22189,4,FCYC,0
2026-06-18T15:37:28.432583,V66_RAW,B2-10,NTNP,22190,0,FULL,0
2026-06-18T15:37:28.448298,V66_RAW,B2-10,NTNP,22190,1,PCUT,0
2026-06-18T15:37:28.463885,V66_RAW,B2-10,NTNP,22190,2,NCUT,0
2026-06-18T15:37:28.478874,V66_RAW,B2-10,NTNP,22190,3,EXTR,0
2026-06-18T15:37:28.494688,V66_RAW,B2-10,NTNP,22190,4,FCYC,0
2026-06-18T15:37:28.510512,V66_RAW,B2-10,NTNP,22191,0,FULL,0
2026-06-18T15:37:28.526242,V66_RAW,B2-10,NTNP,22191,1,PCUT,0
2026-06-18T15:37:28.541478,V66_RAW,B2-10,NTNP,22191,2,NCUT,0
2026-06-18T15:37:28.556692,V66_RAW,B2-10,NTNP,22191,3,EXTR,0
2026-06-18T15:37:28.572854,V66_RAW,B2-10,NTNP,22191,4,FCYC,0
2026-06-18T15:37:28.587506,V66_RAW,B2-10,NTNP,22192,0,FULL,0
2026-06-18T15:37:28.602747,V66_RAW,B2-10,NTNP,22192,1,PCUT,0
2026-06-18T15:37:28.618322,V66_RAW,B2-10,NTNP,22192,2,NCUT,0
2026-06-18T15:37:28.633528,V66_RAW,B2-10,NTNP,22192,3,EXTR,0
2026-06-18T15:37:28.648632,V66_RAW,B2-10,NTNP,22192,4,FCYC,0
