sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
22166,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22167,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22168,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22169,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22170,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22171,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22172,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22173,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22174,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22175,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22176,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22177,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22178,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22179,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22180,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22181,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22182,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22183,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22184,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22185,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22186,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22187,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22188,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22189,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22190,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22191,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22192,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22193,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22194,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22195,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22196,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22197,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22198,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
