pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T10:47:42.487846,V66_RAW,B2-1,HTHP,1522,0,FULL,0
2026-06-18T10:47:42.519006,V66_RAW,B2-1,HTHP,1522,1,PCUT,0
2026-06-18T10:47:42.521777,V66_RAW,B2-1,HTHP,1522,2,NCUT,0
2026-06-18T10:47:42.549625,V66_RAW,B2-1,HTHP,1522,3,EXTR,0
2026-06-18T10:47:42.564624,V66_RAW,B2-1,HTHP,1522,4,FCYC,0
2026-06-18T10:47:42.581184,V66_RAW,B2-1,HTHP,1523,0,FULL,0
2026-06-18T10:47:42.595554,V66_RAW,B2-1,HTHP,1523,1,PCUT,0
2026-06-18T10:47:42.611081,V66_RAW,B2-1,HTHP,1523,2,NCUT,0
2026-06-18T10:47:42.626740,V66_RAW,B2-1,HTHP,1523,3,EXTR,0
2026-06-18T10:47:42.642500,V66_RAW,B2-1,HTHP,1523,4,FCYC,0
2026-06-18T10:47:42.658428,V66_RAW,B2-1,HTHP,1524,0,FULL,0
2026-06-18T10:47:42.673684,V66_RAW,B2-1,HTHP,1524,1,PCUT,0
2026-06-18T10:47:42.689427,V66_RAW,B2-1,HTHP,1524,2,NCUT,0
2026-06-18T10:47:42.704389,V66_RAW,B2-1,HTHP,1524,3,EXTR,0
2026-06-18T10:47:42.719959,V66_RAW,B2-1,HTHP,1524,4,FCYC,0
2026-06-18T10:47:42.734678,V66_RAW,B2-1,HTHP,1525,0,FULL,0
2026-06-18T10:47:42.750653,V66_RAW,B2-1,HTHP,1525,1,PCUT,0
2026-06-18T10:47:42.766751,V66_RAW,B2-1,HTHP,1525,2,NCUT,0
2026-06-18T10:47:42.782610,V66_RAW,B2-1,HTHP,1525,3,EXTR,0
2026-06-18T10:47:42.797729,V66_RAW,B2-1,HTHP,1525,4,FCYC,0
2026-06-18T10:47:42.813507,V66_RAW,B2-1,HTHP,1526,0,FULL,0
2026-06-18T10:47:42.829266,V66_RAW,B2-1,HTHP,1526,1,PCUT,0
2026-06-18T10:47:42.844054,V66_RAW,B2-1,HTHP,1526,2,NCUT,0
2026-06-18T10:47:42.859776,V66_RAW,B2-1,HTHP,1526,3,EXTR,0
2026-06-18T10:47:42.875851,V66_RAW,B2-1,HTHP,1526,4,FCYC,0
2026-06-18T10:47:42.891385,V66_RAW,B2-1,HTHP,1527,0,FULL,0
2026-06-18T10:47:42.907422,V66_RAW,B2-1,HTHP,1527,1,PCUT,0
2026-06-18T10:47:42.922111,V66_RAW,B2-1,HTHP,1527,2,NCUT,0
2026-06-18T10:47:42.937534,V66_RAW,B2-1,HTHP,1527,3,EXTR,0
2026-06-18T10:47:42.953557,V66_RAW,B2-1,HTHP,1527,4,FCYC,0
2026-06-18T10:47:42.969261,V66_RAW,B2-1,HTHP,1528,0,FULL,0
2026-06-18T10:47:42.984604,V66_RAW,B2-1,HTHP,1528,1,PCUT,0
2026-06-18T10:47:43.014573,V66_RAW,B2-1,HTHP,1528,2,NCUT,0
2026-06-18T10:47:43.016130,V66_RAW,B2-1,HTHP,1528,3,EXTR,0
2026-06-18T10:47:43.045540,V66_RAW,B2-1,HTHP,1528,4,FCYC,0
2026-06-18T10:47:43.062500,V66_RAW,B2-1,HTHP,1529,0,FULL,0
2026-06-18T10:47:43.063982,V66_RAW,B2-1,HTHP,1529,1,PCUT,0
2026-06-18T10:47:43.091848,V66_RAW,B2-1,HTHP,1529,2,NCUT,0
2026-06-18T10:47:43.109644,V66_RAW,B2-1,HTHP,1529,3,EXTR,0
2026-06-18T10:47:43.114064,V66_RAW,B2-1,HTHP,1529,4,FCYC,0
2026-06-18T10:47:43.139051,V66_RAW,B2-1,HTHP,1530,0,FULL,0
2026-06-18T10:47:43.154813,V66_RAW,B2-1,HTHP,1530,1,PCUT,0
2026-06-18T10:47:43.170815,V66_RAW,B2-1,HTHP,1530,2,NCUT,0
2026-06-18T10:47:43.185112,V66_RAW,B2-1,HTHP,1530,3,EXTR,0
2026-06-18T10:47:43.201375,V66_RAW,B2-1,HTHP,1530,4,FCYC,0
2026-06-18T10:47:43.216081,V66_RAW,B2-1,HTHP,1531,0,FULL,0
2026-06-18T10:47:43.230913,V66_RAW,B2-1,HTHP,1531,1,PCUT,0
2026-06-18T10:47:43.246207,V66_RAW,B2-1,HTHP,1531,2,NCUT,0
2026-06-18T10:47:43.263648,V66_RAW,B2-1,HTHP,1531,3,EXTR,0
2026-06-18T10:47:43.278450,V66_RAW,B2-1,HTHP,1531,4,FCYC,0
2026-06-18T10:47:43.294854,V66_RAW,B2-1,HTHP,1532,0,FULL,0
2026-06-18T10:47:43.309508,V66_RAW,B2-1,HTHP,1532,1,PCUT,0
2026-06-18T10:47:43.326704,V66_RAW,B2-1,HTHP,1532,2,NCUT,0
2026-06-18T10:47:43.340635,V66_RAW,B2-1,HTHP,1532,3,EXTR,0
2026-06-18T10:47:43.356328,V66_RAW,B2-1,HTHP,1532,4,FCYC,0
2026-06-18T10:47:43.372582,V66_RAW,B2-1,HTHP,1533,0,FULL,0
2026-06-18T10:47:43.390708,V66_RAW,B2-1,HTHP,1533,1,PCUT,0
2026-06-18T10:47:43.418698,V66_RAW,B2-1,HTHP,1533,2,NCUT,0
2026-06-18T10:47:43.420855,V66_RAW,B2-1,HTHP,1533,3,EXTR,0
2026-06-18T10:47:43.449216,V66_RAW,B2-1,HTHP,1533,4,FCYC,0
2026-06-18T10:47:43.452622,V66_RAW,B2-1,HTHP,1534,0,FULL,0
2026-06-18T10:47:43.479868,V66_RAW,B2-1,HTHP,1534,1,PCUT,0
2026-06-18T10:47:43.481394,V66_RAW,B2-1,HTHP,1534,2,NCUT,0
2026-06-18T10:47:43.509586,V66_RAW,B2-1,HTHP,1534,3,EXTR,0
2026-06-18T10:47:43.511299,V66_RAW,B2-1,HTHP,1534,4,FCYC,0
2026-06-18T10:47:43.541786,V66_RAW,B2-1,HTHP,1535,0,FULL,0
2026-06-18T10:47:43.557152,V66_RAW,B2-1,HTHP,1535,1,PCUT,0
2026-06-18T10:47:43.572940,V66_RAW,B2-1,HTHP,1535,2,NCUT,0
2026-06-18T10:47:43.589441,V66_RAW,B2-1,HTHP,1535,3,EXTR,0
2026-06-18T10:47:43.604134,V66_RAW,B2-1,HTHP,1535,4,FCYC,0
2026-06-18T10:47:43.619688,V66_RAW,B2-1,HTHP,1536,0,FULL,0
2026-06-18T10:47:43.636091,V66_RAW,B2-1,HTHP,1536,1,PCUT,0
2026-06-18T10:47:43.650206,V66_RAW,B2-1,HTHP,1536,2,NCUT,0
2026-06-18T10:47:43.666595,V66_RAW,B2-1,HTHP,1536,3,EXTR,0
2026-06-18T10:47:43.681962,V66_RAW,B2-1,HTHP,1536,4,FCYC,0
2026-06-18T10:47:43.696846,V66_RAW,B2-1,HTHP,1537,0,FULL,0
2026-06-18T10:47:43.714596,V66_RAW,B2-1,HTHP,1537,1,PCUT,0
2026-06-18T10:47:43.728457,V66_RAW,B2-1,HTHP,1537,2,NCUT,0
2026-06-18T10:47:43.744387,V66_RAW,B2-1,HTHP,1537,3,EXTR,0
2026-06-18T10:47:43.759378,V66_RAW,B2-1,HTHP,1537,4,FCYC,0
2026-06-18T10:47:43.775624,V66_RAW,B2-1,HTHP,1538,0,FULL,0
2026-06-18T10:47:43.793523,V66_RAW,B2-1,HTHP,1538,1,PCUT,0
2026-06-18T10:47:43.821415,V66_RAW,B2-1,HTHP,1538,2,NCUT,0
2026-06-18T10:47:43.822718,V66_RAW,B2-1,HTHP,1538,3,EXTR,0
2026-06-18T10:47:43.836599,V66_RAW,B2-1,HTHP,1538,4,FCYC,0
2026-06-18T10:47:43.852167,V66_RAW,B2-1,HTHP,1539,0,FULL,0
2026-06-18T10:47:43.867689,V66_RAW,B2-1,HTHP,1539,1,PCUT,0
2026-06-18T10:47:43.883117,V66_RAW,B2-1,HTHP,1539,2,NCUT,0
2026-06-18T10:47:43.899098,V66_RAW,B2-1,HTHP,1539,3,EXTR,0
2026-06-18T10:47:43.914685,V66_RAW,B2-1,HTHP,1539,4,FCYC,0
2026-06-18T10:47:43.929589,V66_RAW,B2-1,HTHP,1540,0,FULL,0
2026-06-18T10:47:43.945157,V66_RAW,B2-1,HTHP,1540,1,PCUT,0
2026-06-18T10:47:43.960648,V66_RAW,B2-1,HTHP,1540,2,NCUT,0
2026-06-18T10:47:43.976378,V66_RAW,B2-1,HTHP,1540,3,EXTR,0
2026-06-18T10:47:43.992157,V66_RAW,B2-1,HTHP,1540,4,FCYC,0
2026-06-18T10:47:44.008512,V66_RAW,B2-1,HTHP,1541,0,FULL,0
