sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
1522,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1523,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1524,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1525,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1526,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1527,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1528,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1529,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1530,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1531,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1532,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1533,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1534,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1535,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1536,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1537,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1538,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1539,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1540,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1541,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1542,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1543,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1544,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1545,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1546,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1547,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
1548,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
