pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T11:07:26.348742,V66_RAW,B2-1,HTNP,16317,0,FULL,0
2026-06-18T11:07:26.363616,V66_RAW,B2-1,HTNP,16317,1,PCUT,0
2026-06-18T11:07:26.379224,V66_RAW,B2-1,HTNP,16317,2,NCUT,0
2026-06-18T11:07:26.395115,V66_RAW,B2-1,HTNP,16317,3,EXTR,0
2026-06-18T11:07:26.411383,V66_RAW,B2-1,HTNP,16317,4,FCYC,0
2026-06-18T11:07:26.441766,V66_RAW,B2-1,HTNP,16318,0,FULL,0
2026-06-18T11:07:26.443742,V66_RAW,B2-1,HTNP,16318,1,PCUT,0
2026-06-18T11:07:26.474187,V66_RAW,B2-1,HTNP,16318,2,NCUT,0
2026-06-18T11:07:26.476703,V66_RAW,B2-1,HTNP,16318,3,EXTR,0
2026-06-18T11:07:26.505112,V66_RAW,B2-1,HTNP,16318,4,FCYC,0
2026-06-18T11:07:26.507273,V66_RAW,B2-1,HTNP,16319,0,FULL,0
2026-06-18T11:07:26.534069,V66_RAW,B2-1,HTNP,16319,1,PCUT,0
2026-06-18T11:07:26.549201,V66_RAW,B2-1,HTNP,16319,2,NCUT,0
2026-06-18T11:07:26.565627,V66_RAW,B2-1,HTNP,16319,3,EXTR,0
2026-06-18T11:07:26.580440,V66_RAW,B2-1,HTNP,16319,4,FCYC,0
2026-06-18T11:07:26.595893,V66_RAW,B2-1,HTNP,16320,0,FULL,0
2026-06-18T11:07:26.610963,V66_RAW,B2-1,HTNP,16320,1,PCUT,0
2026-06-18T11:07:26.626904,V66_RAW,B2-1,HTNP,16320,2,NCUT,0
2026-06-18T11:07:26.642668,V66_RAW,B2-1,HTNP,16320,3,EXTR,0
2026-06-18T11:07:26.657721,V66_RAW,B2-1,HTNP,16320,4,FCYC,0
2026-06-18T11:07:26.673542,V66_RAW,B2-1,HTNP,16321,0,FULL,0
2026-06-18T11:07:26.689163,V66_RAW,B2-1,HTNP,16321,1,PCUT,0
2026-06-18T11:07:26.704438,V66_RAW,B2-1,HTNP,16321,2,NCUT,0
2026-06-18T11:07:26.719672,V66_RAW,B2-1,HTNP,16321,3,EXTR,0
2026-06-18T11:07:26.735027,V66_RAW,B2-1,HTNP,16321,4,FCYC,0
2026-06-18T11:07:26.751737,V66_RAW,B2-1,HTNP,16322,0,FULL,0
2026-06-18T11:07:26.767059,V66_RAW,B2-1,HTNP,16322,1,PCUT,0
2026-06-18T11:07:26.782138,V66_RAW,B2-1,HTNP,16322,2,NCUT,0
2026-06-18T11:07:26.798465,V66_RAW,B2-1,HTNP,16322,3,EXTR,0
2026-06-18T11:07:26.814586,V66_RAW,B2-1,HTNP,16322,4,FCYC,0
2026-06-18T11:07:26.830649,V66_RAW,B2-1,HTNP,16323,0,FULL,0
2026-06-18T11:07:26.844860,V66_RAW,B2-1,HTNP,16323,1,PCUT,0
2026-06-18T11:07:26.860685,V66_RAW,B2-1,HTNP,16323,2,NCUT,0
2026-06-18T11:07:26.875717,V66_RAW,B2-1,HTNP,16323,3,EXTR,0
2026-06-18T11:07:26.891214,V66_RAW,B2-1,HTNP,16323,4,FCYC,0
2026-06-18T11:07:26.907233,V66_RAW,B2-1,HTNP,16324,0,FULL,0
2026-06-18T11:07:26.923124,V66_RAW,B2-1,HTNP,16324,1,PCUT,0
2026-06-18T11:07:26.953679,V66_RAW,B2-1,HTNP,16324,2,NCUT,0
2026-06-18T11:07:26.954884,V66_RAW,B2-1,HTNP,16324,3,EXTR,0
2026-06-18T11:07:26.985643,V66_RAW,B2-1,HTNP,16324,4,FCYC,0
2026-06-18T11:07:26.987284,V66_RAW,B2-1,HTNP,16325,0,FULL,0
2026-06-18T11:07:27.016152,V66_RAW,B2-1,HTNP,16325,1,PCUT,0
2026-06-18T11:07:27.032264,V66_RAW,B2-1,HTNP,16325,2,NCUT,0
2026-06-18T11:07:27.047513,V66_RAW,B2-1,HTNP,16325,3,EXTR,0
2026-06-18T11:07:27.063032,V66_RAW,B2-1,HTNP,16325,4,FCYC,0
2026-06-18T11:07:27.078892,V66_RAW,B2-1,HTNP,16326,0,FULL,0
2026-06-18T11:07:27.094788,V66_RAW,B2-1,HTNP,16326,1,PCUT,0
2026-06-18T11:07:27.110431,V66_RAW,B2-1,HTNP,16326,2,NCUT,0
2026-06-18T11:07:27.126094,V66_RAW,B2-1,HTNP,16326,3,EXTR,0
2026-06-18T11:07:27.141655,V66_RAW,B2-1,HTNP,16326,4,FCYC,0
2026-06-18T11:07:27.157680,V66_RAW,B2-1,HTNP,16327,0,FULL,0
2026-06-18T11:07:27.173656,V66_RAW,B2-1,HTNP,16327,1,PCUT,0
2026-06-18T11:07:27.188597,V66_RAW,B2-1,HTNP,16327,2,NCUT,0
2026-06-18T11:07:27.204133,V66_RAW,B2-1,HTNP,16327,3,EXTR,0
2026-06-18T11:07:27.220391,V66_RAW,B2-1,HTNP,16327,4,FCYC,0
2026-06-18T11:07:27.235261,V66_RAW,B2-1,HTNP,16328,0,FULL,0
2026-06-18T11:07:27.249779,V66_RAW,B2-1,HTNP,16328,1,PCUT,0
2026-06-18T11:07:27.265141,V66_RAW,B2-1,HTNP,16328,2,NCUT,0
2026-06-18T11:07:27.281423,V66_RAW,B2-1,HTNP,16328,3,EXTR,0
2026-06-18T11:07:27.296732,V66_RAW,B2-1,HTNP,16328,4,FCYC,0
2026-06-18T11:07:27.311837,V66_RAW,B2-1,HTNP,16329,0,FULL,0
2026-06-18T11:07:27.327415,V66_RAW,B2-1,HTNP,16329,1,PCUT,0
2026-06-18T11:07:27.342904,V66_RAW,B2-1,HTNP,16329,2,NCUT,0
2026-06-18T11:07:27.358880,V66_RAW,B2-1,HTNP,16329,3,EXTR,0
2026-06-18T11:07:27.374536,V66_RAW,B2-1,HTNP,16329,4,FCYC,0
2026-06-18T11:07:27.390617,V66_RAW,B2-1,HTNP,16330,0,FULL,0
2026-06-18T11:07:27.406180,V66_RAW,B2-1,HTNP,16330,1,PCUT,0
2026-06-18T11:07:27.421951,V66_RAW,B2-1,HTNP,16330,2,NCUT,0
2026-06-18T11:07:27.437347,V66_RAW,B2-1,HTNP,16330,3,EXTR,0
2026-06-18T11:07:27.453404,V66_RAW,B2-1,HTNP,16330,4,FCYC,0
2026-06-18T11:07:27.470614,V66_RAW,B2-1,HTNP,16331,0,FULL,0
2026-06-18T11:07:27.486006,V66_RAW,B2-1,HTNP,16331,1,PCUT,0
