sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
16317,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16318,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16319,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16320,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16321,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16322,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16323,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16324,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16325,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16326,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16327,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16328,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16329,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16330,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16331,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16332,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16333,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16334,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16335,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16336,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16337,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16338,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16339,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16340,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16341,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16342,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16343,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16344,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16345,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16346,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16347,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16348,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16349,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16350,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16351,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16352,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16353,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16354,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16355,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16356,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16357,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16358,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16359,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16360,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16361,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16362,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16363,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16364,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16365,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16366,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16367,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16368,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16369,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16370,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16371,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16372,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16373,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16374,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16375,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16376,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16377,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16378,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16379,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16380,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16381,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16382,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16383,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16384,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16385,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16386,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16387,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16388,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16389,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16390,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16391,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16392,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16393,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16394,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16395,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16396,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16397,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16398,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16399,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16400,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16401,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16402,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
16403,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
