sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
65137,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65138,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65139,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65140,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65141,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65142,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65143,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65144,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65145,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65146,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65147,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65148,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65149,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65150,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65151,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65152,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65153,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65154,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65155,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65156,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65157,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65158,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65159,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65160,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65161,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65162,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65163,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65164,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65165,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65166,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65167,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65168,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65169,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65170,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65171,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65172,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65173,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65174,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65175,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65176,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65177,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65178,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65179,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65180,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65181,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65182,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65183,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65184,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65185,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65186,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65187,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65188,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65189,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65190,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65191,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65192,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65193,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65194,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65195,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65196,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65197,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65198,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65199,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65200,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65201,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65202,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
65203,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
