pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T10:44:01.082653,V66_RAW,B2-1,NTNP,64291,0,FULL,0
2026-06-18T10:44:01.098687,V66_RAW,B2-1,NTNP,64291,1,PCUT,0
2026-06-18T10:44:01.113912,V66_RAW,B2-1,NTNP,64291,2,NCUT,0
2026-06-18T10:44:01.128126,V66_RAW,B2-1,NTNP,64291,3,EXTR,0
2026-06-18T10:44:01.144536,V66_RAW,B2-1,NTNP,64291,4,FCYC,0
2026-06-18T10:44:01.159976,V66_RAW,B2-1,NTNP,64292,0,FULL,0
2026-06-18T10:44:01.176067,V66_RAW,B2-1,NTNP,64292,1,PCUT,0
2026-06-18T10:44:01.191812,V66_RAW,B2-1,NTNP,64292,2,NCUT,0
2026-06-18T10:44:01.207841,V66_RAW,B2-1,NTNP,64292,3,EXTR,0
2026-06-18T10:44:01.223050,V66_RAW,B2-1,NTNP,64292,4,FCYC,0
2026-06-18T10:44:01.254817,V66_RAW,B2-1,NTNP,64293,0,FULL,0
2026-06-18T10:44:01.256103,V66_RAW,B2-1,NTNP,64293,1,PCUT,0
2026-06-18T10:44:01.270103,V66_RAW,B2-1,NTNP,64293,2,NCUT,0
2026-06-18T10:44:01.300308,V66_RAW,B2-1,NTNP,64293,3,EXTR,0
2026-06-18T10:44:01.316666,V66_RAW,B2-1,NTNP,64293,4,FCYC,0
2026-06-18T10:44:01.331585,V66_RAW,B2-1,NTNP,64294,0,FULL,0
2026-06-18T10:44:01.347787,V66_RAW,B2-1,NTNP,64294,1,PCUT,0
2026-06-18T10:44:01.363367,V66_RAW,B2-1,NTNP,64294,2,NCUT,0
2026-06-18T10:44:01.379269,V66_RAW,B2-1,NTNP,64294,3,EXTR,0
2026-06-18T10:44:01.396133,V66_RAW,B2-1,NTNP,64294,4,FCYC,0
2026-06-18T10:44:01.411246,V66_RAW,B2-1,NTNP,64295,0,FULL,0
2026-06-18T10:44:01.426428,V66_RAW,B2-1,NTNP,64295,1,PCUT,0
2026-06-18T10:44:01.442131,V66_RAW,B2-1,NTNP,64295,2,NCUT,0
2026-06-18T10:44:01.457281,V66_RAW,B2-1,NTNP,64295,3,EXTR,0
2026-06-18T10:44:01.473686,V66_RAW,B2-1,NTNP,64295,4,FCYC,0
2026-06-18T10:44:01.489568,V66_RAW,B2-1,NTNP,64296,0,FULL,0
2026-06-18T10:44:01.505466,V66_RAW,B2-1,NTNP,64296,1,PCUT,0
2026-06-18T10:44:01.520669,V66_RAW,B2-1,NTNP,64296,2,NCUT,0
2026-06-18T10:44:01.536381,V66_RAW,B2-1,NTNP,64296,3,EXTR,0
2026-06-18T10:44:01.554369,V66_RAW,B2-1,NTNP,64296,4,FCYC,0
2026-06-18T10:44:01.585445,V66_RAW,B2-1,NTNP,64297,0,FULL,0
2026-06-18T10:44:01.589211,V66_RAW,B2-1,NTNP,64297,1,PCUT,0
2026-06-18T10:44:01.593165,V66_RAW,B2-1,NTNP,64297,2,NCUT,0
2026-06-18T10:44:01.616922,V66_RAW,B2-1,NTNP,64297,3,EXTR,0
2026-06-18T10:44:01.645846,V66_RAW,B2-1,NTNP,64297,4,FCYC,0
2026-06-18T10:44:01.646740,V66_RAW,B2-1,NTNP,64298,0,FULL,0
2026-06-18T10:44:01.662050,V66_RAW,B2-1,NTNP,64298,1,PCUT,0
2026-06-18T10:44:01.678740,V66_RAW,B2-1,NTNP,64298,2,NCUT,0
2026-06-18T10:44:01.708576,V66_RAW,B2-1,NTNP,64298,3,EXTR,0
2026-06-18T10:44:01.709418,V66_RAW,B2-1,NTNP,64298,4,FCYC,0
2026-06-18T10:44:01.724863,V66_RAW,B2-1,NTNP,64299,0,FULL,0
2026-06-18T10:44:01.739077,V66_RAW,B2-1,NTNP,64299,1,PCUT,0
2026-06-18T10:44:01.754026,V66_RAW,B2-1,NTNP,64299,2,NCUT,0
2026-06-18T10:44:01.769693,V66_RAW,B2-1,NTNP,64299,3,EXTR,0
2026-06-18T10:44:01.784462,V66_RAW,B2-1,NTNP,64299,4,FCYC,0
2026-06-18T10:44:01.799934,V66_RAW,B2-1,NTNP,64300,0,FULL,0
2026-06-18T10:44:01.816143,V66_RAW,B2-1,NTNP,64300,1,PCUT,0
2026-06-18T10:44:01.833006,V66_RAW,B2-1,NTNP,64300,2,NCUT,0
2026-06-18T10:44:01.861451,V66_RAW,B2-1,NTNP,64300,3,EXTR,0
2026-06-18T10:44:01.877632,V66_RAW,B2-1,NTNP,64300,4,FCYC,0
2026-06-18T10:44:01.879123,V66_RAW,B2-1,NTNP,64301,0,FULL,0
2026-06-18T10:44:01.908291,V66_RAW,B2-1,NTNP,64301,1,PCUT,0
2026-06-18T10:44:01.923786,V66_RAW,B2-1,NTNP,64301,2,NCUT,0
2026-06-18T10:44:01.939938,V66_RAW,B2-1,NTNP,64301,3,EXTR,0
2026-06-18T10:44:01.954136,V66_RAW,B2-1,NTNP,64301,4,FCYC,0
2026-06-18T10:44:01.969339,V66_RAW,B2-1,NTNP,64302,0,FULL,0
2026-06-18T10:44:01.984827,V66_RAW,B2-1,NTNP,64302,1,PCUT,0
2026-06-18T10:44:01.999582,V66_RAW,B2-1,NTNP,64302,2,NCUT,0
2026-06-18T10:44:02.014905,V66_RAW,B2-1,NTNP,64302,3,EXTR,0
2026-06-18T10:44:02.030490,V66_RAW,B2-1,NTNP,64302,4,FCYC,0
2026-06-18T10:44:02.046330,V66_RAW,B2-1,NTNP,64303,0,FULL,0
2026-06-18T10:44:02.062186,V66_RAW,B2-1,NTNP,64303,1,PCUT,0
2026-06-18T10:44:02.077351,V66_RAW,B2-1,NTNP,64303,2,NCUT,0
2026-06-18T10:44:02.093379,V66_RAW,B2-1,NTNP,64303,3,EXTR,0
2026-06-18T10:44:02.109530,V66_RAW,B2-1,NTNP,64303,4,FCYC,0
2026-06-18T10:44:02.124625,V66_RAW,B2-1,NTNP,64304,0,FULL,0
2026-06-18T10:44:02.139762,V66_RAW,B2-1,NTNP,64304,1,PCUT,0
2026-06-18T10:44:02.155860,V66_RAW,B2-1,NTNP,64304,2,NCUT,0
2026-06-18T10:44:02.171230,V66_RAW,B2-1,NTNP,64304,3,EXTR,0
2026-06-18T10:44:02.186757,V66_RAW,B2-1,NTNP,64304,4,FCYC,0
2026-06-18T10:44:02.203030,V66_RAW,B2-1,NTNP,64305,0,FULL,0
2026-06-18T10:44:02.218086,V66_RAW,B2-1,NTNP,64305,1,PCUT,0
2026-06-18T10:44:02.233530,V66_RAW,B2-1,NTNP,64305,2,NCUT,0
2026-06-18T10:44:02.250568,V66_RAW,B2-1,NTNP,64305,3,EXTR,0
2026-06-18T10:44:02.264838,V66_RAW,B2-1,NTNP,64305,4,FCYC,0
2026-06-18T10:44:02.280674,V66_RAW,B2-1,NTNP,64306,0,FULL,0
2026-06-18T10:44:02.295695,V66_RAW,B2-1,NTNP,64306,1,PCUT,0
2026-06-18T10:44:02.311647,V66_RAW,B2-1,NTNP,64306,2,NCUT,0
2026-06-18T10:44:02.343498,V66_RAW,B2-1,NTNP,64306,3,EXTR,0
2026-06-18T10:44:02.344198,V66_RAW,B2-1,NTNP,64306,4,FCYC,0
2026-06-18T10:44:02.372999,V66_RAW,B2-1,NTNP,64307,0,FULL,0
2026-06-18T10:44:02.387970,V66_RAW,B2-1,NTNP,64307,1,PCUT,0
2026-06-18T10:44:02.404039,V66_RAW,B2-1,NTNP,64307,2,NCUT,0
2026-06-18T10:44:02.419324,V66_RAW,B2-1,NTNP,64307,3,EXTR,0
2026-06-18T10:44:02.435005,V66_RAW,B2-1,NTNP,64307,4,FCYC,0
2026-06-18T10:44:02.450269,V66_RAW,B2-1,NTNP,64308,0,FULL,0
2026-06-18T10:44:02.465589,V66_RAW,B2-1,NTNP,64308,1,PCUT,0
2026-06-18T10:44:02.481818,V66_RAW,B2-1,NTNP,64308,2,NCUT,0
2026-06-18T10:44:02.498377,V66_RAW,B2-1,NTNP,64308,3,EXTR,0
2026-06-18T10:44:02.513826,V66_RAW,B2-1,NTNP,64308,4,FCYC,0
2026-06-18T10:44:02.529166,V66_RAW,B2-1,NTNP,64309,0,FULL,0
2026-06-18T10:44:02.544957,V66_RAW,B2-1,NTNP,64309,1,PCUT,0
2026-06-18T10:44:02.560310,V66_RAW,B2-1,NTNP,64309,2,NCUT,0
2026-06-18T10:44:02.575950,V66_RAW,B2-1,NTNP,64309,3,EXTR,0
2026-06-18T10:44:02.591427,V66_RAW,B2-1,NTNP,64309,4,FCYC,0
2026-06-18T10:44:02.607054,V66_RAW,B2-1,NTNP,64310,0,FULL,0
2026-06-18T10:44:02.621904,V66_RAW,B2-1,NTNP,64310,1,PCUT,0
2026-06-18T10:44:02.637541,V66_RAW,B2-1,NTNP,64310,2,NCUT,0
2026-06-18T10:44:02.652896,V66_RAW,B2-1,NTNP,64310,3,EXTR,0
2026-06-18T10:44:02.668732,V66_RAW,B2-1,NTNP,64310,4,FCYC,0
2026-06-18T10:44:02.683828,V66_RAW,B2-1,NTNP,64311,0,FULL,0
2026-06-18T10:44:02.699095,V66_RAW,B2-1,NTNP,64311,1,PCUT,0
2026-06-18T10:44:02.714545,V66_RAW,B2-1,NTNP,64311,2,NCUT,0
2026-06-18T10:44:02.729709,V66_RAW,B2-1,NTNP,64311,3,EXTR,0
2026-06-18T10:44:02.745444,V66_RAW,B2-1,NTNP,64311,4,FCYC,0
2026-06-18T10:44:02.761092,V66_RAW,B2-1,NTNP,64312,0,FULL,0
2026-06-18T10:44:02.776066,V66_RAW,B2-1,NTNP,64312,1,PCUT,0
2026-06-18T10:44:02.791860,V66_RAW,B2-1,NTNP,64312,2,NCUT,0
2026-06-18T10:44:02.807735,V66_RAW,B2-1,NTNP,64312,3,EXTR,0
2026-06-18T10:44:02.823381,V66_RAW,B2-1,NTNP,64312,4,FCYC,0
2026-06-18T10:44:02.853614,V66_RAW,B2-1,NTNP,64313,0,FULL,0
2026-06-18T10:44:02.869767,V66_RAW,B2-1,NTNP,64313,1,PCUT,0
2026-06-18T10:44:02.885613,V66_RAW,B2-1,NTNP,64313,2,NCUT,0
2026-06-18T10:44:02.901285,V66_RAW,B2-1,NTNP,64313,3,EXTR,0
2026-06-18T10:44:02.916765,V66_RAW,B2-1,NTNP,64313,4,FCYC,0
2026-06-18T10:44:02.931716,V66_RAW,B2-1,NTNP,64314,0,FULL,0
2026-06-18T10:44:02.947316,V66_RAW,B2-1,NTNP,64314,1,PCUT,0
2026-06-18T10:44:02.962975,V66_RAW,B2-1,NTNP,64314,2,NCUT,0
2026-06-18T10:44:02.977802,V66_RAW,B2-1,NTNP,64314,3,EXTR,0
2026-06-18T10:44:02.993631,V66_RAW,B2-1,NTNP,64314,4,FCYC,0
2026-06-18T10:44:03.009145,V66_RAW,B2-1,NTNP,64315,0,FULL,0
2026-06-18T10:44:03.025213,V66_RAW,B2-1,NTNP,64315,1,PCUT,0
2026-06-18T10:44:03.040754,V66_RAW,B2-1,NTNP,64315,2,NCUT,0
2026-06-18T10:44:03.056913,V66_RAW,B2-1,NTNP,64315,3,EXTR,0
2026-06-18T10:44:03.072816,V66_RAW,B2-1,NTNP,64315,4,FCYC,0
2026-06-18T10:44:03.088556,V66_RAW,B2-1,NTNP,64316,0,FULL,0
2026-06-18T10:44:03.104168,V66_RAW,B2-1,NTNP,64316,1,PCUT,0
2026-06-18T10:44:03.120093,V66_RAW,B2-1,NTNP,64316,2,NCUT,0
2026-06-18T10:44:03.135955,V66_RAW,B2-1,NTNP,64316,3,EXTR,0
2026-06-18T10:44:03.151858,V66_RAW,B2-1,NTNP,64316,4,FCYC,0
2026-06-18T10:44:03.167124,V66_RAW,B2-1,NTNP,64317,0,FULL,0
2026-06-18T10:44:03.182984,V66_RAW,B2-1,NTNP,64317,1,PCUT,0
2026-06-18T10:44:03.198725,V66_RAW,B2-1,NTNP,64317,2,NCUT,0
2026-06-18T10:44:03.213834,V66_RAW,B2-1,NTNP,64317,3,EXTR,0
2026-06-18T10:44:03.229573,V66_RAW,B2-1,NTNP,64317,4,FCYC,0
2026-06-18T10:44:03.244465,V66_RAW,B2-1,NTNP,64318,0,FULL,0
2026-06-18T10:44:03.260990,V66_RAW,B2-1,NTNP,64318,1,PCUT,0
2026-06-18T10:44:03.275514,V66_RAW,B2-1,NTNP,64318,2,NCUT,0
2026-06-18T10:44:03.291073,V66_RAW,B2-1,NTNP,64318,3,EXTR,0
2026-06-18T10:44:03.307496,V66_RAW,B2-1,NTNP,64318,4,FCYC,0
2026-06-18T10:44:03.322753,V66_RAW,B2-1,NTNP,64319,0,FULL,0
2026-06-18T10:44:03.338330,V66_RAW,B2-1,NTNP,64319,1,PCUT,0
2026-06-18T10:44:03.353908,V66_RAW,B2-1,NTNP,64319,2,NCUT,0
2026-06-18T10:44:03.369275,V66_RAW,B2-1,NTNP,64319,3,EXTR,0
2026-06-18T10:44:03.384491,V66_RAW,B2-1,NTNP,64319,4,FCYC,0
2026-06-18T10:44:03.401753,V66_RAW,B2-1,NTNP,64320,0,FULL,0
2026-06-18T10:44:03.415894,V66_RAW,B2-1,NTNP,64320,1,PCUT,0
