sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
64291,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64292,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64293,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64294,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64295,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64296,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64297,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64298,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64299,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64300,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64301,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64302,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64303,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64304,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64305,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64306,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64307,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64308,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64309,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64310,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64311,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64312,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64313,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64314,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64315,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64316,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64317,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64318,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64319,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64320,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64321,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64322,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64323,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64324,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64325,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64326,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64327,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64328,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64329,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64330,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64331,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64332,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64333,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64334,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64335,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64336,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64337,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64338,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64339,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64340,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64341,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64342,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64343,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64344,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64345,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64346,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64347,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64348,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64349,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64350,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64351,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64352,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64353,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
64354,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
