pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T11:20:07.235781,V66_RAW,B2-2,HTHP,25826,0,FULL,0
2026-06-18T11:20:07.250599,V66_RAW,B2-2,HTHP,25826,1,PCUT,0
2026-06-18T11:20:07.281292,V66_RAW,B2-2,HTHP,25826,2,NCUT,0
2026-06-18T11:20:07.282893,V66_RAW,B2-2,HTHP,25826,3,EXTR,0
2026-06-18T11:20:07.311478,V66_RAW,B2-2,HTHP,25826,4,FCYC,0
2026-06-18T11:20:07.327831,V66_RAW,B2-2,HTHP,25827,0,FULL,0
2026-06-18T11:20:07.343110,V66_RAW,B2-2,HTHP,25827,1,PCUT,0
2026-06-18T11:20:07.358918,V66_RAW,B2-2,HTHP,25827,2,NCUT,0
2026-06-18T11:20:07.373572,V66_RAW,B2-2,HTHP,25827,3,EXTR,0
2026-06-18T11:20:07.390014,V66_RAW,B2-2,HTHP,25827,4,FCYC,0
2026-06-18T11:20:07.405530,V66_RAW,B2-2,HTHP,25828,0,FULL,0
2026-06-18T11:20:07.421237,V66_RAW,B2-2,HTHP,25828,1,PCUT,0
2026-06-18T11:20:07.436330,V66_RAW,B2-2,HTHP,25828,2,NCUT,0
2026-06-18T11:20:07.452102,V66_RAW,B2-2,HTHP,25828,3,EXTR,0
2026-06-18T11:20:07.467830,V66_RAW,B2-2,HTHP,25828,4,FCYC,0
2026-06-18T11:20:07.482584,V66_RAW,B2-2,HTHP,25829,0,FULL,0
2026-06-18T11:20:07.498567,V66_RAW,B2-2,HTHP,25829,1,PCUT,0
2026-06-18T11:20:07.514369,V66_RAW,B2-2,HTHP,25829,2,NCUT,0
2026-06-18T11:20:07.530234,V66_RAW,B2-2,HTHP,25829,3,EXTR,0
2026-06-18T11:20:07.545067,V66_RAW,B2-2,HTHP,25829,4,FCYC,0
2026-06-18T11:20:07.561024,V66_RAW,B2-2,HTHP,25830,0,FULL,0
2026-06-18T11:20:07.576854,V66_RAW,B2-2,HTHP,25830,1,PCUT,0
