pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T11:19:16.905766,V66_RAW,B2-2,HTNP,25197,0,FULL,0
2026-06-18T11:19:16.920838,V66_RAW,B2-2,HTNP,25197,1,PCUT,0
2026-06-18T11:19:16.936518,V66_RAW,B2-2,HTNP,25197,2,NCUT,0
2026-06-18T11:19:16.951431,V66_RAW,B2-2,HTNP,25197,3,EXTR,0
2026-06-18T11:19:16.967115,V66_RAW,B2-2,HTNP,25197,4,FCYC,0
2026-06-18T11:19:16.983100,V66_RAW,B2-2,HTNP,25198,0,FULL,0
2026-06-18T11:19:17.013222,V66_RAW,B2-2,HTNP,25198,1,PCUT,0
2026-06-18T11:19:17.028764,V66_RAW,B2-2,HTNP,25198,2,NCUT,0
2026-06-18T11:19:17.043490,V66_RAW,B2-2,HTNP,25198,3,EXTR,0
2026-06-18T11:19:17.058752,V66_RAW,B2-2,HTNP,25198,4,FCYC,0
2026-06-18T11:19:17.074216,V66_RAW,B2-2,HTNP,25199,0,FULL,0
2026-06-18T11:19:17.089766,V66_RAW,B2-2,HTNP,25199,1,PCUT,0
2026-06-18T11:19:17.105422,V66_RAW,B2-2,HTNP,25199,2,NCUT,0
2026-06-18T11:19:17.121833,V66_RAW,B2-2,HTNP,25199,3,EXTR,0
2026-06-18T11:19:17.137040,V66_RAW,B2-2,HTNP,25199,4,FCYC,0
2026-06-18T11:19:17.152546,V66_RAW,B2-2,HTNP,25200,0,FULL,0
2026-06-18T11:19:17.168224,V66_RAW,B2-2,HTNP,25200,1,PCUT,0
2026-06-18T11:19:17.184191,V66_RAW,B2-2,HTNP,25200,2,NCUT,0
2026-06-18T11:19:17.200149,V66_RAW,B2-2,HTNP,25200,3,EXTR,0
2026-06-18T11:19:17.215448,V66_RAW,B2-2,HTNP,25200,4,FCYC,0
2026-06-18T11:19:17.232502,V66_RAW,B2-2,HTNP,25201,0,FULL,0
2026-06-18T11:19:17.249410,V66_RAW,B2-2,HTNP,25201,1,PCUT,0
2026-06-18T11:19:17.279390,V66_RAW,B2-2,HTNP,25201,2,NCUT,0
2026-06-18T11:19:17.283353,V66_RAW,B2-2,HTNP,25201,3,EXTR,0
2026-06-18T11:19:17.308497,V66_RAW,B2-2,HTNP,25201,4,FCYC,0
2026-06-18T11:19:17.309320,V66_RAW,B2-2,HTNP,25202,0,FULL,0
2026-06-18T11:19:17.323702,V66_RAW,B2-2,HTNP,25202,1,PCUT,0
2026-06-18T11:19:17.339934,V66_RAW,B2-2,HTNP,25202,2,NCUT,0
2026-06-18T11:19:17.354371,V66_RAW,B2-2,HTNP,25202,3,EXTR,0
2026-06-18T11:19:17.384725,V66_RAW,B2-2,HTNP,25202,4,FCYC,0
2026-06-18T11:19:17.385411,V66_RAW,B2-2,HTNP,25203,0,FULL,0
2026-06-18T11:19:17.399864,V66_RAW,B2-2,HTNP,25203,1,PCUT,0
