sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
25197,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25198,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25199,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25200,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25201,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25202,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25203,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25204,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25205,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25206,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25207,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25208,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25209,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25210,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25211,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25212,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25213,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25214,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25215,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25216,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25217,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25218,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25219,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25220,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25221,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25222,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25223,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25224,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25225,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25226,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25227,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25228,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25229,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25230,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25231,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25232,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25233,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25234,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25235,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25236,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25237,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25238,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25239,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25240,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25241,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25242,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25243,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25244,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25245,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25246,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25247,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25248,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25249,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25250,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25251,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25252,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25253,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25254,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25255,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25256,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25257,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25258,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25259,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25260,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25261,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25262,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25263,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25264,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25265,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25266,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25267,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25268,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25269,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25270,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25271,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25272,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25273,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25274,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25275,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25276,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25277,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25278,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25279,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25280,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25281,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25282,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25283,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25284,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25285,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25286,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25287,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25288,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25289,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
