sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
24702,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24703,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24704,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24705,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24706,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24707,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24708,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24709,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24710,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24711,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24712,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24713,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24714,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24715,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24716,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24717,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24718,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24719,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24720,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24721,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24722,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24723,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24724,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24725,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24726,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24727,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24728,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24729,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24730,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24731,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24732,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24733,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24734,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24735,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24736,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24737,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24738,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
