sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
61085,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61086,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61087,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61088,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61089,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61090,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61091,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61092,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61093,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61094,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61095,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61096,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61097,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61098,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61099,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61100,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61101,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61102,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61103,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61104,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61105,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61106,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61107,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61108,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61109,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61110,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61111,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61112,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61113,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61114,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61115,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61116,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61117,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61118,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61119,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
61120,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
