pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T11:17:39.045911,V66_RAW,B2-2,NTNP,23974,0,FULL,0
2026-06-18T11:17:39.061719,V66_RAW,B2-2,NTNP,23974,1,PCUT,0
2026-06-18T11:17:39.076788,V66_RAW,B2-2,NTNP,23974,2,NCUT,0
2026-06-18T11:17:39.092316,V66_RAW,B2-2,NTNP,23974,3,EXTR,0
2026-06-18T11:17:39.109513,V66_RAW,B2-2,NTNP,23974,4,FCYC,0
2026-06-18T11:17:39.123689,V66_RAW,B2-2,NTNP,23975,0,FULL,0
2026-06-18T11:17:39.139839,V66_RAW,B2-2,NTNP,23975,1,PCUT,0
2026-06-18T11:17:39.154929,V66_RAW,B2-2,NTNP,23975,2,NCUT,0
2026-06-18T11:17:39.169907,V66_RAW,B2-2,NTNP,23975,3,EXTR,0
2026-06-18T11:17:39.186925,V66_RAW,B2-2,NTNP,23975,4,FCYC,0
2026-06-18T11:17:39.202284,V66_RAW,B2-2,NTNP,23976,0,FULL,0
2026-06-18T11:17:39.217890,V66_RAW,B2-2,NTNP,23976,1,PCUT,0
2026-06-18T11:17:39.248026,V66_RAW,B2-2,NTNP,23976,2,NCUT,0
2026-06-18T11:17:39.263983,V66_RAW,B2-2,NTNP,23976,3,EXTR,0
2026-06-18T11:17:39.265556,V66_RAW,B2-2,NTNP,23976,4,FCYC,0
2026-06-18T11:17:39.294168,V66_RAW,B2-2,NTNP,23977,0,FULL,0
2026-06-18T11:17:39.309568,V66_RAW,B2-2,NTNP,23977,1,PCUT,0
2026-06-18T11:17:39.324914,V66_RAW,B2-2,NTNP,23977,2,NCUT,0
2026-06-18T11:17:39.341135,V66_RAW,B2-2,NTNP,23977,3,EXTR,0
2026-06-18T11:17:39.356813,V66_RAW,B2-2,NTNP,23977,4,FCYC,0
2026-06-18T11:17:39.373261,V66_RAW,B2-2,NTNP,23978,0,FULL,0
2026-06-18T11:17:39.389106,V66_RAW,B2-2,NTNP,23978,1,PCUT,0
2026-06-18T11:17:39.403978,V66_RAW,B2-2,NTNP,23978,2,NCUT,0
2026-06-18T11:17:39.419697,V66_RAW,B2-2,NTNP,23978,3,EXTR,0
2026-06-18T11:17:39.435736,V66_RAW,B2-2,NTNP,23978,4,FCYC,0
2026-06-18T11:17:39.450376,V66_RAW,B2-2,NTNP,23979,0,FULL,0
2026-06-18T11:17:39.465804,V66_RAW,B2-2,NTNP,23979,1,PCUT,0
