pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T11:27:14.054823,V66_RAW,B2-3,HTHP,31160,0,FULL,0
2026-06-18T11:27:14.069843,V66_RAW,B2-3,HTHP,31160,1,PCUT,0
2026-06-18T11:27:14.085183,V66_RAW,B2-3,HTHP,31160,2,NCUT,0
2026-06-18T11:27:14.100087,V66_RAW,B2-3,HTHP,31160,3,EXTR,0
2026-06-18T11:27:14.116297,V66_RAW,B2-3,HTHP,31160,4,FCYC,0
2026-06-18T11:27:14.131119,V66_RAW,B2-3,HTHP,31161,0,FULL,0
2026-06-18T11:27:14.146727,V66_RAW,B2-3,HTHP,31161,1,PCUT,0
2026-06-18T11:27:14.162433,V66_RAW,B2-3,HTHP,31161,2,NCUT,0
2026-06-18T11:27:14.178123,V66_RAW,B2-3,HTHP,31161,3,EXTR,0
2026-06-18T11:27:14.193199,V66_RAW,B2-3,HTHP,31161,4,FCYC,0
2026-06-18T11:27:14.208730,V66_RAW,B2-3,HTHP,31162,0,FULL,0
2026-06-18T11:27:14.224292,V66_RAW,B2-3,HTHP,31162,1,PCUT,0
2026-06-18T11:27:14.254685,V66_RAW,B2-3,HTHP,31162,2,NCUT,0
2026-06-18T11:27:14.271073,V66_RAW,B2-3,HTHP,31162,3,EXTR,0
2026-06-18T11:27:14.272690,V66_RAW,B2-3,HTHP,31162,4,FCYC,0
2026-06-18T11:27:14.301229,V66_RAW,B2-3,HTHP,31163,0,FULL,0
2026-06-18T11:27:14.316787,V66_RAW,B2-3,HTHP,31163,1,PCUT,0
2026-06-18T11:27:14.331417,V66_RAW,B2-3,HTHP,31163,2,NCUT,0
2026-06-18T11:27:14.347367,V66_RAW,B2-3,HTHP,31163,3,EXTR,0
2026-06-18T11:27:14.363100,V66_RAW,B2-3,HTHP,31163,4,FCYC,0
2026-06-18T11:27:14.378469,V66_RAW,B2-3,HTHP,31164,0,FULL,0
2026-06-18T11:27:14.393781,V66_RAW,B2-3,HTHP,31164,1,PCUT,0
2026-06-18T11:27:14.409608,V66_RAW,B2-3,HTHP,31164,2,NCUT,0
2026-06-18T11:27:14.424621,V66_RAW,B2-3,HTHP,31164,3,EXTR,0
2026-06-18T11:27:14.441059,V66_RAW,B2-3,HTHP,31164,4,FCYC,0
2026-06-18T11:27:14.456857,V66_RAW,B2-3,HTHP,31165,0,FULL,0
2026-06-18T11:27:14.472918,V66_RAW,B2-3,HTHP,31165,1,PCUT,0
2026-06-18T11:27:14.488861,V66_RAW,B2-3,HTHP,31165,2,NCUT,0
2026-06-18T11:27:14.503090,V66_RAW,B2-3,HTHP,31165,3,EXTR,0
2026-06-18T11:27:14.519517,V66_RAW,B2-3,HTHP,31165,4,FCYC,0
2026-06-18T11:27:14.535801,V66_RAW,B2-3,HTHP,31166,0,FULL,0
2026-06-18T11:27:14.550373,V66_RAW,B2-3,HTHP,31166,1,PCUT,0
2026-06-18T11:27:14.565451,V66_RAW,B2-3,HTHP,31166,2,NCUT,0
2026-06-18T11:27:14.580873,V66_RAW,B2-3,HTHP,31166,3,EXTR,0
2026-06-18T11:27:14.597741,V66_RAW,B2-3,HTHP,31166,4,FCYC,0
2026-06-18T11:27:14.614553,V66_RAW,B2-3,HTHP,31167,0,FULL,0
2026-06-18T11:27:14.642614,V66_RAW,B2-3,HTHP,31167,1,PCUT,0
2026-06-18T11:27:14.643474,V66_RAW,B2-3,HTHP,31167,2,NCUT,0
2026-06-18T11:27:14.658174,V66_RAW,B2-3,HTHP,31167,3,EXTR,0
2026-06-18T11:27:14.673090,V66_RAW,B2-3,HTHP,31167,4,FCYC,0
2026-06-18T11:27:14.690218,V66_RAW,B2-3,HTHP,31168,0,FULL,0
2026-06-18T11:27:14.719867,V66_RAW,B2-3,HTHP,31168,1,PCUT,0
2026-06-18T11:27:14.721463,V66_RAW,B2-3,HTHP,31168,2,NCUT,0
2026-06-18T11:27:14.750536,V66_RAW,B2-3,HTHP,31168,3,EXTR,0
2026-06-18T11:27:14.766574,V66_RAW,B2-3,HTHP,31168,4,FCYC,0
2026-06-18T11:27:14.781629,V66_RAW,B2-3,HTHP,31169,0,FULL,0
2026-06-18T11:27:14.798018,V66_RAW,B2-3,HTHP,31169,1,PCUT,0
2026-06-18T11:27:14.813471,V66_RAW,B2-3,HTHP,31169,2,NCUT,0
