sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
31160,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31161,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31162,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31163,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31164,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31165,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31166,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31167,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31168,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31169,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31170,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31171,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31172,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31173,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31174,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31175,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31176,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31177,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31178,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31179,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31180,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31181,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31182,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31183,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31184,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31185,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31186,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31187,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31188,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31189,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31190,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31191,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31192,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31193,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31194,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31195,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31196,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31197,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31198,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31199,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31200,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31201,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31202,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31203,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31204,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31205,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31206,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31207,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31208,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31209,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31210,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31211,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31212,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31213,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31214,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31215,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31216,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31217,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31218,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31219,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31220,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31221,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31222,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31223,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31224,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31225,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31226,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31227,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31228,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31229,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31230,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31231,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31232,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31233,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31234,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31235,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31236,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31237,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31238,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31239,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31240,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31241,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31242,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31243,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31244,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31245,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31246,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31247,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31248,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
31249,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
