pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T11:26:12.197508,V66_RAW,B2-3,HTNP,30387,0,FULL,0
2026-06-18T11:26:12.213403,V66_RAW,B2-3,HTNP,30387,1,PCUT,0
2026-06-18T11:26:12.228820,V66_RAW,B2-3,HTNP,30387,2,NCUT,0
2026-06-18T11:26:12.244171,V66_RAW,B2-3,HTNP,30387,3,EXTR,0
2026-06-18T11:26:12.259676,V66_RAW,B2-3,HTNP,30387,4,FCYC,0
2026-06-18T11:26:12.275208,V66_RAW,B2-3,HTNP,30388,0,FULL,0
2026-06-18T11:26:12.291495,V66_RAW,B2-3,HTNP,30388,1,PCUT,0
2026-06-18T11:26:12.322328,V66_RAW,B2-3,HTNP,30388,2,NCUT,0
2026-06-18T11:26:12.323696,V66_RAW,B2-3,HTNP,30388,3,EXTR,0
2026-06-18T11:26:12.352489,V66_RAW,B2-3,HTNP,30388,4,FCYC,0
2026-06-18T11:26:12.368403,V66_RAW,B2-3,HTNP,30389,0,FULL,0
2026-06-18T11:26:12.383880,V66_RAW,B2-3,HTNP,30389,1,PCUT,0
2026-06-18T11:26:12.400409,V66_RAW,B2-3,HTNP,30389,2,NCUT,0
2026-06-18T11:26:12.414845,V66_RAW,B2-3,HTNP,30389,3,EXTR,0
2026-06-18T11:26:12.430551,V66_RAW,B2-3,HTNP,30389,4,FCYC,0
2026-06-18T11:26:12.446555,V66_RAW,B2-3,HTNP,30390,0,FULL,0
2026-06-18T11:26:12.461277,V66_RAW,B2-3,HTNP,30390,1,PCUT,0
2026-06-18T11:26:12.476359,V66_RAW,B2-3,HTNP,30390,2,NCUT,0
2026-06-18T11:26:12.491569,V66_RAW,B2-3,HTNP,30390,3,EXTR,0
2026-06-18T11:26:12.508338,V66_RAW,B2-3,HTNP,30390,4,FCYC,0
2026-06-18T11:26:12.522666,V66_RAW,B2-3,HTNP,30391,0,FULL,0
2026-06-18T11:26:12.537622,V66_RAW,B2-3,HTNP,30391,1,PCUT,0
2026-06-18T11:26:12.553210,V66_RAW,B2-3,HTNP,30391,2,NCUT,0
2026-06-18T11:26:12.568757,V66_RAW,B2-3,HTNP,30391,3,EXTR,0
2026-06-18T11:26:12.583886,V66_RAW,B2-3,HTNP,30391,4,FCYC,0
2026-06-18T11:26:12.600089,V66_RAW,B2-3,HTNP,30392,0,FULL,0
2026-06-18T11:26:12.615065,V66_RAW,B2-3,HTNP,30392,1,PCUT,0
2026-06-18T11:26:12.630538,V66_RAW,B2-3,HTNP,30392,2,NCUT,0
2026-06-18T11:26:12.646066,V66_RAW,B2-3,HTNP,30392,3,EXTR,0
2026-06-18T11:26:12.662026,V66_RAW,B2-3,HTNP,30392,4,FCYC,0
2026-06-18T11:26:12.677196,V66_RAW,B2-3,HTNP,30393,0,FULL,0
2026-06-18T11:26:12.693332,V66_RAW,B2-3,HTNP,30393,1,PCUT,0
2026-06-18T11:26:12.709644,V66_RAW,B2-3,HTNP,30393,2,NCUT,0
2026-06-18T11:26:12.725680,V66_RAW,B2-3,HTNP,30393,3,EXTR,0
2026-06-18T11:26:12.739889,V66_RAW,B2-3,HTNP,30393,4,FCYC,0
2026-06-18T11:26:12.756703,V66_RAW,B2-3,HTNP,30394,0,FULL,0
2026-06-18T11:26:12.775072,V66_RAW,B2-3,HTNP,30394,1,PCUT,0
2026-06-18T11:26:12.802682,V66_RAW,B2-3,HTNP,30394,2,NCUT,0
2026-06-18T11:26:12.804207,V66_RAW,B2-3,HTNP,30394,3,EXTR,0
2026-06-18T11:26:12.820968,V66_RAW,B2-3,HTNP,30394,4,FCYC,0
2026-06-18T11:26:12.835159,V66_RAW,B2-3,HTNP,30395,0,FULL,0
2026-06-18T11:26:12.866234,V66_RAW,B2-3,HTNP,30395,1,PCUT,0
2026-06-18T11:26:12.867610,V66_RAW,B2-3,HTNP,30395,2,NCUT,0
2026-06-18T11:26:12.897270,V66_RAW,B2-3,HTNP,30395,3,EXTR,0
2026-06-18T11:26:12.912606,V66_RAW,B2-3,HTNP,30395,4,FCYC,0
2026-06-18T11:26:12.928278,V66_RAW,B2-3,HTNP,30396,0,FULL,0
2026-06-18T11:26:12.945407,V66_RAW,B2-3,HTNP,30396,1,PCUT,0
2026-06-18T11:26:12.951848,V66_RAW,B2-3,HTNP,30396,2,NCUT,0
2026-06-18T11:26:12.976004,V66_RAW,B2-3,HTNP,30396,3,EXTR,0
2026-06-18T11:26:12.992105,V66_RAW,B2-3,HTNP,30396,4,FCYC,0
2026-06-18T11:26:13.006614,V66_RAW,B2-3,HTNP,30397,0,FULL,0
2026-06-18T11:26:13.023730,V66_RAW,B2-3,HTNP,30397,1,PCUT,0
2026-06-18T11:26:13.039459,V66_RAW,B2-3,HTNP,30397,2,NCUT,0
2026-06-18T11:26:13.054533,V66_RAW,B2-3,HTNP,30397,3,EXTR,0
2026-06-18T11:26:13.070143,V66_RAW,B2-3,HTNP,30397,4,FCYC,0
2026-06-18T11:26:13.084501,V66_RAW,B2-3,HTNP,30398,0,FULL,0
2026-06-18T11:26:13.101665,V66_RAW,B2-3,HTNP,30398,1,PCUT,0
2026-06-18T11:26:13.116087,V66_RAW,B2-3,HTNP,30398,2,NCUT,0
2026-06-18T11:26:13.131416,V66_RAW,B2-3,HTNP,30398,3,EXTR,0
2026-06-18T11:26:13.148374,V66_RAW,B2-3,HTNP,30398,4,FCYC,0
2026-06-18T11:26:13.163391,V66_RAW,B2-3,HTNP,30399,0,FULL,0
2026-06-18T11:26:13.178777,V66_RAW,B2-3,HTNP,30399,1,PCUT,0
2026-06-18T11:26:13.194133,V66_RAW,B2-3,HTNP,30399,2,NCUT,0
2026-06-18T11:26:13.210231,V66_RAW,B2-3,HTNP,30399,3,EXTR,0
2026-06-18T11:26:13.225756,V66_RAW,B2-3,HTNP,30399,4,FCYC,0
2026-06-18T11:26:13.241700,V66_RAW,B2-3,HTNP,30400,0,FULL,0
2026-06-18T11:26:13.256949,V66_RAW,B2-3,HTNP,30400,1,PCUT,0
2026-06-18T11:26:13.271077,V66_RAW,B2-3,HTNP,30400,2,NCUT,0
2026-06-18T11:26:13.286592,V66_RAW,B2-3,HTNP,30400,3,EXTR,0
2026-06-18T11:26:13.302620,V66_RAW,B2-3,HTNP,30400,4,FCYC,0
2026-06-18T11:26:13.317641,V66_RAW,B2-3,HTNP,30401,0,FULL,0
2026-06-18T11:26:13.333168,V66_RAW,B2-3,HTNP,30401,1,PCUT,0
2026-06-18T11:26:13.350632,V66_RAW,B2-3,HTNP,30401,2,NCUT,0
2026-06-18T11:26:13.365784,V66_RAW,B2-3,HTNP,30401,3,EXTR,0
2026-06-18T11:26:13.394675,V66_RAW,B2-3,HTNP,30401,4,FCYC,0
2026-06-18T11:26:13.395875,V66_RAW,B2-3,HTNP,30402,0,FULL,0
2026-06-18T11:26:13.426442,V66_RAW,B2-3,HTNP,30402,1,PCUT,0
2026-06-18T11:26:13.427869,V66_RAW,B2-3,HTNP,30402,2,NCUT,0
2026-06-18T11:26:13.456873,V66_RAW,B2-3,HTNP,30402,3,EXTR,0
2026-06-18T11:26:13.472406,V66_RAW,B2-3,HTNP,30402,4,FCYC,0
2026-06-18T11:26:13.488266,V66_RAW,B2-3,HTNP,30403,0,FULL,0
2026-06-18T11:26:13.503580,V66_RAW,B2-3,HTNP,30403,1,PCUT,0
2026-06-18T11:26:13.518680,V66_RAW,B2-3,HTNP,30403,2,NCUT,0
2026-06-18T11:26:13.533905,V66_RAW,B2-3,HTNP,30403,3,EXTR,0
2026-06-18T11:26:13.549797,V66_RAW,B2-3,HTNP,30403,4,FCYC,0
2026-06-18T11:26:13.566053,V66_RAW,B2-3,HTNP,30404,0,FULL,0
2026-06-18T11:26:13.581930,V66_RAW,B2-3,HTNP,30404,1,PCUT,0
2026-06-18T11:26:13.597440,V66_RAW,B2-3,HTNP,30404,2,NCUT,0
2026-06-18T11:26:13.613631,V66_RAW,B2-3,HTNP,30404,3,EXTR,0
2026-06-18T11:26:13.629012,V66_RAW,B2-3,HTNP,30404,4,FCYC,0
2026-06-18T11:26:13.644663,V66_RAW,B2-3,HTNP,30405,0,FULL,0
2026-06-18T11:26:13.660019,V66_RAW,B2-3,HTNP,30405,1,PCUT,0
2026-06-18T11:26:13.676510,V66_RAW,B2-3,HTNP,30405,2,NCUT,0
2026-06-18T11:26:13.692277,V66_RAW,B2-3,HTNP,30405,3,EXTR,0
2026-06-18T11:26:13.707665,V66_RAW,B2-3,HTNP,30405,4,FCYC,0
2026-06-18T11:26:13.722601,V66_RAW,B2-3,HTNP,30406,0,FULL,0
2026-06-18T11:26:13.739334,V66_RAW,B2-3,HTNP,30406,1,PCUT,0
2026-06-18T11:26:13.754654,V66_RAW,B2-3,HTNP,30406,2,NCUT,0
2026-06-18T11:26:13.769241,V66_RAW,B2-3,HTNP,30406,3,EXTR,0
2026-06-18T11:26:13.784901,V66_RAW,B2-3,HTNP,30406,4,FCYC,0
2026-06-18T11:26:13.800026,V66_RAW,B2-3,HTNP,30407,0,FULL,0
2026-06-18T11:26:13.815401,V66_RAW,B2-3,HTNP,30407,1,PCUT,0
2026-06-18T11:26:13.830526,V66_RAW,B2-3,HTNP,30407,2,NCUT,0
2026-06-18T11:26:13.846300,V66_RAW,B2-3,HTNP,30407,3,EXTR,0
2026-06-18T11:26:13.861945,V66_RAW,B2-3,HTNP,30407,4,FCYC,0
2026-06-18T11:26:13.877438,V66_RAW,B2-3,HTNP,30408,0,FULL,0
2026-06-18T11:26:13.892726,V66_RAW,B2-3,HTNP,30408,1,PCUT,0
2026-06-18T11:26:13.908311,V66_RAW,B2-3,HTNP,30408,2,NCUT,0
2026-06-18T11:26:13.923341,V66_RAW,B2-3,HTNP,30408,3,EXTR,0
2026-06-18T11:26:13.954655,V66_RAW,B2-3,HTNP,30408,4,FCYC,0
