sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
30387,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30388,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30389,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30390,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30391,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30392,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30393,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30394,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30395,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30396,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30397,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30398,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30399,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30400,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30401,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30402,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30403,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30404,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30405,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30406,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30407,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30408,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30409,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30410,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30411,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30412,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30413,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30414,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30415,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30416,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30417,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30418,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30419,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30420,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30421,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30422,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30423,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30424,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30425,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30426,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30427,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30428,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30429,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30430,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30431,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30432,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30433,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30434,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30435,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30436,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30437,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30438,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30439,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30440,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30441,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30442,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30443,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30444,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30445,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30446,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30447,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30448,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30449,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30450,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30451,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
