pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T14:09:49.900442,V66_RAW,B2-3,NTHP,22009,0,FULL,0
2026-06-18T14:09:49.917356,V66_RAW,B2-3,NTHP,22009,1,PCUT,0
2026-06-18T14:09:49.931309,V66_RAW,B2-3,NTHP,22009,2,NCUT,0
2026-06-18T14:09:49.947601,V66_RAW,B2-3,NTHP,22009,3,EXTR,0
2026-06-18T14:09:49.963526,V66_RAW,B2-3,NTHP,22009,4,FCYC,0
2026-06-18T14:09:49.978087,V66_RAW,B2-3,NTHP,22010,0,FULL,0
2026-06-18T14:09:49.993240,V66_RAW,B2-3,NTHP,22010,1,PCUT,0
2026-06-18T14:09:50.009164,V66_RAW,B2-3,NTHP,22010,2,NCUT,0
2026-06-18T14:09:50.024768,V66_RAW,B2-3,NTHP,22010,3,EXTR,0
2026-06-18T14:09:50.041127,V66_RAW,B2-3,NTHP,22010,4,FCYC,0
2026-06-18T14:09:50.056946,V66_RAW,B2-3,NTHP,22011,0,FULL,0
2026-06-18T14:09:50.074474,V66_RAW,B2-3,NTHP,22011,1,PCUT,0
2026-06-18T14:09:50.102594,V66_RAW,B2-3,NTHP,22011,2,NCUT,0
2026-06-18T14:09:50.103304,V66_RAW,B2-3,NTHP,22011,3,EXTR,0
2026-06-18T14:09:50.117417,V66_RAW,B2-3,NTHP,22011,4,FCYC,0
2026-06-18T14:09:50.133015,V66_RAW,B2-3,NTHP,22012,0,FULL,0
2026-06-18T14:09:50.163803,V66_RAW,B2-3,NTHP,22012,1,PCUT,0
2026-06-18T14:09:50.178943,V66_RAW,B2-3,NTHP,22012,2,NCUT,0
2026-06-18T14:09:50.194445,V66_RAW,B2-3,NTHP,22012,3,EXTR,0
2026-06-18T14:09:50.211445,V66_RAW,B2-3,NTHP,22012,4,FCYC,0
2026-06-18T14:09:50.226251,V66_RAW,B2-3,NTHP,22013,0,FULL,0
2026-06-18T14:09:50.242531,V66_RAW,B2-3,NTHP,22013,1,PCUT,0
2026-06-18T14:09:50.259719,V66_RAW,B2-3,NTHP,22013,2,NCUT,0
2026-06-18T14:09:50.272108,V66_RAW,B2-3,NTHP,22013,3,EXTR,0
