sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
22009,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22010,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22011,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22012,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22013,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22014,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22015,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22016,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22017,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22018,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22019,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22020,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22021,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22022,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22023,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22024,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22025,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22026,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22027,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22028,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22029,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22030,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22031,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22032,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22033,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22034,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22035,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22036,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22037,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22038,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22039,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22040,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22041,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22042,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22043,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22044,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
22045,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
