pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T14:08:17.637927,V66_RAW,B2-3,NTNP,20856,0,FULL,0
2026-06-18T14:08:17.652703,V66_RAW,B2-3,NTNP,20856,1,PCUT,0
2026-06-18T14:08:17.668104,V66_RAW,B2-3,NTNP,20856,2,NCUT,0
2026-06-18T14:08:17.683339,V66_RAW,B2-3,NTNP,20856,3,EXTR,0
2026-06-18T14:08:17.699191,V66_RAW,B2-3,NTNP,20856,4,FCYC,0
2026-06-18T14:08:17.714793,V66_RAW,B2-3,NTNP,20857,0,FULL,0
2026-06-18T14:08:17.729348,V66_RAW,B2-3,NTNP,20857,1,PCUT,0
2026-06-18T14:08:17.745238,V66_RAW,B2-3,NTNP,20857,2,NCUT,0
2026-06-18T14:08:17.760720,V66_RAW,B2-3,NTNP,20857,3,EXTR,0
2026-06-18T14:08:17.791127,V66_RAW,B2-3,NTNP,20857,4,FCYC,0
2026-06-18T14:08:17.806419,V66_RAW,B2-3,NTNP,20858,0,FULL,0
2026-06-18T14:08:17.822231,V66_RAW,B2-3,NTNP,20858,1,PCUT,0
2026-06-18T14:08:17.837553,V66_RAW,B2-3,NTNP,20858,2,NCUT,0
2026-06-18T14:08:17.853041,V66_RAW,B2-3,NTNP,20858,3,EXTR,0
2026-06-18T14:08:17.868902,V66_RAW,B2-3,NTNP,20858,4,FCYC,0
2026-06-18T14:08:17.884569,V66_RAW,B2-3,NTNP,20859,0,FULL,0
2026-06-18T14:08:17.901721,V66_RAW,B2-3,NTNP,20859,1,PCUT,0
2026-06-18T14:08:17.916553,V66_RAW,B2-3,NTNP,20859,2,NCUT,0
2026-06-18T14:08:17.933322,V66_RAW,B2-3,NTNP,20859,3,EXTR,0
2026-06-18T14:08:17.948697,V66_RAW,B2-3,NTNP,20859,4,FCYC,0
2026-06-18T14:08:17.964616,V66_RAW,B2-3,NTNP,20860,0,FULL,0
2026-06-18T14:08:17.980592,V66_RAW,B2-3,NTNP,20860,1,PCUT,0
2026-06-18T14:08:17.995759,V66_RAW,B2-3,NTNP,20860,2,NCUT,0
2026-06-18T14:08:18.011494,V66_RAW,B2-3,NTNP,20860,3,EXTR,0
2026-06-18T14:08:18.027897,V66_RAW,B2-3,NTNP,20860,4,FCYC,0
2026-06-18T14:08:18.043119,V66_RAW,B2-3,NTNP,20861,0,FULL,0
2026-06-18T14:08:18.058757,V66_RAW,B2-3,NTNP,20861,1,PCUT,0
2026-06-18T14:08:18.074906,V66_RAW,B2-3,NTNP,20861,2,NCUT,0
2026-06-18T14:08:18.090832,V66_RAW,B2-3,NTNP,20861,3,EXTR,0
2026-06-18T14:08:18.105929,V66_RAW,B2-3,NTNP,20861,4,FCYC,0
2026-06-18T14:08:18.122266,V66_RAW,B2-3,NTNP,20862,0,FULL,0
2026-06-18T14:08:18.136872,V66_RAW,B2-3,NTNP,20862,1,PCUT,0
2026-06-18T14:08:18.152135,V66_RAW,B2-3,NTNP,20862,2,NCUT,0
2026-06-18T14:08:18.167412,V66_RAW,B2-3,NTNP,20862,3,EXTR,0
2026-06-18T14:08:18.183012,V66_RAW,B2-3,NTNP,20862,4,FCYC,0
2026-06-18T14:08:18.198537,V66_RAW,B2-3,NTNP,20863,0,FULL,0
2026-06-18T14:08:18.214043,V66_RAW,B2-3,NTNP,20863,1,PCUT,0
2026-06-18T14:08:18.229177,V66_RAW,B2-3,NTNP,20863,2,NCUT,0
2026-06-18T14:08:18.245013,V66_RAW,B2-3,NTNP,20863,3,EXTR,0
2026-06-18T14:08:18.260391,V66_RAW,B2-3,NTNP,20863,4,FCYC,0
2026-06-18T14:08:18.276194,V66_RAW,B2-3,NTNP,20864,0,FULL,0
2026-06-18T14:08:18.292069,V66_RAW,B2-3,NTNP,20864,1,PCUT,0
2026-06-18T14:08:18.307321,V66_RAW,B2-3,NTNP,20864,2,NCUT,0
2026-06-18T14:08:18.322764,V66_RAW,B2-3,NTNP,20864,3,EXTR,0
2026-06-18T14:08:18.337661,V66_RAW,B2-3,NTNP,20864,4,FCYC,0
2026-06-18T14:08:18.353811,V66_RAW,B2-3,NTNP,20865,0,FULL,0
2026-06-18T14:08:18.369651,V66_RAW,B2-3,NTNP,20865,1,PCUT,0
2026-06-18T14:08:18.385603,V66_RAW,B2-3,NTNP,20865,2,NCUT,0
2026-06-18T14:08:18.401469,V66_RAW,B2-3,NTNP,20865,3,EXTR,0
2026-06-18T14:08:18.417062,V66_RAW,B2-3,NTNP,20865,4,FCYC,0
2026-06-18T14:08:18.446874,V66_RAW,B2-3,NTNP,20866,0,FULL,0
2026-06-18T14:08:18.462513,V66_RAW,B2-3,NTNP,20866,1,PCUT,0
2026-06-18T14:08:18.478176,V66_RAW,B2-3,NTNP,20866,2,NCUT,0
2026-06-18T14:08:18.493688,V66_RAW,B2-3,NTNP,20866,3,EXTR,0
2026-06-18T14:08:18.509609,V66_RAW,B2-3,NTNP,20866,4,FCYC,0
2026-06-18T14:08:18.524739,V66_RAW,B2-3,NTNP,20867,0,FULL,0
2026-06-18T14:08:18.540908,V66_RAW,B2-3,NTNP,20867,1,PCUT,0
2026-06-18T14:08:18.556207,V66_RAW,B2-3,NTNP,20867,2,NCUT,0
2026-06-18T14:08:18.571970,V66_RAW,B2-3,NTNP,20867,3,EXTR,0
2026-06-18T14:08:18.587835,V66_RAW,B2-3,NTNP,20867,4,FCYC,0
2026-06-18T14:08:18.603802,V66_RAW,B2-3,NTNP,20868,0,FULL,0
2026-06-18T14:08:18.618746,V66_RAW,B2-3,NTNP,20868,1,PCUT,0
2026-06-18T14:08:18.635929,V66_RAW,B2-3,NTNP,20868,2,NCUT,0
2026-06-18T14:08:18.651218,V66_RAW,B2-3,NTNP,20868,3,EXTR,0
2026-06-18T14:08:18.666462,V66_RAW,B2-3,NTNP,20868,4,FCYC,0
2026-06-18T14:08:18.681487,V66_RAW,B2-3,NTNP,20869,0,FULL,0
2026-06-18T14:08:18.697147,V66_RAW,B2-3,NTNP,20869,1,PCUT,0
2026-06-18T14:08:18.712906,V66_RAW,B2-3,NTNP,20869,2,NCUT,0
2026-06-18T14:08:18.729084,V66_RAW,B2-3,NTNP,20869,3,EXTR,0
2026-06-18T14:08:18.745134,V66_RAW,B2-3,NTNP,20869,4,FCYC,0
2026-06-18T14:08:18.761535,V66_RAW,B2-3,NTNP,20870,0,FULL,0
2026-06-18T14:08:18.775716,V66_RAW,B2-3,NTNP,20870,1,PCUT,0
2026-06-18T14:08:18.791134,V66_RAW,B2-3,NTNP,20870,2,NCUT,0
2026-06-18T14:08:18.806620,V66_RAW,B2-3,NTNP,20870,3,EXTR,0
2026-06-18T14:08:18.821030,V66_RAW,B2-3,NTNP,20870,4,FCYC,0
2026-06-18T14:08:18.836704,V66_RAW,B2-3,NTNP,20871,0,FULL,0
2026-06-18T14:08:18.852125,V66_RAW,B2-3,NTNP,20871,1,PCUT,0
2026-06-18T14:08:18.866876,V66_RAW,B2-3,NTNP,20871,2,NCUT,0
2026-06-18T14:08:18.882212,V66_RAW,B2-3,NTNP,20871,3,EXTR,0
2026-06-18T14:08:18.898341,V66_RAW,B2-3,NTNP,20871,4,FCYC,0
2026-06-18T14:08:18.913365,V66_RAW,B2-3,NTNP,20872,0,FULL,0
2026-06-18T14:08:18.929071,V66_RAW,B2-3,NTNP,20872,1,PCUT,0
2026-06-18T14:08:18.945086,V66_RAW,B2-3,NTNP,20872,2,NCUT,0
2026-06-18T14:08:18.974885,V66_RAW,B2-3,NTNP,20872,3,EXTR,0
2026-06-18T14:08:18.991171,V66_RAW,B2-3,NTNP,20872,4,FCYC,0
2026-06-18T14:08:19.007263,V66_RAW,B2-3,NTNP,20873,0,FULL,0
2026-06-18T14:08:19.008957,V66_RAW,B2-3,NTNP,20873,1,PCUT,0
2026-06-18T14:08:19.038054,V66_RAW,B2-3,NTNP,20873,2,NCUT,0
2026-06-18T14:08:19.053322,V66_RAW,B2-3,NTNP,20873,3,EXTR,0
2026-06-18T14:08:19.070237,V66_RAW,B2-3,NTNP,20873,4,FCYC,0
2026-06-18T14:08:19.086904,V66_RAW,B2-3,NTNP,20874,0,FULL,0
2026-06-18T14:08:19.100379,V66_RAW,B2-3,NTNP,20874,1,PCUT,0
2026-06-18T14:08:19.116633,V66_RAW,B2-3,NTNP,20874,2,NCUT,0
2026-06-18T14:08:19.132588,V66_RAW,B2-3,NTNP,20874,3,EXTR,0
2026-06-18T14:08:19.148271,V66_RAW,B2-3,NTNP,20874,4,FCYC,0
2026-06-18T14:08:19.164300,V66_RAW,B2-3,NTNP,20875,0,FULL,0
2026-06-18T14:08:19.179106,V66_RAW,B2-3,NTNP,20875,1,PCUT,0
2026-06-18T14:08:19.196362,V66_RAW,B2-3,NTNP,20875,2,NCUT,0
2026-06-18T14:08:19.210875,V66_RAW,B2-3,NTNP,20875,3,EXTR,0
2026-06-18T14:08:19.226766,V66_RAW,B2-3,NTNP,20875,4,FCYC,0
2026-06-18T14:08:19.242706,V66_RAW,B2-3,NTNP,20876,0,FULL,0
2026-06-18T14:08:19.259095,V66_RAW,B2-3,NTNP,20876,1,PCUT,0
2026-06-18T14:08:19.274447,V66_RAW,B2-3,NTNP,20876,2,NCUT,0
2026-06-18T14:08:19.290063,V66_RAW,B2-3,NTNP,20876,3,EXTR,0
