sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
20856,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20857,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20858,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20859,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20860,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20861,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20862,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20863,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20864,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20865,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20866,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20867,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20868,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20869,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20870,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20871,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20872,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20873,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20874,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20875,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20876,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20877,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20878,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20879,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20880,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20881,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20882,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20883,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20884,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20885,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20886,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20887,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20888,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20889,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20890,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20891,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20892,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20893,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20894,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20895,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20896,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20897,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20898,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20899,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20900,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20901,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20902,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20903,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20904,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20905,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20906,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20907,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20908,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20909,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20910,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20911,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20912,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20913,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20914,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20915,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20916,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20917,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20918,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20919,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
20920,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
