pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T14:14:20.514694,V66_RAW,B2-4,HTHP,25391,0,FULL,0
2026-06-18T14:14:20.530810,V66_RAW,B2-4,HTHP,25391,1,PCUT,0
2026-06-18T14:14:20.546102,V66_RAW,B2-4,HTHP,25391,2,NCUT,0
2026-06-18T14:14:20.563008,V66_RAW,B2-4,HTHP,25391,3,EXTR,0
2026-06-18T14:14:20.592788,V66_RAW,B2-4,HTHP,25391,4,FCYC,0
2026-06-18T14:14:20.596554,V66_RAW,B2-4,HTHP,25392,0,FULL,0
2026-06-18T14:14:20.622679,V66_RAW,B2-4,HTHP,25392,1,PCUT,0
2026-06-18T14:14:20.639318,V66_RAW,B2-4,HTHP,25392,2,NCUT,0
2026-06-18T14:14:20.640902,V66_RAW,B2-4,HTHP,25392,3,EXTR,0
2026-06-18T14:14:20.669476,V66_RAW,B2-4,HTHP,25392,4,FCYC,0
2026-06-18T14:14:20.684911,V66_RAW,B2-4,HTHP,25393,0,FULL,0
2026-06-18T14:14:20.701270,V66_RAW,B2-4,HTHP,25393,1,PCUT,0
2026-06-18T14:14:20.716289,V66_RAW,B2-4,HTHP,25393,2,NCUT,0
2026-06-18T14:14:20.732745,V66_RAW,B2-4,HTHP,25393,3,EXTR,0
2026-06-18T14:14:20.747708,V66_RAW,B2-4,HTHP,25393,4,FCYC,0
2026-06-18T14:14:20.762212,V66_RAW,B2-4,HTHP,25394,0,FULL,0
2026-06-18T14:14:20.778200,V66_RAW,B2-4,HTHP,25394,1,PCUT,0
2026-06-18T14:14:20.793856,V66_RAW,B2-4,HTHP,25394,2,NCUT,0
2026-06-18T14:14:20.811445,V66_RAW,B2-4,HTHP,25394,3,EXTR,0
2026-06-18T14:14:20.826306,V66_RAW,B2-4,HTHP,25394,4,FCYC,0
2026-06-18T14:14:20.841763,V66_RAW,B2-4,HTHP,25395,0,FULL,0
2026-06-18T14:14:20.857221,V66_RAW,B2-4,HTHP,25395,1,PCUT,0
2026-06-18T14:14:20.873307,V66_RAW,B2-4,HTHP,25395,2,NCUT,0
2026-06-18T14:14:20.887774,V66_RAW,B2-4,HTHP,25395,3,EXTR,0
2026-06-18T14:14:20.904218,V66_RAW,B2-4,HTHP,25395,4,FCYC,0
2026-06-18T14:14:20.920289,V66_RAW,B2-4,HTHP,25396,0,FULL,0
2026-06-18T14:14:20.936913,V66_RAW,B2-4,HTHP,25396,1,PCUT,0
2026-06-18T14:14:20.951075,V66_RAW,B2-4,HTHP,25396,2,NCUT,0
2026-06-18T14:14:20.966810,V66_RAW,B2-4,HTHP,25396,3,EXTR,0
2026-06-18T14:14:20.982257,V66_RAW,B2-4,HTHP,25396,4,FCYC,0
2026-06-18T14:14:20.998433,V66_RAW,B2-4,HTHP,25397,0,FULL,0
2026-06-18T14:14:21.013651,V66_RAW,B2-4,HTHP,25397,1,PCUT,0
2026-06-18T14:14:21.029884,V66_RAW,B2-4,HTHP,25397,2,NCUT,0
2026-06-18T14:14:21.045116,V66_RAW,B2-4,HTHP,25397,3,EXTR,0
