sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
25391,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25392,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25393,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25394,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25395,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25396,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25397,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25398,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25399,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25400,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25401,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25402,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25403,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25404,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25405,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25406,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25407,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25408,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25409,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25410,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25411,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25412,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25413,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25414,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25415,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25416,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25417,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25418,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25419,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25420,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25421,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25422,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25423,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25424,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
