pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T14:12:37.693042,V66_RAW,B2-4,NTHP,24106,0,FULL,0
2026-06-18T14:12:37.708592,V66_RAW,B2-4,NTHP,24106,1,PCUT,0
2026-06-18T14:12:37.724689,V66_RAW,B2-4,NTHP,24106,2,NCUT,0
2026-06-18T14:12:37.740760,V66_RAW,B2-4,NTHP,24106,3,EXTR,0
2026-06-18T14:12:37.757732,V66_RAW,B2-4,NTHP,24106,4,FCYC,0
2026-06-18T14:12:37.772304,V66_RAW,B2-4,NTHP,24107,0,FULL,0
2026-06-18T14:12:37.787890,V66_RAW,B2-4,NTHP,24107,1,PCUT,0
2026-06-18T14:12:37.805781,V66_RAW,B2-4,NTHP,24107,2,NCUT,0
2026-06-18T14:12:37.834771,V66_RAW,B2-4,NTHP,24107,3,EXTR,0
2026-06-18T14:12:37.836127,V66_RAW,B2-4,NTHP,24107,4,FCYC,0
2026-06-18T14:12:37.865293,V66_RAW,B2-4,NTHP,24108,0,FULL,0
2026-06-18T14:12:37.866848,V66_RAW,B2-4,NTHP,24108,1,PCUT,0
2026-06-18T14:12:37.895952,V66_RAW,B2-4,NTHP,24108,2,NCUT,0
2026-06-18T14:12:37.911137,V66_RAW,B2-4,NTHP,24108,3,EXTR,0
2026-06-18T14:12:37.926437,V66_RAW,B2-4,NTHP,24108,4,FCYC,0
2026-06-18T14:12:37.942026,V66_RAW,B2-4,NTHP,24109,0,FULL,0
2026-06-18T14:12:37.957189,V66_RAW,B2-4,NTHP,24109,1,PCUT,0
2026-06-18T14:12:37.972237,V66_RAW,B2-4,NTHP,24109,2,NCUT,0
2026-06-18T14:12:37.986757,V66_RAW,B2-4,NTHP,24109,3,EXTR,0
2026-06-18T14:12:38.002008,V66_RAW,B2-4,NTHP,24109,4,FCYC,0
2026-06-18T14:12:38.017830,V66_RAW,B2-4,NTHP,24110,0,FULL,0
2026-06-18T14:12:38.034208,V66_RAW,B2-4,NTHP,24110,1,PCUT,0
2026-06-18T14:12:38.049376,V66_RAW,B2-4,NTHP,24110,2,NCUT,0
