sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
24106,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24107,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24108,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24109,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24110,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24111,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24112,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24113,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24114,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24115,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24116,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24117,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24118,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24119,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24120,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24121,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24122,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24123,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24124,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24125,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24126,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24127,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24128,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24129,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24130,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24131,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24132,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24133,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24134,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24135,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24136,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24137,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24138,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24139,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24140,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24141,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24142,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24143,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24144,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24145,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24146,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24147,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24148,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24149,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24150,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24151,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24152,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24153,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24154,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24155,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24156,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24157,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24158,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24159,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24160,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24161,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24162,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24163,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24164,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24165,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24166,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24167,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24168,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24169,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24170,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24171,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24172,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24173,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24174,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24175,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24176,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24177,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24178,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24179,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24180,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24181,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24182,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24183,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24184,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24185,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24186,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24187,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24188,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24189,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24190,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24191,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24192,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24193,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24194,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24195,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24196,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24197,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24198,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24199,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24200,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24201,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24202,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24203,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24204,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
