sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
23251,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23252,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23253,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23254,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23255,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23256,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23257,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23258,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23259,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23260,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23261,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23262,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23263,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23264,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23265,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23266,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23267,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23268,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23269,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23270,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23271,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23272,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23273,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23274,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23275,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23276,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23277,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23278,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23279,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23280,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23281,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23282,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23283,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23284,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23285,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23286,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23287,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23288,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23289,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23290,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23291,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23292,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23293,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23294,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23295,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
