pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T14:24:00.091310,V66_RAW,B2-5,HTHP,32634,0,FULL,0
2026-06-18T14:24:00.107272,V66_RAW,B2-5,HTHP,32634,1,PCUT,0
2026-06-18T14:24:00.123089,V66_RAW,B2-5,HTHP,32634,2,NCUT,0
2026-06-18T14:24:00.138339,V66_RAW,B2-5,HTHP,32634,3,EXTR,0
2026-06-18T14:24:00.153999,V66_RAW,B2-5,HTHP,32634,4,FCYC,0
2026-06-18T14:24:00.169057,V66_RAW,B2-5,HTHP,32635,0,FULL,0
2026-06-18T14:24:00.184852,V66_RAW,B2-5,HTHP,32635,1,PCUT,0
2026-06-18T14:24:00.200385,V66_RAW,B2-5,HTHP,32635,2,NCUT,0
2026-06-18T14:24:00.216148,V66_RAW,B2-5,HTHP,32635,3,EXTR,0
2026-06-18T14:24:00.231877,V66_RAW,B2-5,HTHP,32635,4,FCYC,0
2026-06-18T14:24:00.247800,V66_RAW,B2-5,HTHP,32636,0,FULL,0
2026-06-18T14:24:00.263489,V66_RAW,B2-5,HTHP,32636,1,PCUT,0
2026-06-18T14:24:00.279353,V66_RAW,B2-5,HTHP,32636,2,NCUT,0
2026-06-18T14:24:00.294784,V66_RAW,B2-5,HTHP,32636,3,EXTR,0
2026-06-18T14:24:00.310009,V66_RAW,B2-5,HTHP,32636,4,FCYC,0
2026-06-18T14:24:00.325544,V66_RAW,B2-5,HTHP,32637,0,FULL,0
2026-06-18T14:24:00.340831,V66_RAW,B2-5,HTHP,32637,1,PCUT,0
2026-06-18T14:24:00.358580,V66_RAW,B2-5,HTHP,32637,2,NCUT,0
2026-06-18T14:24:00.373105,V66_RAW,B2-5,HTHP,32637,3,EXTR,0
2026-06-18T14:24:00.388700,V66_RAW,B2-5,HTHP,32637,4,FCYC,0
2026-06-18T14:24:00.403674,V66_RAW,B2-5,HTHP,32638,0,FULL,0
2026-06-18T14:24:00.419240,V66_RAW,B2-5,HTHP,32638,1,PCUT,0
2026-06-18T14:24:00.434719,V66_RAW,B2-5,HTHP,32638,2,NCUT,0
2026-06-18T14:24:00.450394,V66_RAW,B2-5,HTHP,32638,3,EXTR,0
2026-06-18T14:24:00.465945,V66_RAW,B2-5,HTHP,32638,4,FCYC,0
2026-06-18T14:24:00.499876,V66_RAW,B2-5,HTHP,32639,0,FULL,0
2026-06-18T14:24:00.501223,V66_RAW,B2-5,HTHP,32639,1,PCUT,0
2026-06-18T14:24:00.528816,V66_RAW,B2-5,HTHP,32639,2,NCUT,0
2026-06-18T14:24:00.530018,V66_RAW,B2-5,HTHP,32639,3,EXTR,0
2026-06-18T14:24:00.560450,V66_RAW,B2-5,HTHP,32639,4,FCYC,0
2026-06-18T14:24:00.566324,V66_RAW,B2-5,HTHP,32640,0,FULL,0
2026-06-18T14:24:00.592114,V66_RAW,B2-5,HTHP,32640,1,PCUT,0
2026-06-18T14:24:00.605878,V66_RAW,B2-5,HTHP,32640,2,NCUT,0
2026-06-18T14:24:00.621632,V66_RAW,B2-5,HTHP,32640,3,EXTR,0
2026-06-18T14:24:00.638268,V66_RAW,B2-5,HTHP,32640,4,FCYC,0
2026-06-18T14:24:00.652224,V66_RAW,B2-5,HTHP,32641,0,FULL,0
2026-06-18T14:24:00.669255,V66_RAW,B2-5,HTHP,32641,1,PCUT,0
2026-06-18T14:24:00.684359,V66_RAW,B2-5,HTHP,32641,2,NCUT,0
2026-06-18T14:24:00.699370,V66_RAW,B2-5,HTHP,32641,3,EXTR,0
2026-06-18T14:24:00.715832,V66_RAW,B2-5,HTHP,32641,4,FCYC,0
2026-06-18T14:24:00.732068,V66_RAW,B2-5,HTHP,32642,0,FULL,0
2026-06-18T14:24:00.749775,V66_RAW,B2-5,HTHP,32642,1,PCUT,0
2026-06-18T14:24:00.763384,V66_RAW,B2-5,HTHP,32642,2,NCUT,0
2026-06-18T14:24:00.778955,V66_RAW,B2-5,HTHP,32642,3,EXTR,0
2026-06-18T14:24:00.794971,V66_RAW,B2-5,HTHP,32642,4,FCYC,0
2026-06-18T14:24:00.809745,V66_RAW,B2-5,HTHP,32643,0,FULL,0
2026-06-18T14:24:00.824419,V66_RAW,B2-5,HTHP,32643,1,PCUT,0
2026-06-18T14:24:00.841035,V66_RAW,B2-5,HTHP,32643,2,NCUT,0
2026-06-18T14:24:00.857634,V66_RAW,B2-5,HTHP,32643,3,EXTR,0
2026-06-18T14:24:00.872769,V66_RAW,B2-5,HTHP,32643,4,FCYC,0
2026-06-18T14:24:00.888255,V66_RAW,B2-5,HTHP,32644,0,FULL,0
2026-06-18T14:24:00.901795,V66_RAW,B2-5,HTHP,32644,1,PCUT,0
2026-06-18T14:24:00.917271,V66_RAW,B2-5,HTHP,32644,2,NCUT,0
2026-06-18T14:24:00.934710,V66_RAW,B2-5,HTHP,32644,3,EXTR,0
2026-06-18T14:24:00.949881,V66_RAW,B2-5,HTHP,32644,4,FCYC,0
2026-06-18T14:24:00.966892,V66_RAW,B2-5,HTHP,32645,0,FULL,0
2026-06-18T14:24:00.996483,V66_RAW,B2-5,HTHP,32645,1,PCUT,0
2026-06-18T14:24:00.999468,V66_RAW,B2-5,HTHP,32645,2,NCUT,0
2026-06-18T14:24:01.027940,V66_RAW,B2-5,HTHP,32645,3,EXTR,0
2026-06-18T14:24:01.032723,V66_RAW,B2-5,HTHP,32645,4,FCYC,0
