sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
32634,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32635,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32636,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32637,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32638,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32639,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32640,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32641,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32642,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32643,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32644,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32645,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32646,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32647,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32648,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32649,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32650,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32651,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32652,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32653,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32654,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32655,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32656,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32657,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32658,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32659,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32660,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32661,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32662,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32663,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32664,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32665,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32666,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32667,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32668,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32669,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32670,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32671,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32672,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32673,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32674,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32675,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32676,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32677,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32678,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32679,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32680,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32681,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32682,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32683,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32684,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32685,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32686,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32687,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32688,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32689,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32690,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32691,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32692,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32693,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32694,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32695,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32696,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32697,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32698,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32699,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32700,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32701,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32702,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32703,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32704,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32705,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32706,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32707,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32708,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32709,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32710,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32711,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32712,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32713,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32714,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32715,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32716,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32717,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32718,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32719,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32720,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32721,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32722,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32723,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32724,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32725,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32726,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
