sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
32130,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32131,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32132,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32133,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32134,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32135,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32136,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32137,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32138,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32139,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32140,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32141,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32142,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32143,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32144,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32145,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32146,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32147,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32148,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32149,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32150,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32151,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32152,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32153,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32154,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32155,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32156,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32157,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32158,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32159,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32160,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32161,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32162,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32163,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32164,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32165,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32166,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32167,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32168,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32169,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32170,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32171,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32172,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32173,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32174,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32175,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32176,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32177,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32178,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32179,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32180,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32181,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32182,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32183,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32184,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32185,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
32186,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
