pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T14:21:37.737618,V66_RAW,B2-5,NTHP,30855,0,FULL,0
2026-06-18T14:21:37.755914,V66_RAW,B2-5,NTHP,30855,1,PCUT,0
2026-06-18T14:21:37.768544,V66_RAW,B2-5,NTHP,30855,2,NCUT,0
2026-06-18T14:21:37.784077,V66_RAW,B2-5,NTHP,30855,3,EXTR,0
2026-06-18T14:21:37.799620,V66_RAW,B2-5,NTHP,30855,4,FCYC,0
2026-06-18T14:21:37.815735,V66_RAW,B2-5,NTHP,30856,0,FULL,0
2026-06-18T14:21:37.832456,V66_RAW,B2-5,NTHP,30856,1,PCUT,0
2026-06-18T14:21:37.847221,V66_RAW,B2-5,NTHP,30856,2,NCUT,0
2026-06-18T14:21:37.862591,V66_RAW,B2-5,NTHP,30856,3,EXTR,0
2026-06-18T14:21:37.879530,V66_RAW,B2-5,NTHP,30856,4,FCYC,0
2026-06-18T14:21:37.895849,V66_RAW,B2-5,NTHP,30857,0,FULL,0
2026-06-18T14:21:37.911056,V66_RAW,B2-5,NTHP,30857,1,PCUT,0
2026-06-18T14:21:37.926977,V66_RAW,B2-5,NTHP,30857,2,NCUT,0
2026-06-18T14:21:37.943987,V66_RAW,B2-5,NTHP,30857,3,EXTR,0
2026-06-18T14:21:37.958697,V66_RAW,B2-5,NTHP,30857,4,FCYC,0
2026-06-18T14:21:37.974649,V66_RAW,B2-5,NTHP,30858,0,FULL,0
2026-06-18T14:21:37.988866,V66_RAW,B2-5,NTHP,30858,1,PCUT,0
2026-06-18T14:21:38.005503,V66_RAW,B2-5,NTHP,30858,2,NCUT,0
2026-06-18T14:21:38.022248,V66_RAW,B2-5,NTHP,30858,3,EXTR,0
2026-06-18T14:21:38.037012,V66_RAW,B2-5,NTHP,30858,4,FCYC,0
2026-06-18T14:21:38.053306,V66_RAW,B2-5,NTHP,30859,0,FULL,0
2026-06-18T14:21:38.068180,V66_RAW,B2-5,NTHP,30859,1,PCUT,0
2026-06-18T14:21:38.084561,V66_RAW,B2-5,NTHP,30859,2,NCUT,0
2026-06-18T14:21:38.099060,V66_RAW,B2-5,NTHP,30859,3,EXTR,0
2026-06-18T14:21:38.114636,V66_RAW,B2-5,NTHP,30859,4,FCYC,0
2026-06-18T14:21:38.130595,V66_RAW,B2-5,NTHP,30860,0,FULL,0
2026-06-18T14:21:38.147168,V66_RAW,B2-5,NTHP,30860,1,PCUT,0
2026-06-18T14:21:38.165646,V66_RAW,B2-5,NTHP,30860,2,NCUT,0
2026-06-18T14:21:38.180831,V66_RAW,B2-5,NTHP,30860,3,EXTR,0
2026-06-18T14:21:38.210932,V66_RAW,B2-5,NTHP,30860,4,FCYC,0
2026-06-18T14:21:38.212319,V66_RAW,B2-5,NTHP,30861,0,FULL,0
2026-06-18T14:21:38.240701,V66_RAW,B2-5,NTHP,30861,1,PCUT,0
2026-06-18T14:21:38.242283,V66_RAW,B2-5,NTHP,30861,2,NCUT,0
2026-06-18T14:21:38.272357,V66_RAW,B2-5,NTHP,30861,3,EXTR,0
2026-06-18T14:21:38.288376,V66_RAW,B2-5,NTHP,30861,4,FCYC,0
2026-06-18T14:21:38.303237,V66_RAW,B2-5,NTHP,30862,0,FULL,0
2026-06-18T14:21:38.320720,V66_RAW,B2-5,NTHP,30862,1,PCUT,0
2026-06-18T14:21:38.322414,V66_RAW,B2-5,NTHP,30862,2,NCUT,0
2026-06-18T14:21:38.350084,V66_RAW,B2-5,NTHP,30862,3,EXTR,0
2026-06-18T14:21:38.365456,V66_RAW,B2-5,NTHP,30862,4,FCYC,0
2026-06-18T14:21:38.381456,V66_RAW,B2-5,NTHP,30863,0,FULL,0
2026-06-18T14:21:38.396969,V66_RAW,B2-5,NTHP,30863,1,PCUT,0
2026-06-18T14:21:38.414442,V66_RAW,B2-5,NTHP,30863,2,NCUT,0
2026-06-18T14:21:38.431315,V66_RAW,B2-5,NTHP,30863,3,EXTR,0
2026-06-18T14:21:38.445779,V66_RAW,B2-5,NTHP,30863,4,FCYC,0
2026-06-18T14:21:38.460544,V66_RAW,B2-5,NTHP,30864,0,FULL,0
2026-06-18T14:21:38.476812,V66_RAW,B2-5,NTHP,30864,1,PCUT,0
2026-06-18T14:21:38.505624,V66_RAW,B2-5,NTHP,30864,2,NCUT,0
2026-06-18T14:21:38.506466,V66_RAW,B2-5,NTHP,30864,3,EXTR,0
2026-06-18T14:21:38.523375,V66_RAW,B2-5,NTHP,30864,4,FCYC,0
2026-06-18T14:21:38.540395,V66_RAW,B2-5,NTHP,30865,0,FULL,0
2026-06-18T14:21:38.553577,V66_RAW,B2-5,NTHP,30865,1,PCUT,0
2026-06-18T14:21:38.569439,V66_RAW,B2-5,NTHP,30865,2,NCUT,0
2026-06-18T14:21:38.585782,V66_RAW,B2-5,NTHP,30865,3,EXTR,0
2026-06-18T14:21:38.601198,V66_RAW,B2-5,NTHP,30865,4,FCYC,0
2026-06-18T14:21:38.617891,V66_RAW,B2-5,NTHP,30866,0,FULL,0
2026-06-18T14:21:38.631923,V66_RAW,B2-5,NTHP,30866,1,PCUT,0
2026-06-18T14:21:38.647488,V66_RAW,B2-5,NTHP,30866,2,NCUT,0
2026-06-18T14:21:38.663511,V66_RAW,B2-5,NTHP,30866,3,EXTR,0
2026-06-18T14:21:38.680267,V66_RAW,B2-5,NTHP,30866,4,FCYC,0
2026-06-18T14:21:38.695805,V66_RAW,B2-5,NTHP,30867,0,FULL,0
2026-06-18T14:21:38.725979,V66_RAW,B2-5,NTHP,30867,1,PCUT,0
2026-06-18T14:21:38.727158,V66_RAW,B2-5,NTHP,30867,2,NCUT,0
2026-06-18T14:21:38.740421,V66_RAW,B2-5,NTHP,30867,3,EXTR,0
2026-06-18T14:21:38.756076,V66_RAW,B2-5,NTHP,30867,4,FCYC,0
2026-06-18T14:21:38.770804,V66_RAW,B2-5,NTHP,30868,0,FULL,0
2026-06-18T14:21:38.786409,V66_RAW,B2-5,NTHP,30868,1,PCUT,0
2026-06-18T14:21:38.802744,V66_RAW,B2-5,NTHP,30868,2,NCUT,0
2026-06-18T14:21:38.818568,V66_RAW,B2-5,NTHP,30868,3,EXTR,0
2026-06-18T14:21:38.849140,V66_RAW,B2-5,NTHP,30868,4,FCYC,0
2026-06-18T14:21:38.850849,V66_RAW,B2-5,NTHP,30869,0,FULL,0
