sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
30855,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30856,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30857,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30858,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30859,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30860,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30861,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30862,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30863,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30864,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30865,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30866,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30867,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30868,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30869,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30870,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30871,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30872,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30873,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30874,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30875,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30876,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30877,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30878,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30879,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30880,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30881,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30882,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30883,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30884,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30885,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30886,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30887,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30888,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30889,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30890,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30891,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30892,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30893,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30894,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30895,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30896,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30897,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30898,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30899,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30900,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30901,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30902,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30903,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30904,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30905,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30906,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30907,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30908,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30909,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30910,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30911,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30912,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30913,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30914,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30915,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30916,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30917,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30918,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30919,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30920,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30921,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30922,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30923,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30924,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30925,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30926,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30927,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30928,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30929,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30930,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30931,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30932,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30933,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30934,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30935,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30936,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30937,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30938,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30939,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30940,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30941,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30942,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30943,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30944,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30945,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30946,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30947,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30948,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30949,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30950,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30951,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30952,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
30953,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
