sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
29261,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29262,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29263,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29264,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29265,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29266,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29267,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29268,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29269,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29270,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29271,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29272,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29273,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29274,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29275,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29276,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29277,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29278,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29279,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29280,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29281,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29282,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29283,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29284,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29285,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29286,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29287,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29288,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29289,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29290,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29291,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29292,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29293,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29294,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29295,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29296,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29297,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29298,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29299,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29300,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29301,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29302,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29303,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29304,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29305,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29306,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29307,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29308,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29309,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29310,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29311,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29312,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29313,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29314,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29315,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29316,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29317,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29318,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29319,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29320,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29321,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29322,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29323,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29324,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29325,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29326,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29327,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29328,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29329,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29330,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29331,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29332,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29333,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29334,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29335,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29336,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29337,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29338,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29339,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29340,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29341,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29342,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29343,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29344,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29345,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29346,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
29347,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
