pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T14:36:52.659329,V66_RAW,B2-6,HTHP,42289,0,FULL,0
2026-06-18T14:36:52.674293,V66_RAW,B2-6,HTHP,42289,1,PCUT,0
2026-06-18T14:36:52.690401,V66_RAW,B2-6,HTHP,42289,2,NCUT,0
2026-06-18T14:36:52.705880,V66_RAW,B2-6,HTHP,42289,3,EXTR,0
2026-06-18T14:36:52.721796,V66_RAW,B2-6,HTHP,42289,4,FCYC,0
2026-06-18T14:36:52.737529,V66_RAW,B2-6,HTHP,42290,0,FULL,0
2026-06-18T14:36:52.753127,V66_RAW,B2-6,HTHP,42290,1,PCUT,0
2026-06-18T14:36:52.768724,V66_RAW,B2-6,HTHP,42290,2,NCUT,0
2026-06-18T14:36:52.783679,V66_RAW,B2-6,HTHP,42290,3,EXTR,0
2026-06-18T14:36:52.798937,V66_RAW,B2-6,HTHP,42290,4,FCYC,0
2026-06-18T14:36:52.814771,V66_RAW,B2-6,HTHP,42291,0,FULL,0
2026-06-18T14:36:52.829887,V66_RAW,B2-6,HTHP,42291,1,PCUT,0
2026-06-18T14:36:52.845415,V66_RAW,B2-6,HTHP,42291,2,NCUT,0
2026-06-18T14:36:52.876395,V66_RAW,B2-6,HTHP,42291,3,EXTR,0
2026-06-18T14:36:52.877748,V66_RAW,B2-6,HTHP,42291,4,FCYC,0
2026-06-18T14:36:52.909534,V66_RAW,B2-6,HTHP,42292,0,FULL,0
2026-06-18T14:36:52.910731,V66_RAW,B2-6,HTHP,42292,1,PCUT,0
2026-06-18T14:36:52.939134,V66_RAW,B2-6,HTHP,42292,2,NCUT,0
2026-06-18T14:36:52.954292,V66_RAW,B2-6,HTHP,42292,3,EXTR,0
2026-06-18T14:36:52.970787,V66_RAW,B2-6,HTHP,42292,4,FCYC,0
2026-06-18T14:36:52.985262,V66_RAW,B2-6,HTHP,42293,0,FULL,0
2026-06-18T14:36:53.002486,V66_RAW,B2-6,HTHP,42293,1,PCUT,0
2026-06-18T14:36:53.017500,V66_RAW,B2-6,HTHP,42293,2,NCUT,0
2026-06-18T14:36:53.032188,V66_RAW,B2-6,HTHP,42293,3,EXTR,0
2026-06-18T14:36:53.047359,V66_RAW,B2-6,HTHP,42293,4,FCYC,0
2026-06-18T14:36:53.062984,V66_RAW,B2-6,HTHP,42294,0,FULL,0
2026-06-18T14:36:53.080040,V66_RAW,B2-6,HTHP,42294,1,PCUT,0
2026-06-18T14:36:53.093629,V66_RAW,B2-6,HTHP,42294,2,NCUT,0
2026-06-18T14:36:53.108837,V66_RAW,B2-6,HTHP,42294,3,EXTR,0
2026-06-18T14:36:53.124480,V66_RAW,B2-6,HTHP,42294,4,FCYC,0
2026-06-18T14:36:53.140884,V66_RAW,B2-6,HTHP,42295,0,FULL,0
2026-06-18T14:36:53.158261,V66_RAW,B2-6,HTHP,42295,1,PCUT,0
