sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
42289,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42290,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42291,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42292,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42293,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42294,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42295,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42296,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42297,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42298,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42299,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42300,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42301,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42302,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42303,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42304,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42305,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42306,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42307,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42308,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42309,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42310,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42311,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42312,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42313,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42314,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42315,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42316,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42317,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42318,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42319,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
42320,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
