pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-23T16:33:57.163971,V66_RAW,B2-6,HTHP,26029,0,FULL,0
2026-06-23T16:33:57.193640,V66_RAW,B2-6,HTHP,26029,1,PCUT,0
2026-06-23T16:33:57.208421,V66_RAW,B2-6,HTHP,26029,2,NCUT,0
2026-06-23T16:33:57.224093,V66_RAW,B2-6,HTHP,26029,3,EXTR,0
2026-06-23T16:33:57.239771,V66_RAW,B2-6,HTHP,26029,4,FCYC,0
2026-06-23T16:33:57.255179,V66_RAW,B2-6,HTHP,26030,0,FULL,0
2026-06-23T16:33:57.270010,V66_RAW,B2-6,HTHP,26030,1,PCUT,0
2026-06-23T16:33:57.285589,V66_RAW,B2-6,HTHP,26030,2,NCUT,0
2026-06-23T16:33:57.300978,V66_RAW,B2-6,HTHP,26030,3,EXTR,0
2026-06-23T16:33:57.316562,V66_RAW,B2-6,HTHP,26030,4,FCYC,0
2026-06-23T16:33:57.332688,V66_RAW,B2-6,HTHP,26031,0,FULL,0
2026-06-23T16:33:57.347801,V66_RAW,B2-6,HTHP,26031,1,PCUT,0
2026-06-23T16:33:57.363873,V66_RAW,B2-6,HTHP,26031,2,NCUT,0
2026-06-23T16:33:57.379428,V66_RAW,B2-6,HTHP,26031,3,EXTR,0
2026-06-23T16:33:57.394314,V66_RAW,B2-6,HTHP,26031,4,FCYC,0
2026-06-23T16:33:57.410662,V66_RAW,B2-6,HTHP,26032,0,FULL,0
2026-06-23T16:33:57.425545,V66_RAW,B2-6,HTHP,26032,1,PCUT,0
2026-06-23T16:33:57.442305,V66_RAW,B2-6,HTHP,26032,2,NCUT,0
2026-06-23T16:33:57.457962,V66_RAW,B2-6,HTHP,26032,3,EXTR,0
2026-06-23T16:33:57.473862,V66_RAW,B2-6,HTHP,26032,4,FCYC,0
2026-06-23T16:33:57.488138,V66_RAW,B2-6,HTHP,26033,0,FULL,0
2026-06-23T16:33:57.503975,V66_RAW,B2-6,HTHP,26033,1,PCUT,0
2026-06-23T16:33:57.519549,V66_RAW,B2-6,HTHP,26033,2,NCUT,0
2026-06-23T16:33:57.534631,V66_RAW,B2-6,HTHP,26033,3,EXTR,0
2026-06-23T16:33:57.550280,V66_RAW,B2-6,HTHP,26033,4,FCYC,0
2026-06-23T16:33:57.565287,V66_RAW,B2-6,HTHP,26034,0,FULL,0
2026-06-23T16:33:57.580878,V66_RAW,B2-6,HTHP,26034,1,PCUT,0
2026-06-23T16:33:57.596374,V66_RAW,B2-6,HTHP,26034,2,NCUT,0
2026-06-23T16:33:57.612425,V66_RAW,B2-6,HTHP,26034,3,EXTR,0
2026-06-23T16:33:57.627729,V66_RAW,B2-6,HTHP,26034,4,FCYC,0
2026-06-23T16:33:57.657422,V66_RAW,B2-6,HTHP,26035,0,FULL,0
2026-06-23T16:33:57.673619,V66_RAW,B2-6,HTHP,26035,1,PCUT,0
2026-06-23T16:33:57.689546,V66_RAW,B2-6,HTHP,26035,2,NCUT,0
2026-06-23T16:33:57.705507,V66_RAW,B2-6,HTHP,26035,3,EXTR,0
2026-06-23T16:33:57.721381,V66_RAW,B2-6,HTHP,26035,4,FCYC,0
2026-06-23T16:33:57.736512,V66_RAW,B2-6,HTHP,26036,0,FULL,0
2026-06-23T16:33:57.751549,V66_RAW,B2-6,HTHP,26036,1,PCUT,0
2026-06-23T16:33:57.767468,V66_RAW,B2-6,HTHP,26036,2,NCUT,0
2026-06-23T16:33:57.784087,V66_RAW,B2-6,HTHP,26036,3,EXTR,0
2026-06-23T16:33:57.799456,V66_RAW,B2-6,HTHP,26036,4,FCYC,0
2026-06-23T16:33:57.815404,V66_RAW,B2-6,HTHP,26037,0,FULL,0
2026-06-23T16:33:57.830436,V66_RAW,B2-6,HTHP,26037,1,PCUT,0
2026-06-23T16:33:57.845035,V66_RAW,B2-6,HTHP,26037,2,NCUT,0
2026-06-23T16:33:57.860481,V66_RAW,B2-6,HTHP,26037,3,EXTR,0
2026-06-23T16:33:57.877613,V66_RAW,B2-6,HTHP,26037,4,FCYC,0
2026-06-23T16:33:57.892368,V66_RAW,B2-6,HTHP,26038,0,FULL,0
2026-06-23T16:33:57.907684,V66_RAW,B2-6,HTHP,26038,1,PCUT,0
2026-06-23T16:33:57.923902,V66_RAW,B2-6,HTHP,26038,2,NCUT,0
2026-06-23T16:33:57.938480,V66_RAW,B2-6,HTHP,26038,3,EXTR,0
2026-06-23T16:33:57.955506,V66_RAW,B2-6,HTHP,26038,4,FCYC,0
2026-06-23T16:33:57.969468,V66_RAW,B2-6,HTHP,26039,0,FULL,0
2026-06-23T16:33:57.985234,V66_RAW,B2-6,HTHP,26039,1,PCUT,0
2026-06-23T16:33:58.001638,V66_RAW,B2-6,HTHP,26039,2,NCUT,0
2026-06-23T16:33:58.017070,V66_RAW,B2-6,HTHP,26039,3,EXTR,0
2026-06-23T16:33:58.032037,V66_RAW,B2-6,HTHP,26039,4,FCYC,0
2026-06-23T16:33:58.046937,V66_RAW,B2-6,HTHP,26040,0,FULL,0
2026-06-23T16:33:58.062859,V66_RAW,B2-6,HTHP,26040,1,PCUT,0
2026-06-23T16:33:58.078279,V66_RAW,B2-6,HTHP,26040,2,NCUT,0
2026-06-23T16:33:58.094349,V66_RAW,B2-6,HTHP,26040,3,EXTR,0
2026-06-23T16:33:58.109522,V66_RAW,B2-6,HTHP,26040,4,FCYC,0
2026-06-23T16:33:58.125920,V66_RAW,B2-6,HTHP,26041,0,FULL,0
2026-06-23T16:33:58.142016,V66_RAW,B2-6,HTHP,26041,1,PCUT,0
2026-06-23T16:33:58.157437,V66_RAW,B2-6,HTHP,26041,2,NCUT,0
2026-06-23T16:33:58.173404,V66_RAW,B2-6,HTHP,26041,3,EXTR,0
2026-06-23T16:33:58.188628,V66_RAW,B2-6,HTHP,26041,4,FCYC,0
2026-06-23T16:33:58.203980,V66_RAW,B2-6,HTHP,26042,0,FULL,0
2026-06-23T16:33:58.233911,V66_RAW,B2-6,HTHP,26042,1,PCUT,0
2026-06-23T16:33:58.250178,V66_RAW,B2-6,HTHP,26042,2,NCUT,0
2026-06-23T16:33:58.251955,V66_RAW,B2-6,HTHP,26042,3,EXTR,0
2026-06-23T16:33:58.280698,V66_RAW,B2-6,HTHP,26042,4,FCYC,0
2026-06-23T16:33:58.296665,V66_RAW,B2-6,HTHP,26043,0,FULL,0
2026-06-23T16:33:58.311324,V66_RAW,B2-6,HTHP,26043,1,PCUT,0
2026-06-23T16:33:58.327002,V66_RAW,B2-6,HTHP,26043,2,NCUT,0
2026-06-23T16:33:58.344394,V66_RAW,B2-6,HTHP,26043,3,EXTR,0
2026-06-23T16:33:58.359604,V66_RAW,B2-6,HTHP,26043,4,FCYC,0
2026-06-23T16:33:58.373734,V66_RAW,B2-6,HTHP,26044,0,FULL,0
2026-06-23T16:33:58.390511,V66_RAW,B2-6,HTHP,26044,1,PCUT,0
2026-06-23T16:33:58.405219,V66_RAW,B2-6,HTHP,26044,2,NCUT,0
2026-06-23T16:33:58.420289,V66_RAW,B2-6,HTHP,26044,3,EXTR,0
2026-06-23T16:33:58.435788,V66_RAW,B2-6,HTHP,26044,4,FCYC,0
2026-06-23T16:33:58.452846,V66_RAW,B2-6,HTHP,26045,0,FULL,0
2026-06-23T16:33:58.469395,V66_RAW,B2-6,HTHP,26045,1,PCUT,0
2026-06-23T16:33:58.498428,V66_RAW,B2-6,HTHP,26045,2,NCUT,0
2026-06-23T16:33:58.499921,V66_RAW,B2-6,HTHP,26045,3,EXTR,0
2026-06-23T16:33:58.514728,V66_RAW,B2-6,HTHP,26045,4,FCYC,0
2026-06-23T16:33:58.529549,V66_RAW,B2-6,HTHP,26046,0,FULL,0
2026-06-23T16:33:58.546324,V66_RAW,B2-6,HTHP,26046,1,PCUT,0
2026-06-23T16:33:58.562605,V66_RAW,B2-6,HTHP,26046,2,NCUT,0
2026-06-23T16:33:58.576137,V66_RAW,B2-6,HTHP,26046,3,EXTR,0
2026-06-23T16:33:58.591254,V66_RAW,B2-6,HTHP,26046,4,FCYC,0
2026-06-23T16:33:58.606054,V66_RAW,B2-6,HTHP,26047,0,FULL,0
2026-06-23T16:33:58.622917,V66_RAW,B2-6,HTHP,26047,1,PCUT,0
2026-06-23T16:33:58.637496,V66_RAW,B2-6,HTHP,26047,2,NCUT,0
2026-06-23T16:33:58.654157,V66_RAW,B2-6,HTHP,26047,3,EXTR,0
2026-06-23T16:33:58.669406,V66_RAW,B2-6,HTHP,26047,4,FCYC,0
2026-06-23T16:33:58.686291,V66_RAW,B2-6,HTHP,26048,0,FULL,0
2026-06-23T16:33:58.702657,V66_RAW,B2-6,HTHP,26048,1,PCUT,0
2026-06-23T16:33:58.732723,V66_RAW,B2-6,HTHP,26048,2,NCUT,0
2026-06-23T16:33:58.737078,V66_RAW,B2-6,HTHP,26048,3,EXTR,0
2026-06-23T16:33:58.761722,V66_RAW,B2-6,HTHP,26048,4,FCYC,0
2026-06-23T16:33:58.777210,V66_RAW,B2-6,HTHP,26049,0,FULL,0
2026-06-23T16:33:58.792924,V66_RAW,B2-6,HTHP,26049,1,PCUT,0
2026-06-23T16:33:58.809094,V66_RAW,B2-6,HTHP,26049,2,NCUT,0
2026-06-23T16:33:58.824848,V66_RAW,B2-6,HTHP,26049,3,EXTR,0
2026-06-23T16:33:58.840392,V66_RAW,B2-6,HTHP,26049,4,FCYC,0
2026-06-23T16:33:58.857065,V66_RAW,B2-6,HTHP,26050,0,FULL,0
2026-06-23T16:33:58.871156,V66_RAW,B2-6,HTHP,26050,1,PCUT,0
2026-06-23T16:33:58.887247,V66_RAW,B2-6,HTHP,26050,2,NCUT,0
2026-06-23T16:33:58.900743,V66_RAW,B2-6,HTHP,26050,3,EXTR,0
2026-06-23T16:33:58.916742,V66_RAW,B2-6,HTHP,26050,4,FCYC,0
2026-06-23T16:33:58.931167,V66_RAW,B2-6,HTHP,26051,0,FULL,0
2026-06-23T16:33:58.947540,V66_RAW,B2-6,HTHP,26051,1,PCUT,0
2026-06-23T16:33:58.963440,V66_RAW,B2-6,HTHP,26051,2,NCUT,0
2026-06-23T16:33:58.978831,V66_RAW,B2-6,HTHP,26051,3,EXTR,0
2026-06-23T16:33:58.992954,V66_RAW,B2-6,HTHP,26051,4,FCYC,0
2026-06-23T16:33:59.009600,V66_RAW,B2-6,HTHP,26052,0,FULL,0
2026-06-23T16:33:59.023991,V66_RAW,B2-6,HTHP,26052,1,PCUT,0
2026-06-23T16:33:59.040490,V66_RAW,B2-6,HTHP,26052,2,NCUT,0
2026-06-23T16:33:59.057234,V66_RAW,B2-6,HTHP,26052,3,EXTR,0
2026-06-23T16:33:59.072260,V66_RAW,B2-6,HTHP,26052,4,FCYC,0
2026-06-23T16:33:59.087694,V66_RAW,B2-6,HTHP,26053,0,FULL,0
2026-06-23T16:33:59.104110,V66_RAW,B2-6,HTHP,26053,1,PCUT,0
2026-06-23T16:33:59.119071,V66_RAW,B2-6,HTHP,26053,2,NCUT,0
2026-06-23T16:33:59.135534,V66_RAW,B2-6,HTHP,26053,3,EXTR,0
2026-06-23T16:33:59.152403,V66_RAW,B2-6,HTHP,26053,4,FCYC,0
2026-06-23T16:33:59.169790,V66_RAW,B2-6,HTHP,26054,0,FULL,0
2026-06-23T16:33:59.198751,V66_RAW,B2-6,HTHP,26054,1,PCUT,0
2026-06-23T16:33:59.199936,V66_RAW,B2-6,HTHP,26054,2,NCUT,0
2026-06-23T16:33:59.214101,V66_RAW,B2-6,HTHP,26054,3,EXTR,0
2026-06-23T16:33:59.228697,V66_RAW,B2-6,HTHP,26054,4,FCYC,0
