sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
26029,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26030,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26031,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26032,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26033,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26034,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26035,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26036,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26037,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26038,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26039,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26040,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26041,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26042,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26043,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26044,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26045,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26046,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26047,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26048,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26049,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
26050,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
