pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T14:28:08.381102,V66_RAW,B2-6,HTNP,35737,0,FULL,0
2026-06-18T14:28:08.396540,V66_RAW,B2-6,HTNP,35737,1,PCUT,0
2026-06-18T14:28:08.412252,V66_RAW,B2-6,HTNP,35737,2,NCUT,0
2026-06-18T14:28:08.428419,V66_RAW,B2-6,HTNP,35737,3,EXTR,0
2026-06-18T14:28:08.444420,V66_RAW,B2-6,HTNP,35737,4,FCYC,0
2026-06-18T14:28:08.459451,V66_RAW,B2-6,HTNP,35738,0,FULL,0
2026-06-18T14:28:08.474976,V66_RAW,B2-6,HTNP,35738,1,PCUT,0
2026-06-18T14:28:08.490521,V66_RAW,B2-6,HTNP,35738,2,NCUT,0
2026-06-18T14:28:08.505991,V66_RAW,B2-6,HTNP,35738,3,EXTR,0
2026-06-18T14:28:08.522069,V66_RAW,B2-6,HTNP,35738,4,FCYC,0
2026-06-18T14:28:08.537307,V66_RAW,B2-6,HTNP,35739,0,FULL,0
2026-06-18T14:28:08.553236,V66_RAW,B2-6,HTNP,35739,1,PCUT,0
2026-06-18T14:28:08.569050,V66_RAW,B2-6,HTNP,35739,2,NCUT,0
2026-06-18T14:28:08.600000,V66_RAW,B2-6,HTNP,35739,3,EXTR,0
2026-06-18T14:28:08.601284,V66_RAW,B2-6,HTNP,35739,4,FCYC,0
2026-06-18T14:28:08.630583,V66_RAW,B2-6,HTNP,35740,0,FULL,0
2026-06-18T14:28:08.645840,V66_RAW,B2-6,HTNP,35740,1,PCUT,0
2026-06-18T14:28:08.661478,V66_RAW,B2-6,HTNP,35740,2,NCUT,0
2026-06-18T14:28:08.678018,V66_RAW,B2-6,HTNP,35740,3,EXTR,0
2026-06-18T14:28:08.692471,V66_RAW,B2-6,HTNP,35740,4,FCYC,0
2026-06-18T14:28:08.708903,V66_RAW,B2-6,HTNP,35741,0,FULL,0
2026-06-18T14:28:08.723922,V66_RAW,B2-6,HTNP,35741,1,PCUT,0
2026-06-18T14:28:08.740347,V66_RAW,B2-6,HTNP,35741,2,NCUT,0
2026-06-18T14:28:08.755367,V66_RAW,B2-6,HTNP,35741,3,EXTR,0
2026-06-18T14:28:08.770628,V66_RAW,B2-6,HTNP,35741,4,FCYC,0
2026-06-18T14:28:08.785825,V66_RAW,B2-6,HTNP,35742,0,FULL,0
2026-06-18T14:28:08.801492,V66_RAW,B2-6,HTNP,35742,1,PCUT,0
2026-06-18T14:28:08.816907,V66_RAW,B2-6,HTNP,35742,2,NCUT,0
2026-06-18T14:28:08.832216,V66_RAW,B2-6,HTNP,35742,3,EXTR,0
2026-06-18T14:28:08.848006,V66_RAW,B2-6,HTNP,35742,4,FCYC,0
2026-06-18T14:28:08.864662,V66_RAW,B2-6,HTNP,35743,0,FULL,0
2026-06-18T14:28:08.880249,V66_RAW,B2-6,HTNP,35743,1,PCUT,0
2026-06-18T14:28:08.895565,V66_RAW,B2-6,HTNP,35743,2,NCUT,0
2026-06-18T14:28:08.910351,V66_RAW,B2-6,HTNP,35743,3,EXTR,0
2026-06-18T14:28:08.925323,V66_RAW,B2-6,HTNP,35743,4,FCYC,0
2026-06-18T14:28:08.941180,V66_RAW,B2-6,HTNP,35744,0,FULL,0
2026-06-18T14:28:08.956792,V66_RAW,B2-6,HTNP,35744,1,PCUT,0
2026-06-18T14:28:08.972469,V66_RAW,B2-6,HTNP,35744,2,NCUT,0
2026-06-18T14:28:08.987340,V66_RAW,B2-6,HTNP,35744,3,EXTR,0
2026-06-18T14:28:09.003359,V66_RAW,B2-6,HTNP,35744,4,FCYC,0
2026-06-18T14:28:09.018369,V66_RAW,B2-6,HTNP,35745,0,FULL,0
2026-06-18T14:28:09.034786,V66_RAW,B2-6,HTNP,35745,1,PCUT,0
2026-06-18T14:28:09.049837,V66_RAW,B2-6,HTNP,35745,2,NCUT,0
2026-06-18T14:28:09.065604,V66_RAW,B2-6,HTNP,35745,3,EXTR,0
2026-06-18T14:28:09.081984,V66_RAW,B2-6,HTNP,35745,4,FCYC,0
2026-06-18T14:28:09.097948,V66_RAW,B2-6,HTNP,35746,0,FULL,0
2026-06-18T14:28:09.127819,V66_RAW,B2-6,HTNP,35746,1,PCUT,0
2026-06-18T14:28:09.129053,V66_RAW,B2-6,HTNP,35746,2,NCUT,0
2026-06-18T14:28:09.159345,V66_RAW,B2-6,HTNP,35746,3,EXTR,0
2026-06-18T14:28:09.174608,V66_RAW,B2-6,HTNP,35746,4,FCYC,0
2026-06-18T14:28:09.190455,V66_RAW,B2-6,HTNP,35747,0,FULL,0
