sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
35737,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35738,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35739,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35740,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35741,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35742,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35743,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35744,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35745,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35746,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35747,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35748,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35749,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35750,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35751,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35752,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35753,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35754,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35755,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35756,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35757,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35758,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35759,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35760,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35761,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35762,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35763,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35764,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35765,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35766,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35767,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35768,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35769,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35770,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35771,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35772,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35773,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35774,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35775,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35776,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35777,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35778,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35779,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35780,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35781,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35782,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35783,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35784,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35785,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35786,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35787,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35788,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35789,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35790,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35791,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35792,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35793,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35794,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35795,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35796,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35797,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35798,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35799,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35800,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35801,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35802,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35803,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35804,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35805,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35806,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35807,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35808,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35809,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35810,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35811,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35812,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35813,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35814,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35815,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35816,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35817,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35818,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35819,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35820,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35821,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35822,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35823,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35824,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35825,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35826,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35827,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35828,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35829,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35830,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35831,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35832,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35833,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
