pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-23T16:32:40.520078,V66_RAW,B2-6,HTNP,25071,0,FULL,0
2026-06-23T16:32:40.536014,V66_RAW,B2-6,HTNP,25071,1,PCUT,0
2026-06-23T16:32:40.552538,V66_RAW,B2-6,HTNP,25071,2,NCUT,0
2026-06-23T16:32:40.567987,V66_RAW,B2-6,HTNP,25071,3,EXTR,0
2026-06-23T16:32:40.584298,V66_RAW,B2-6,HTNP,25071,4,FCYC,0
2026-06-23T16:32:40.599347,V66_RAW,B2-6,HTNP,25072,0,FULL,0
2026-06-23T16:32:40.615028,V66_RAW,B2-6,HTNP,25072,1,PCUT,0
2026-06-23T16:32:40.630838,V66_RAW,B2-6,HTNP,25072,2,NCUT,0
2026-06-23T16:32:40.645964,V66_RAW,B2-6,HTNP,25072,3,EXTR,0
2026-06-23T16:32:40.661493,V66_RAW,B2-6,HTNP,25072,4,FCYC,0
2026-06-23T16:32:40.676935,V66_RAW,B2-6,HTNP,25073,0,FULL,0
2026-06-23T16:32:40.692930,V66_RAW,B2-6,HTNP,25073,1,PCUT,0
2026-06-23T16:32:40.708674,V66_RAW,B2-6,HTNP,25073,2,NCUT,0
2026-06-23T16:32:40.724065,V66_RAW,B2-6,HTNP,25073,3,EXTR,0
2026-06-23T16:32:40.739434,V66_RAW,B2-6,HTNP,25073,4,FCYC,0
2026-06-23T16:32:40.754983,V66_RAW,B2-6,HTNP,25074,0,FULL,0
2026-06-23T16:32:40.771853,V66_RAW,B2-6,HTNP,25074,1,PCUT,0
2026-06-23T16:32:40.788087,V66_RAW,B2-6,HTNP,25074,2,NCUT,0
2026-06-23T16:32:40.804290,V66_RAW,B2-6,HTNP,25074,3,EXTR,0
2026-06-23T16:32:40.819043,V66_RAW,B2-6,HTNP,25074,4,FCYC,0
2026-06-23T16:32:40.835149,V66_RAW,B2-6,HTNP,25075,0,FULL,0
2026-06-23T16:32:40.850947,V66_RAW,B2-6,HTNP,25075,1,PCUT,0
2026-06-23T16:32:40.866441,V66_RAW,B2-6,HTNP,25075,2,NCUT,0
2026-06-23T16:32:40.882714,V66_RAW,B2-6,HTNP,25075,3,EXTR,0
2026-06-23T16:32:40.897974,V66_RAW,B2-6,HTNP,25075,4,FCYC,0
2026-06-23T16:32:40.913125,V66_RAW,B2-6,HTNP,25076,0,FULL,0
2026-06-23T16:32:40.928252,V66_RAW,B2-6,HTNP,25076,1,PCUT,0
2026-06-23T16:32:40.942933,V66_RAW,B2-6,HTNP,25076,2,NCUT,0
2026-06-23T16:32:40.958710,V66_RAW,B2-6,HTNP,25076,3,EXTR,0
2026-06-23T16:32:40.975072,V66_RAW,B2-6,HTNP,25076,4,FCYC,0
2026-06-23T16:32:40.990364,V66_RAW,B2-6,HTNP,25077,0,FULL,0
2026-06-23T16:32:41.006783,V66_RAW,B2-6,HTNP,25077,1,PCUT,0
2026-06-23T16:32:41.022125,V66_RAW,B2-6,HTNP,25077,2,NCUT,0
2026-06-23T16:32:41.038371,V66_RAW,B2-6,HTNP,25077,3,EXTR,0
2026-06-23T16:32:41.053705,V66_RAW,B2-6,HTNP,25077,4,FCYC,0
2026-06-23T16:32:41.071244,V66_RAW,B2-6,HTNP,25078,0,FULL,0
2026-06-23T16:32:41.085145,V66_RAW,B2-6,HTNP,25078,1,PCUT,0
2026-06-23T16:32:41.100288,V66_RAW,B2-6,HTNP,25078,2,NCUT,0
2026-06-23T16:32:41.115080,V66_RAW,B2-6,HTNP,25078,3,EXTR,0
2026-06-23T16:32:41.130861,V66_RAW,B2-6,HTNP,25078,4,FCYC,0
2026-06-23T16:32:41.146892,V66_RAW,B2-6,HTNP,25079,0,FULL,0
2026-06-23T16:32:41.176666,V66_RAW,B2-6,HTNP,25079,1,PCUT,0
2026-06-23T16:32:41.191918,V66_RAW,B2-6,HTNP,25079,2,NCUT,0
2026-06-23T16:32:41.208528,V66_RAW,B2-6,HTNP,25079,3,EXTR,0
2026-06-23T16:32:41.224137,V66_RAW,B2-6,HTNP,25079,4,FCYC,0
2026-06-23T16:32:41.240091,V66_RAW,B2-6,HTNP,25080,0,FULL,0
2026-06-23T16:32:41.256199,V66_RAW,B2-6,HTNP,25080,1,PCUT,0
2026-06-23T16:32:41.271263,V66_RAW,B2-6,HTNP,25080,2,NCUT,0
2026-06-23T16:32:41.273426,V66_RAW,B2-6,HTNP,25080,3,EXTR,0
2026-06-23T16:32:41.302405,V66_RAW,B2-6,HTNP,25080,4,FCYC,0
2026-06-23T16:32:41.317502,V66_RAW,B2-6,HTNP,25081,0,FULL,0
2026-06-23T16:32:41.333088,V66_RAW,B2-6,HTNP,25081,1,PCUT,0
2026-06-23T16:32:41.348752,V66_RAW,B2-6,HTNP,25081,2,NCUT,0
2026-06-23T16:32:41.364442,V66_RAW,B2-6,HTNP,25081,3,EXTR,0
2026-06-23T16:32:41.379735,V66_RAW,B2-6,HTNP,25081,4,FCYC,0
2026-06-23T16:32:41.394575,V66_RAW,B2-6,HTNP,25082,0,FULL,0
2026-06-23T16:32:41.410345,V66_RAW,B2-6,HTNP,25082,1,PCUT,0
2026-06-23T16:32:41.426118,V66_RAW,B2-6,HTNP,25082,2,NCUT,0
2026-06-23T16:32:41.442396,V66_RAW,B2-6,HTNP,25082,3,EXTR,0
2026-06-23T16:32:41.457780,V66_RAW,B2-6,HTNP,25082,4,FCYC,0
2026-06-23T16:32:41.472970,V66_RAW,B2-6,HTNP,25083,0,FULL,0
2026-06-23T16:32:41.488144,V66_RAW,B2-6,HTNP,25083,1,PCUT,0
2026-06-23T16:32:41.504144,V66_RAW,B2-6,HTNP,25083,2,NCUT,0
2026-06-23T16:32:41.519984,V66_RAW,B2-6,HTNP,25083,3,EXTR,0
