sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
25071,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25072,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25073,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25074,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25075,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25076,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25077,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25078,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25079,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25080,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25081,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25082,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25083,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25084,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25085,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25086,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25087,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25088,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25089,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25090,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25091,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25092,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25093,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25094,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25095,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25096,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25097,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25098,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25099,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25100,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25101,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25102,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
25103,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
