pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T14:27:49.176588,V66_RAW,B2-6,NTHP,35497,0,FULL,0
2026-06-18T14:27:49.191829,V66_RAW,B2-6,NTHP,35497,1,PCUT,0
2026-06-18T14:27:49.207718,V66_RAW,B2-6,NTHP,35497,2,NCUT,0
2026-06-18T14:27:49.224498,V66_RAW,B2-6,NTHP,35497,3,EXTR,0
2026-06-18T14:27:49.239511,V66_RAW,B2-6,NTHP,35497,4,FCYC,0
2026-06-18T14:27:49.254665,V66_RAW,B2-6,NTHP,35498,0,FULL,0
2026-06-18T14:27:49.270142,V66_RAW,B2-6,NTHP,35498,1,PCUT,0
2026-06-18T14:27:49.286101,V66_RAW,B2-6,NTHP,35498,2,NCUT,0
2026-06-18T14:27:49.301704,V66_RAW,B2-6,NTHP,35498,3,EXTR,0
2026-06-18T14:27:49.317280,V66_RAW,B2-6,NTHP,35498,4,FCYC,0
2026-06-18T14:27:49.333009,V66_RAW,B2-6,NTHP,35499,0,FULL,0
2026-06-18T14:27:49.364455,V66_RAW,B2-6,NTHP,35499,1,PCUT,0
2026-06-18T14:27:49.366069,V66_RAW,B2-6,NTHP,35499,2,NCUT,0
2026-06-18T14:27:49.395759,V66_RAW,B2-6,NTHP,35499,3,EXTR,0
2026-06-18T14:27:49.397261,V66_RAW,B2-6,NTHP,35499,4,FCYC,0
2026-06-18T14:27:49.427505,V66_RAW,B2-6,NTHP,35500,0,FULL,0
2026-06-18T14:27:49.429119,V66_RAW,B2-6,NTHP,35500,1,PCUT,0
2026-06-18T14:27:49.459089,V66_RAW,B2-6,NTHP,35500,2,NCUT,0
2026-06-18T14:27:49.474675,V66_RAW,B2-6,NTHP,35500,3,EXTR,0
2026-06-18T14:27:49.489591,V66_RAW,B2-6,NTHP,35500,4,FCYC,0
2026-06-18T14:27:49.505086,V66_RAW,B2-6,NTHP,35501,0,FULL,0
2026-06-18T14:27:49.521555,V66_RAW,B2-6,NTHP,35501,1,PCUT,0
2026-06-18T14:27:49.536272,V66_RAW,B2-6,NTHP,35501,2,NCUT,0
2026-06-18T14:27:49.552678,V66_RAW,B2-6,NTHP,35501,3,EXTR,0
2026-06-18T14:27:49.568124,V66_RAW,B2-6,NTHP,35501,4,FCYC,0
2026-06-18T14:27:49.583933,V66_RAW,B2-6,NTHP,35502,0,FULL,0
2026-06-18T14:27:49.600765,V66_RAW,B2-6,NTHP,35502,1,PCUT,0
2026-06-18T14:27:49.616254,V66_RAW,B2-6,NTHP,35502,2,NCUT,0
2026-06-18T14:27:49.631321,V66_RAW,B2-6,NTHP,35502,3,EXTR,0
2026-06-18T14:27:49.647593,V66_RAW,B2-6,NTHP,35502,4,FCYC,0
2026-06-18T14:27:49.663338,V66_RAW,B2-6,NTHP,35503,0,FULL,0
2026-06-18T14:27:49.679327,V66_RAW,B2-6,NTHP,35503,1,PCUT,0
2026-06-18T14:27:49.694785,V66_RAW,B2-6,NTHP,35503,2,NCUT,0
2026-06-18T14:27:49.711585,V66_RAW,B2-6,NTHP,35503,3,EXTR,0
2026-06-18T14:27:49.727431,V66_RAW,B2-6,NTHP,35503,4,FCYC,0
2026-06-18T14:27:49.740943,V66_RAW,B2-6,NTHP,35504,0,FULL,0
2026-06-18T14:27:49.757443,V66_RAW,B2-6,NTHP,35504,1,PCUT,0
2026-06-18T14:27:49.772981,V66_RAW,B2-6,NTHP,35504,2,NCUT,0
2026-06-18T14:27:49.788180,V66_RAW,B2-6,NTHP,35504,3,EXTR,0
2026-06-18T14:27:49.803246,V66_RAW,B2-6,NTHP,35504,4,FCYC,0
2026-06-18T14:27:49.818974,V66_RAW,B2-6,NTHP,35505,0,FULL,0
2026-06-18T14:27:49.835073,V66_RAW,B2-6,NTHP,35505,1,PCUT,0
2026-06-18T14:27:49.851932,V66_RAW,B2-6,NTHP,35505,2,NCUT,0
2026-06-18T14:27:49.868744,V66_RAW,B2-6,NTHP,35505,3,EXTR,0
2026-06-18T14:27:49.898549,V66_RAW,B2-6,NTHP,35505,4,FCYC,0
2026-06-18T14:27:49.899364,V66_RAW,B2-6,NTHP,35506,0,FULL,0
2026-06-18T14:27:49.912875,V66_RAW,B2-6,NTHP,35506,1,PCUT,0
2026-06-18T14:27:49.928122,V66_RAW,B2-6,NTHP,35506,2,NCUT,0
2026-06-18T14:27:49.943095,V66_RAW,B2-6,NTHP,35506,3,EXTR,0
2026-06-18T14:27:49.959640,V66_RAW,B2-6,NTHP,35506,4,FCYC,0
2026-06-18T14:27:49.974340,V66_RAW,B2-6,NTHP,35507,0,FULL,0
2026-06-18T14:27:49.990046,V66_RAW,B2-6,NTHP,35507,1,PCUT,0
2026-06-18T14:27:50.005957,V66_RAW,B2-6,NTHP,35507,2,NCUT,0
