sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
35497,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35498,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35499,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35500,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35501,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35502,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35503,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35504,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35505,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35506,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35507,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35508,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35509,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35510,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35511,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35512,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35513,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35514,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35515,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35516,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35517,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35518,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35519,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35520,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35521,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35522,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35523,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35524,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35525,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35526,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35527,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35528,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35529,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
35530,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
