sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
2007,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2008,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2009,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2010,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2011,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2012,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2013,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2014,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2015,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2016,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2017,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2018,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2019,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2020,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2021,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2022,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2023,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2024,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2025,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2026,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2027,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2028,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2029,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2030,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2031,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2032,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2033,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2034,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2035,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2036,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2037,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2038,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2039,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2040,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2041,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2042,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2043,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2044,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2045,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2046,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2047,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2048,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2049,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2050,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2051,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2052,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2053,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2054,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2055,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2056,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2057,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2058,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2059,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2060,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2061,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2062,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2063,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2064,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2065,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2066,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2067,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2068,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2069,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2070,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2071,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2072,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
2073,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
