sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
23984,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23985,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23986,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23987,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23988,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23989,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23990,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23991,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23992,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23993,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23994,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23995,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23996,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23997,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23998,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
23999,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24000,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24001,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24002,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24003,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24004,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24005,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24006,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24007,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24008,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24009,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24010,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24011,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24012,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24013,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24014,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24015,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24016,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24017,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24018,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24019,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24020,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24021,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24022,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24023,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24024,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24025,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24026,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24027,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24028,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24029,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24030,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24031,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24032,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24033,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24034,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24035,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24036,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24037,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24038,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24039,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24040,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24041,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24042,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24043,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24044,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24045,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24046,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24047,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24048,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24049,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24050,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24051,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24052,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24053,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24054,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24055,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24056,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24057,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24058,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24059,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24060,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24061,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24062,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24063,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24064,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24065,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24066,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24067,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24068,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24069,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24070,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24071,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24072,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24073,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24074,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24075,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24076,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24077,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24078,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24079,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24080,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24081,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
24082,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
