pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T14:25:39.075065,V66_RAW,B2-6,NTNP,33871,0,FULL,0
2026-06-18T14:25:39.090294,V66_RAW,B2-6,NTNP,33871,1,PCUT,0
2026-06-18T14:25:39.105519,V66_RAW,B2-6,NTNP,33871,2,NCUT,0
2026-06-18T14:25:39.120913,V66_RAW,B2-6,NTNP,33871,3,EXTR,0
2026-06-18T14:25:39.136926,V66_RAW,B2-6,NTNP,33871,4,FCYC,0
2026-06-18T14:25:39.152500,V66_RAW,B2-6,NTNP,33872,0,FULL,0
2026-06-18T14:25:39.168140,V66_RAW,B2-6,NTNP,33872,1,PCUT,0
2026-06-18T14:25:39.184039,V66_RAW,B2-6,NTNP,33872,2,NCUT,0
2026-06-18T14:25:39.199626,V66_RAW,B2-6,NTNP,33872,3,EXTR,0
2026-06-18T14:25:39.215653,V66_RAW,B2-6,NTNP,33872,4,FCYC,0
2026-06-18T14:25:39.231235,V66_RAW,B2-6,NTNP,33873,0,FULL,0
2026-06-18T14:25:39.246509,V66_RAW,B2-6,NTNP,33873,1,PCUT,0
2026-06-18T14:25:39.262612,V66_RAW,B2-6,NTNP,33873,2,NCUT,0
2026-06-18T14:25:39.278028,V66_RAW,B2-6,NTNP,33873,3,EXTR,0
2026-06-18T14:25:39.294282,V66_RAW,B2-6,NTNP,33873,4,FCYC,0
2026-06-18T14:25:39.310498,V66_RAW,B2-6,NTNP,33874,0,FULL,0
2026-06-18T14:25:39.325146,V66_RAW,B2-6,NTNP,33874,1,PCUT,0
2026-06-18T14:25:39.341378,V66_RAW,B2-6,NTNP,33874,2,NCUT,0
2026-06-18T14:25:39.357160,V66_RAW,B2-6,NTNP,33874,3,EXTR,0
2026-06-18T14:25:39.372823,V66_RAW,B2-6,NTNP,33874,4,FCYC,0
2026-06-18T14:25:39.388737,V66_RAW,B2-6,NTNP,33875,0,FULL,0
2026-06-18T14:25:39.403904,V66_RAW,B2-6,NTNP,33875,1,PCUT,0
2026-06-18T14:25:39.419282,V66_RAW,B2-6,NTNP,33875,2,NCUT,0
2026-06-18T14:25:39.434557,V66_RAW,B2-6,NTNP,33875,3,EXTR,0
2026-06-18T14:25:39.450532,V66_RAW,B2-6,NTNP,33875,4,FCYC,0
2026-06-18T14:25:39.466570,V66_RAW,B2-6,NTNP,33876,0,FULL,0
2026-06-18T14:25:39.482330,V66_RAW,B2-6,NTNP,33876,1,PCUT,0
2026-06-18T14:25:39.498762,V66_RAW,B2-6,NTNP,33876,2,NCUT,0
2026-06-18T14:25:39.513794,V66_RAW,B2-6,NTNP,33876,3,EXTR,0
2026-06-18T14:25:39.528611,V66_RAW,B2-6,NTNP,33876,4,FCYC,0
2026-06-18T14:25:39.544652,V66_RAW,B2-6,NTNP,33877,0,FULL,0
2026-06-18T14:25:39.561122,V66_RAW,B2-6,NTNP,33877,1,PCUT,0
2026-06-18T14:25:39.578025,V66_RAW,B2-6,NTNP,33877,2,NCUT,0
2026-06-18T14:25:39.593836,V66_RAW,B2-6,NTNP,33877,3,EXTR,0
2026-06-18T14:25:39.622822,V66_RAW,B2-6,NTNP,33877,4,FCYC,0
2026-06-18T14:25:39.624300,V66_RAW,B2-6,NTNP,33878,0,FULL,0
2026-06-18T14:25:39.654729,V66_RAW,B2-6,NTNP,33878,1,PCUT,0
