sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
33871,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33872,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33873,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33874,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33875,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33876,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33877,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33878,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33879,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33880,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33881,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33882,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33883,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33884,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33885,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33886,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33887,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33888,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33889,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33890,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33891,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33892,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33893,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33894,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33895,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33896,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33897,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33898,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33899,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33900,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33901,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33902,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33903,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33904,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33905,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33906,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33907,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33908,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33909,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33910,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33911,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33912,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33913,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33914,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33915,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33916,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33917,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33918,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33919,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33920,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33921,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33922,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33923,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33924,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33925,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33926,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33927,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33928,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33929,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33930,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33931,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33932,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33933,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33934,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33935,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33936,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33937,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33938,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33939,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33940,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33941,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33942,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33943,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33944,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33945,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33946,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33947,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33948,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33949,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33950,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33951,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33952,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33953,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33954,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33955,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33956,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33957,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33958,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33959,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33960,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
33961,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
