pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-23T14:37:35.772470,V66_RAW,B2-6,NTNP,4317,0,FULL,0
2026-06-23T14:37:35.787914,V66_RAW,B2-6,NTNP,4317,1,PCUT,0
2026-06-23T14:37:35.803950,V66_RAW,B2-6,NTNP,4317,2,NCUT,0
2026-06-23T14:37:35.819754,V66_RAW,B2-6,NTNP,4317,3,EXTR,0
2026-06-23T14:37:35.835788,V66_RAW,B2-6,NTNP,4317,4,FCYC,0
2026-06-23T14:37:35.865550,V66_RAW,B2-6,NTNP,4318,0,FULL,0
2026-06-23T14:37:35.881479,V66_RAW,B2-6,NTNP,4318,1,PCUT,0
2026-06-23T14:37:35.896505,V66_RAW,B2-6,NTNP,4318,2,NCUT,0
2026-06-23T14:37:35.912640,V66_RAW,B2-6,NTNP,4318,3,EXTR,0
2026-06-23T14:37:35.928276,V66_RAW,B2-6,NTNP,4318,4,FCYC,0
2026-06-23T14:37:35.944080,V66_RAW,B2-6,NTNP,4319,0,FULL,0
2026-06-23T14:37:35.959176,V66_RAW,B2-6,NTNP,4319,1,PCUT,0
2026-06-23T14:37:35.975036,V66_RAW,B2-6,NTNP,4319,2,NCUT,0
2026-06-23T14:37:35.990764,V66_RAW,B2-6,NTNP,4319,3,EXTR,0
2026-06-23T14:37:36.007057,V66_RAW,B2-6,NTNP,4319,4,FCYC,0
2026-06-23T14:37:36.021935,V66_RAW,B2-6,NTNP,4320,0,FULL,0
2026-06-23T14:37:36.036740,V66_RAW,B2-6,NTNP,4320,1,PCUT,0
2026-06-23T14:37:36.053510,V66_RAW,B2-6,NTNP,4320,2,NCUT,0
2026-06-23T14:37:36.068853,V66_RAW,B2-6,NTNP,4320,3,EXTR,0
2026-06-23T14:37:36.083914,V66_RAW,B2-6,NTNP,4320,4,FCYC,0
2026-06-23T14:37:36.099427,V66_RAW,B2-6,NTNP,4321,0,FULL,0
2026-06-23T14:37:36.115056,V66_RAW,B2-6,NTNP,4321,1,PCUT,0
2026-06-23T14:37:36.130430,V66_RAW,B2-6,NTNP,4321,2,NCUT,0
2026-06-23T14:37:36.146212,V66_RAW,B2-6,NTNP,4321,3,EXTR,0
2026-06-23T14:37:36.161574,V66_RAW,B2-6,NTNP,4321,4,FCYC,0
2026-06-23T14:37:36.176810,V66_RAW,B2-6,NTNP,4322,0,FULL,0
2026-06-23T14:37:36.191992,V66_RAW,B2-6,NTNP,4322,1,PCUT,0
2026-06-23T14:37:36.207248,V66_RAW,B2-6,NTNP,4322,2,NCUT,0
2026-06-23T14:37:36.223760,V66_RAW,B2-6,NTNP,4322,3,EXTR,0
2026-06-23T14:37:36.237787,V66_RAW,B2-6,NTNP,4322,4,FCYC,0
2026-06-23T14:37:36.253415,V66_RAW,B2-6,NTNP,4323,0,FULL,0
2026-06-23T14:37:36.269407,V66_RAW,B2-6,NTNP,4323,1,PCUT,0
2026-06-23T14:37:36.284488,V66_RAW,B2-6,NTNP,4323,2,NCUT,0
2026-06-23T14:37:36.299922,V66_RAW,B2-6,NTNP,4323,3,EXTR,0
2026-06-23T14:37:36.329897,V66_RAW,B2-6,NTNP,4323,4,FCYC,0
2026-06-23T14:37:36.345823,V66_RAW,B2-6,NTNP,4324,0,FULL,0
2026-06-23T14:37:36.361742,V66_RAW,B2-6,NTNP,4324,1,PCUT,0
2026-06-23T14:37:36.376984,V66_RAW,B2-6,NTNP,4324,2,NCUT,0
2026-06-23T14:37:36.393037,V66_RAW,B2-6,NTNP,4324,3,EXTR,0
2026-06-23T14:37:36.409568,V66_RAW,B2-6,NTNP,4324,4,FCYC,0
2026-06-23T14:37:36.424844,V66_RAW,B2-6,NTNP,4325,0,FULL,0
2026-06-23T14:37:36.439906,V66_RAW,B2-6,NTNP,4325,1,PCUT,0
2026-06-23T14:37:36.454621,V66_RAW,B2-6,NTNP,4325,2,NCUT,0
2026-06-23T14:37:36.470909,V66_RAW,B2-6,NTNP,4325,3,EXTR,0
2026-06-23T14:37:36.486149,V66_RAW,B2-6,NTNP,4325,4,FCYC,0
