sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
4317,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4318,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4319,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4320,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4321,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4322,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4323,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4324,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4325,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4326,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4327,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4328,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4329,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4330,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4331,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4332,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4333,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4334,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4335,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4336,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4337,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4338,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4339,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4340,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4341,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4342,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4343,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4344,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4345,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4346,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4347,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4348,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4349,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4350,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4351,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4352,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4353,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4354,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4355,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
4356,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
