pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-23T16:27:43.881131,V66_RAW,B2-6,NTNP,21364,0,FULL,0
2026-06-23T16:27:43.910742,V66_RAW,B2-6,NTNP,21364,1,PCUT,0
2026-06-23T16:27:43.925935,V66_RAW,B2-6,NTNP,21364,2,NCUT,0
2026-06-23T16:27:43.941023,V66_RAW,B2-6,NTNP,21364,3,EXTR,0
2026-06-23T16:27:43.956277,V66_RAW,B2-6,NTNP,21364,4,FCYC,0
2026-06-23T16:27:43.971952,V66_RAW,B2-6,NTNP,21365,0,FULL,0
2026-06-23T16:27:43.987802,V66_RAW,B2-6,NTNP,21365,1,PCUT,0
2026-06-23T16:27:44.002748,V66_RAW,B2-6,NTNP,21365,2,NCUT,0
2026-06-23T16:27:44.018246,V66_RAW,B2-6,NTNP,21365,3,EXTR,0
2026-06-23T16:27:44.033507,V66_RAW,B2-6,NTNP,21365,4,FCYC,0
2026-06-23T16:27:44.049484,V66_RAW,B2-6,NTNP,21366,0,FULL,0
2026-06-23T16:27:44.065826,V66_RAW,B2-6,NTNP,21366,1,PCUT,0
2026-06-23T16:27:44.080686,V66_RAW,B2-6,NTNP,21366,2,NCUT,0
2026-06-23T16:27:44.095653,V66_RAW,B2-6,NTNP,21366,3,EXTR,0
2026-06-23T16:27:44.111351,V66_RAW,B2-6,NTNP,21366,4,FCYC,0
2026-06-23T16:27:44.126729,V66_RAW,B2-6,NTNP,21367,0,FULL,0
2026-06-23T16:27:44.141962,V66_RAW,B2-6,NTNP,21367,1,PCUT,0
2026-06-23T16:27:44.158030,V66_RAW,B2-6,NTNP,21367,2,NCUT,0
2026-06-23T16:27:44.173145,V66_RAW,B2-6,NTNP,21367,3,EXTR,0
2026-06-23T16:27:44.189290,V66_RAW,B2-6,NTNP,21367,4,FCYC,0
2026-06-23T16:27:44.205244,V66_RAW,B2-6,NTNP,21368,0,FULL,0
2026-06-23T16:27:44.220389,V66_RAW,B2-6,NTNP,21368,1,PCUT,0
2026-06-23T16:27:44.236415,V66_RAW,B2-6,NTNP,21368,2,NCUT,0
2026-06-23T16:27:44.251750,V66_RAW,B2-6,NTNP,21368,3,EXTR,0
2026-06-23T16:27:44.266803,V66_RAW,B2-6,NTNP,21368,4,FCYC,0
2026-06-23T16:27:44.282248,V66_RAW,B2-6,NTNP,21369,0,FULL,0
2026-06-23T16:27:44.298842,V66_RAW,B2-6,NTNP,21369,1,PCUT,0
2026-06-23T16:27:44.315701,V66_RAW,B2-6,NTNP,21369,2,NCUT,0
2026-06-23T16:27:44.331890,V66_RAW,B2-6,NTNP,21369,3,EXTR,0
2026-06-23T16:27:44.347649,V66_RAW,B2-6,NTNP,21369,4,FCYC,0
2026-06-23T16:27:44.361097,V66_RAW,B2-6,NTNP,21370,0,FULL,0
2026-06-23T16:27:44.376658,V66_RAW,B2-6,NTNP,21370,1,PCUT,0
2026-06-23T16:27:44.409236,V66_RAW,B2-6,NTNP,21370,2,NCUT,0
2026-06-23T16:27:44.411364,V66_RAW,B2-6,NTNP,21370,3,EXTR,0
2026-06-23T16:27:44.439440,V66_RAW,B2-6,NTNP,21370,4,FCYC,0
2026-06-23T16:27:44.440667,V66_RAW,B2-6,NTNP,21371,0,FULL,0
2026-06-23T16:27:44.469870,V66_RAW,B2-6,NTNP,21371,1,PCUT,0
2026-06-23T16:27:44.484571,V66_RAW,B2-6,NTNP,21371,2,NCUT,0
2026-06-23T16:27:44.499900,V66_RAW,B2-6,NTNP,21371,3,EXTR,0
2026-06-23T16:27:44.515527,V66_RAW,B2-6,NTNP,21371,4,FCYC,0
2026-06-23T16:27:44.532771,V66_RAW,B2-6,NTNP,21372,0,FULL,0
2026-06-23T16:27:44.546891,V66_RAW,B2-6,NTNP,21372,1,PCUT,0
2026-06-23T16:27:44.562635,V66_RAW,B2-6,NTNP,21372,2,NCUT,0
2026-06-23T16:27:44.578924,V66_RAW,B2-6,NTNP,21372,3,EXTR,0
2026-06-23T16:27:44.594914,V66_RAW,B2-6,NTNP,21372,4,FCYC,0
2026-06-23T16:27:44.610075,V66_RAW,B2-6,NTNP,21373,0,FULL,0
2026-06-23T16:27:44.624386,V66_RAW,B2-6,NTNP,21373,1,PCUT,0
2026-06-23T16:27:44.639530,V66_RAW,B2-6,NTNP,21373,2,NCUT,0
2026-06-23T16:27:44.656347,V66_RAW,B2-6,NTNP,21373,3,EXTR,0
2026-06-23T16:27:44.671628,V66_RAW,B2-6,NTNP,21373,4,FCYC,0
2026-06-23T16:27:44.686470,V66_RAW,B2-6,NTNP,21374,0,FULL,0
2026-06-23T16:27:44.701853,V66_RAW,B2-6,NTNP,21374,1,PCUT,0
2026-06-23T16:27:44.717557,V66_RAW,B2-6,NTNP,21374,2,NCUT,0
2026-06-23T16:27:44.733346,V66_RAW,B2-6,NTNP,21374,3,EXTR,0
2026-06-23T16:27:44.748538,V66_RAW,B2-6,NTNP,21374,4,FCYC,0
2026-06-23T16:27:44.764034,V66_RAW,B2-6,NTNP,21375,0,FULL,0
2026-06-23T16:27:44.779718,V66_RAW,B2-6,NTNP,21375,1,PCUT,0
2026-06-23T16:27:44.796598,V66_RAW,B2-6,NTNP,21375,2,NCUT,0
2026-06-23T16:27:44.814137,V66_RAW,B2-6,NTNP,21375,3,EXTR,0
2026-06-23T16:27:44.828386,V66_RAW,B2-6,NTNP,21375,4,FCYC,0
2026-06-23T16:27:44.857745,V66_RAW,B2-6,NTNP,21376,0,FULL,0
2026-06-23T16:27:44.858416,V66_RAW,B2-6,NTNP,21376,1,PCUT,0
2026-06-23T16:27:44.873586,V66_RAW,B2-6,NTNP,21376,2,NCUT,0
2026-06-23T16:27:44.889263,V66_RAW,B2-6,NTNP,21376,3,EXTR,0
2026-06-23T16:27:44.919370,V66_RAW,B2-6,NTNP,21376,4,FCYC,0
2026-06-23T16:27:44.935418,V66_RAW,B2-6,NTNP,21377,0,FULL,0
2026-06-23T16:27:44.936690,V66_RAW,B2-6,NTNP,21377,1,PCUT,0
2026-06-23T16:27:44.965994,V66_RAW,B2-6,NTNP,21377,2,NCUT,0
2026-06-23T16:27:44.984148,V66_RAW,B2-6,NTNP,21377,3,EXTR,0
2026-06-23T16:27:44.986232,V66_RAW,B2-6,NTNP,21377,4,FCYC,0
2026-06-23T16:27:45.013014,V66_RAW,B2-6,NTNP,21378,0,FULL,0
2026-06-23T16:27:45.029575,V66_RAW,B2-6,NTNP,21378,1,PCUT,0
2026-06-23T16:27:45.044937,V66_RAW,B2-6,NTNP,21378,2,NCUT,0
2026-06-23T16:27:45.061639,V66_RAW,B2-6,NTNP,21378,3,EXTR,0
2026-06-23T16:27:45.076316,V66_RAW,B2-6,NTNP,21378,4,FCYC,0
2026-06-23T16:27:45.093307,V66_RAW,B2-6,NTNP,21379,0,FULL,0
2026-06-23T16:27:45.108232,V66_RAW,B2-6,NTNP,21379,1,PCUT,0
2026-06-23T16:27:45.123005,V66_RAW,B2-6,NTNP,21379,2,NCUT,0
2026-06-23T16:27:45.139371,V66_RAW,B2-6,NTNP,21379,3,EXTR,0
2026-06-23T16:27:45.155230,V66_RAW,B2-6,NTNP,21379,4,FCYC,0
2026-06-23T16:27:45.170061,V66_RAW,B2-6,NTNP,21380,0,FULL,0
2026-06-23T16:27:45.186329,V66_RAW,B2-6,NTNP,21380,1,PCUT,0
2026-06-23T16:27:45.200982,V66_RAW,B2-6,NTNP,21380,2,NCUT,0
2026-06-23T16:27:45.216638,V66_RAW,B2-6,NTNP,21380,3,EXTR,0
2026-06-23T16:27:45.232349,V66_RAW,B2-6,NTNP,21380,4,FCYC,0
2026-06-23T16:27:45.247622,V66_RAW,B2-6,NTNP,21381,0,FULL,0
2026-06-23T16:27:45.262931,V66_RAW,B2-6,NTNP,21381,1,PCUT,0
2026-06-23T16:27:45.278109,V66_RAW,B2-6,NTNP,21381,2,NCUT,0
2026-06-23T16:27:45.294348,V66_RAW,B2-6,NTNP,21381,3,EXTR,0
2026-06-23T16:27:45.310387,V66_RAW,B2-6,NTNP,21381,4,FCYC,0
2026-06-23T16:27:45.325719,V66_RAW,B2-6,NTNP,21382,0,FULL,0
2026-06-23T16:27:45.340505,V66_RAW,B2-6,NTNP,21382,1,PCUT,0
2026-06-23T16:27:45.355779,V66_RAW,B2-6,NTNP,21382,2,NCUT,0
2026-06-23T16:27:45.371528,V66_RAW,B2-6,NTNP,21382,3,EXTR,0
2026-06-23T16:27:45.386495,V66_RAW,B2-6,NTNP,21382,4,FCYC,0
2026-06-23T16:27:45.401787,V66_RAW,B2-6,NTNP,21383,0,FULL,0
2026-06-23T16:27:45.417058,V66_RAW,B2-6,NTNP,21383,1,PCUT,0
2026-06-23T16:27:45.433596,V66_RAW,B2-6,NTNP,21383,2,NCUT,0
2026-06-23T16:27:45.449248,V66_RAW,B2-6,NTNP,21383,3,EXTR,0
2026-06-23T16:27:45.479730,V66_RAW,B2-6,NTNP,21383,4,FCYC,0
2026-06-23T16:27:45.480915,V66_RAW,B2-6,NTNP,21384,0,FULL,0
2026-06-23T16:27:45.511583,V66_RAW,B2-6,NTNP,21384,1,PCUT,0
2026-06-23T16:27:45.512841,V66_RAW,B2-6,NTNP,21384,2,NCUT,0
2026-06-23T16:27:45.542812,V66_RAW,B2-6,NTNP,21384,3,EXTR,0
2026-06-23T16:27:45.558710,V66_RAW,B2-6,NTNP,21384,4,FCYC,0
2026-06-23T16:27:45.574556,V66_RAW,B2-6,NTNP,21385,0,FULL,0
2026-06-23T16:27:45.590610,V66_RAW,B2-6,NTNP,21385,1,PCUT,0
2026-06-23T16:27:45.605980,V66_RAW,B2-6,NTNP,21385,2,NCUT,0
2026-06-23T16:27:45.621310,V66_RAW,B2-6,NTNP,21385,3,EXTR,0
2026-06-23T16:27:45.636976,V66_RAW,B2-6,NTNP,21385,4,FCYC,0
2026-06-23T16:27:45.653765,V66_RAW,B2-6,NTNP,21386,0,FULL,0
2026-06-23T16:27:45.670134,V66_RAW,B2-6,NTNP,21386,1,PCUT,0
2026-06-23T16:27:45.684645,V66_RAW,B2-6,NTNP,21386,2,NCUT,0
2026-06-23T16:27:45.700566,V66_RAW,B2-6,NTNP,21386,3,EXTR,0
2026-06-23T16:27:45.716266,V66_RAW,B2-6,NTNP,21386,4,FCYC,0
2026-06-23T16:27:45.731497,V66_RAW,B2-6,NTNP,21387,0,FULL,0
2026-06-23T16:27:45.746905,V66_RAW,B2-6,NTNP,21387,1,PCUT,0
2026-06-23T16:27:45.763311,V66_RAW,B2-6,NTNP,21387,2,NCUT,0
2026-06-23T16:27:45.778118,V66_RAW,B2-6,NTNP,21387,3,EXTR,0
2026-06-23T16:27:45.793259,V66_RAW,B2-6,NTNP,21387,4,FCYC,0
2026-06-23T16:27:45.808165,V66_RAW,B2-6,NTNP,21388,0,FULL,0
2026-06-23T16:27:45.823656,V66_RAW,B2-6,NTNP,21388,1,PCUT,0
2026-06-23T16:27:45.839444,V66_RAW,B2-6,NTNP,21388,2,NCUT,0
2026-06-23T16:27:45.855807,V66_RAW,B2-6,NTNP,21388,3,EXTR,0
2026-06-23T16:27:45.871713,V66_RAW,B2-6,NTNP,21388,4,FCYC,0
2026-06-23T16:27:45.887010,V66_RAW,B2-6,NTNP,21389,0,FULL,0
2026-06-23T16:27:45.904309,V66_RAW,B2-6,NTNP,21389,1,PCUT,0
2026-06-23T16:27:45.917903,V66_RAW,B2-6,NTNP,21389,2,NCUT,0
2026-06-23T16:27:45.932052,V66_RAW,B2-6,NTNP,21389,3,EXTR,0
2026-06-23T16:27:45.947887,V66_RAW,B2-6,NTNP,21389,4,FCYC,0
2026-06-23T16:27:45.963292,V66_RAW,B2-6,NTNP,21390,0,FULL,0
2026-06-23T16:27:45.980169,V66_RAW,B2-6,NTNP,21390,1,PCUT,0
2026-06-23T16:27:46.009980,V66_RAW,B2-6,NTNP,21390,2,NCUT,0
2026-06-23T16:27:46.011633,V66_RAW,B2-6,NTNP,21390,3,EXTR,0
2026-06-23T16:27:46.042143,V66_RAW,B2-6,NTNP,21390,4,FCYC,0
2026-06-23T16:27:46.045491,V66_RAW,B2-6,NTNP,21391,0,FULL,0
2026-06-23T16:27:46.072208,V66_RAW,B2-6,NTNP,21391,1,PCUT,0
2026-06-23T16:27:46.073623,V66_RAW,B2-6,NTNP,21391,2,NCUT,0
2026-06-23T16:27:46.104402,V66_RAW,B2-6,NTNP,21391,3,EXTR,0
2026-06-23T16:27:46.106446,V66_RAW,B2-6,NTNP,21391,4,FCYC,0
2026-06-23T16:27:46.134083,V66_RAW,B2-6,NTNP,21392,0,FULL,0
2026-06-23T16:27:46.150142,V66_RAW,B2-6,NTNP,21392,1,PCUT,0
2026-06-23T16:27:46.165499,V66_RAW,B2-6,NTNP,21392,2,NCUT,0
2026-06-23T16:27:46.181742,V66_RAW,B2-6,NTNP,21392,3,EXTR,0
2026-06-23T16:27:46.197892,V66_RAW,B2-6,NTNP,21392,4,FCYC,0
2026-06-23T16:27:46.213098,V66_RAW,B2-6,NTNP,21393,0,FULL,0
2026-06-23T16:27:46.229076,V66_RAW,B2-6,NTNP,21393,1,PCUT,0
2026-06-23T16:27:46.245337,V66_RAW,B2-6,NTNP,21393,2,NCUT,0
2026-06-23T16:27:46.261796,V66_RAW,B2-6,NTNP,21393,3,EXTR,0
2026-06-23T16:27:46.276749,V66_RAW,B2-6,NTNP,21393,4,FCYC,0
2026-06-23T16:27:46.292197,V66_RAW,B2-6,NTNP,21394,0,FULL,0
2026-06-23T16:27:46.307881,V66_RAW,B2-6,NTNP,21394,1,PCUT,0
2026-06-23T16:27:46.323135,V66_RAW,B2-6,NTNP,21394,2,NCUT,0
2026-06-23T16:27:46.338781,V66_RAW,B2-6,NTNP,21394,3,EXTR,0
2026-06-23T16:27:46.354341,V66_RAW,B2-6,NTNP,21394,4,FCYC,0
2026-06-23T16:27:46.369961,V66_RAW,B2-6,NTNP,21395,0,FULL,0
2026-06-23T16:27:46.385317,V66_RAW,B2-6,NTNP,21395,1,PCUT,0
2026-06-23T16:27:46.401389,V66_RAW,B2-6,NTNP,21395,2,NCUT,0
2026-06-23T16:27:46.415936,V66_RAW,B2-6,NTNP,21395,3,EXTR,0
2026-06-23T16:27:46.431294,V66_RAW,B2-6,NTNP,21395,4,FCYC,0
2026-06-23T16:27:46.448582,V66_RAW,B2-6,NTNP,21396,0,FULL,0
2026-06-23T16:27:46.463348,V66_RAW,B2-6,NTNP,21396,1,PCUT,0
2026-06-23T16:27:46.478741,V66_RAW,B2-6,NTNP,21396,2,NCUT,0
2026-06-23T16:27:46.494672,V66_RAW,B2-6,NTNP,21396,3,EXTR,0
2026-06-23T16:27:46.511608,V66_RAW,B2-6,NTNP,21396,4,FCYC,0
2026-06-23T16:27:46.527380,V66_RAW,B2-6,NTNP,21397,0,FULL,0
2026-06-23T16:27:46.543247,V66_RAW,B2-6,NTNP,21397,1,PCUT,0
2026-06-23T16:27:46.558693,V66_RAW,B2-6,NTNP,21397,2,NCUT,0
2026-06-23T16:27:46.574764,V66_RAW,B2-6,NTNP,21397,3,EXTR,0
2026-06-23T16:27:46.590061,V66_RAW,B2-6,NTNP,21397,4,FCYC,0
2026-06-23T16:27:46.607215,V66_RAW,B2-6,NTNP,21398,0,FULL,0
2026-06-23T16:27:46.621627,V66_RAW,B2-6,NTNP,21398,1,PCUT,0
2026-06-23T16:27:46.636510,V66_RAW,B2-6,NTNP,21398,2,NCUT,0
2026-06-23T16:27:46.651111,V66_RAW,B2-6,NTNP,21398,3,EXTR,0
2026-06-23T16:27:46.667639,V66_RAW,B2-6,NTNP,21398,4,FCYC,0
