sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
21364,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21365,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21366,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21367,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21368,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21369,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21370,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21371,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21372,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21373,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21374,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21375,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21376,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21377,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21378,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21379,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21380,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21381,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21382,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21383,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21384,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21385,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21386,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21387,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21388,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21389,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21390,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21391,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21392,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21393,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21394,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21395,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21396,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21397,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21398,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21399,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21400,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21401,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21402,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21403,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21404,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21405,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21406,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21407,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21408,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21409,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21410,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21411,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21412,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21413,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21414,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21415,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21416,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21417,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21418,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21419,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21420,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21421,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21422,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21423,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21424,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21425,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21426,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21427,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21428,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21429,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21430,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21431,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21432,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21433,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21434,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21435,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21436,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21437,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21438,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21439,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21440,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21441,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21442,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21443,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21444,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21445,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21446,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21447,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21448,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21449,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21450,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21451,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21452,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21453,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21454,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21455,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21456,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21457,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21458,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21459,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21460,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21461,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
21462,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
