sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
55140,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55141,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55142,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55143,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55144,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55145,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55146,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55147,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55148,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55149,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55150,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55151,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55152,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55153,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55154,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55155,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55156,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55157,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55158,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55159,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55160,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55161,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55162,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55163,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55164,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55165,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55166,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55167,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55168,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55169,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55170,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55171,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55172,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55173,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55174,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55175,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55176,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55177,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55178,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55179,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55180,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55181,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55182,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55183,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55184,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55185,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55186,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55187,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55188,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55189,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55190,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55191,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55192,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55193,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55194,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55195,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55196,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
55197,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
