sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
60772,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60773,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60774,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60775,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60776,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60777,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60778,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60779,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60780,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60781,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60782,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60783,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60784,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60785,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60786,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60787,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60788,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60789,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60790,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60791,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60792,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60793,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60794,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60795,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60796,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60797,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60798,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60799,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60800,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60801,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60802,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60803,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60804,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60805,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
60806,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
