pc_time_iso,protocol,sensor_id,condition,sample_id,mode_idx,mode,saturated
2026-06-18T15:00:24.814130,V66_RAW,B2-7,NTHP,59937,0,FULL,0
2026-06-18T15:00:24.829326,V66_RAW,B2-7,NTHP,59937,1,PCUT,0
2026-06-18T15:00:24.845078,V66_RAW,B2-7,NTHP,59937,2,NCUT,0
2026-06-18T15:00:24.860751,V66_RAW,B2-7,NTHP,59937,3,EXTR,0
2026-06-18T15:00:24.875760,V66_RAW,B2-7,NTHP,59937,4,FCYC,0
2026-06-18T15:00:24.891456,V66_RAW,B2-7,NTHP,59938,0,FULL,0
2026-06-18T15:00:24.908047,V66_RAW,B2-7,NTHP,59938,1,PCUT,0
2026-06-18T15:00:24.921970,V66_RAW,B2-7,NTHP,59938,2,NCUT,0
2026-06-18T15:00:24.938592,V66_RAW,B2-7,NTHP,59938,3,EXTR,0
2026-06-18T15:00:24.953439,V66_RAW,B2-7,NTHP,59938,4,FCYC,0
2026-06-18T15:00:24.967924,V66_RAW,B2-7,NTHP,59939,0,FULL,0
2026-06-18T15:00:24.983185,V66_RAW,B2-7,NTHP,59939,1,PCUT,0
2026-06-18T15:00:24.999037,V66_RAW,B2-7,NTHP,59939,2,NCUT,0
2026-06-18T15:00:25.029331,V66_RAW,B2-7,NTHP,59939,3,EXTR,0
2026-06-18T15:00:25.031549,V66_RAW,B2-7,NTHP,59939,4,FCYC,0
2026-06-18T15:00:25.060212,V66_RAW,B2-7,NTHP,59940,0,FULL,0
2026-06-18T15:00:25.077593,V66_RAW,B2-7,NTHP,59940,1,PCUT,0
2026-06-18T15:00:25.079536,V66_RAW,B2-7,NTHP,59940,2,NCUT,0
2026-06-18T15:00:25.108298,V66_RAW,B2-7,NTHP,59940,3,EXTR,0
2026-06-18T15:00:25.123727,V66_RAW,B2-7,NTHP,59940,4,FCYC,0
2026-06-18T15:00:25.138158,V66_RAW,B2-7,NTHP,59941,0,FULL,0
2026-06-18T15:00:25.154880,V66_RAW,B2-7,NTHP,59941,1,PCUT,0
