sample_id,valid,order_ok,frame_count,missing_mode_idx,duplicate_mode_idx,saturated_total,txn_gap_ok,mid_strict_order,sid_monotonic,modes
59937,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59938,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59939,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59940,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59941,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59942,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59943,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59944,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59945,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59946,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59947,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59948,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59949,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59950,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59951,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59952,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59953,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59954,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59955,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59956,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59957,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59958,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59959,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59960,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59961,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59962,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59963,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59964,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59965,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59966,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59967,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59968,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59969,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59970,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59971,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59972,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59973,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59974,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59975,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59976,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59977,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59978,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59979,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59980,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59981,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59982,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59983,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59984,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59985,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59986,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59987,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59988,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
59989,1,1,5,,,0,1,1,1,FULL|PCUT|NCUT|EXTR|FCYC
